st_gene_id	gene_id	gene_symbol	exp_I_0_1	exp_I_0_2	exp_I_0_3	exp_I_2_1	exp_I_2_2	exp_I_2_3	exp_I_7_1	exp_I_7_2	exp_I_7_3
G10090_32561	20115	Rps7	423.11	391.16	389.42	590.93	585.01	554.23	501.61	391.53	417.19
G10090_15366	20501	Slc16a1	9.27	9.92	9.68	30.86	29.7	31.44	14.92	13.3	13.49
G10090_11692	12428	Ccna2	65.15	68.75	65.9	44.19	43.93	46.9	5.51	5.41	5.63
G10090_17909	57249	Gabrq	0.03	0	0.03	0.01	0.03	0.02	0	0.05	0
G10090_20425	406220	Krt77	0	0	0	0	0	0.04	0	0	0
G10090_14637	171285	Havcr2	1.29	1.28	1.29	0.13	0.15	0.13	0.58	0.28	0.34
G10090_8365	225058	Gm4832	0.31	0	0	0	0	0	0	0	0
G10090_15380	52430	Echdc2	7.42	6.97	7.43	14.48	15.41	15.28	9.14	11.73	11.12
G10090_30608	332397	Nanos1	2.73	2.88	2.55	1.02	0.95	1.01	0.47	0.28	0.36
G10090_11099	15465	Hrh1	0.05	0.07	0.03	0	0	0	0	0.02	0.04
G10090_10411	14633	Gli2	4.05	3.97	4.39	6.55	5.97	4.98	7.68	8.33	9.37
G10090_2123	74486	Osbpl10	1.16	1.35	1.41	0.94	1.04	0.71	1.19	0.99	1.72
G10090_8180	22329	Vcam1	37.05	43.68	37.99	161.06	153.56	166.36	85.03	84.08	89.09
G10090_1701	19893	Rpgr	1.15	1.14	1.38	0.82	0.99	0.9	0.88	0.65	0.84
G10090_30770	56389	Stx5a	27.9	29.44	27.16	38.21	35.92	41.71	37.14	34.08	36.64
G10090_9804	19265	Ptprcap	0.23	0.25	0	0.33	0.08	0	0.23	0	0.17
G10090_8650	64435	Fcamr	0.03	0.05	0.01	0.14	0	0	0	0.01	0.01
G10090_10908	241158	Ankmy1	0.03	0.06	0.05	0.04	0.05	0.05	0	0.08	0.07
G10090_4131	246694	Hps5	7.35	7.9	8.51	10.81	9.99	11.21	8.42	8.4	9.16
G10090_20925	246256	Fcgr4	0	0.1	0	0	0	0	0	0	0
G10090_10288	18569	Pdcd4	10.07	9.78	10.18	28.73	28.31	29.23	34.44	32.15	33.63
G10090_5371	64424	Polr1e	3.83	3.71	4.26	5.36	5.26	4.66	2.47	2.41	2.02
G10090_301	77128	Crebrf	1.93	2.48	1.99	4.5	4.95	4.08	9.9	9.83	9.06
