"lipidName","I1_0","I2_0","I3_0","I1_2","I2_2","I3_2","I1_7","I2_7","I3_7"
"BMP 32:6|BMP 16:3_16:3",102230,15049,17590,23451,25184,17800,19123,14478,63465
"BMP 38:7|BMP 16:1_22:6",1212,NA,1136,1142,1139,NA,8163,9591,8515
"BMP 40:6|BMP 18:1_22:5",NA,627,437,NA,NA,1163,4974,3462,16882
"BMP 40:7|BMP 18:1_22:6",663,1212,1384,10833,4812,3800,34736,29290,73262
"BMP 44:11|BMP 22:5_22:6",8583,731,1544,9829,6649,6600,19114,16015,55009
"BMP 44:12|BMP 22:6_22:6",2266,535,NA,13656,3108,7298,25384,16696,99013
"CAR 10:1",96700,74213,98989,102329,96988,80978,81642,74075,79625
"CAR 10:2",49298,55718,42737,47711,56264,34429,56100,36889,35294
"CAR 12:3",58894,16578,20636,31165,35242,38560,76639,46922,60378
"CAR 14:2",22890,41696,17496,47255,29955,29773,23002,44567,10653
"CAR 16:1",22864,29353,29835,60027,49699,48464,34090,28682,34731
"CAR 16:2",50773,37155,33487,76876,50853,57627,34773,32272,26856
"CAR 20:4",21355,1084,4339,902,3159,2278,3942,2063,9105
"CAR 22:2",113640,3098,1191,4158,1093,3255,7666,6267,64429
"CAR 22:5",215889,10456,6006,18445,5633,13487,8842,10439,128006
"CAR 22:7",31822,31535,17149,33772,26377,26948,21938,21597,10668
"CAR 8:1",74103,48211,49790,44655,40956,49148,28975,34538,38595
"CAR 8:2",40240,40474,53934,42524,30056,31854,42684,32551,46761
"CE 20:5",20420,24185,9628,20069,12973,12299,27763,26522,25695
"CE 22:6",14934,19986,18038,20815,22525,24161,32609,38523,30531
"DG 30:0|DG 14:0_16:0",23332,4532,20287,62818,34918,45134,13975,27937,42444
"DG 30:1|DG 14:0_16:1",36063,36201,40201,46890,47642,31405,32774,30103,75193
"DG 30:1|DG 8:0_22:1",21026,53031,6532,13611,28690,14455,7636,24245,36966
"DG 32:0|DG 16:0_16:0",235993,214511,315617,535841,468447,361842,383370,143429,333244
"DG 32:1|DG 14:0_18:1",107813,175503,207840,266355,59718,222021,34819,89207,78264
"DG 32:1|DG 16:0_16:1",141095,31384,126474,84395,360491,179775,199525,86247,161649
"DG 32:2|DG 14:0_18:2",94396,71228,127391,152470,112903,58376,147102,76232,148902
"DG 32:2|DG 16:1_16:1",18229,26337,43802,88776,50708,12377,53999,30500,50471
"DG 32:6|DG 8:0_24:6",6830,6678,6405,21335,17911,20648,7616,5913,6799
"DG 34:0|DG 16:0_18:0",618436,375869,763083,1292310,1287157,771249,911404,636225,1025725
"DG 34:1|DG 16:0_18:1",770437,250700,1437896,3498684,2779929,1754726,2105668,1024802,2080448
