reaction_id,R_lipid,P_lipid,firstLev,secondLev
R-HSA-193385,choloyl-CoA,cholate,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-2066779,FA(22:6)-CoA,FA(22:6),alpha-linolenic acid (ALA) metabolism (Homo sapiens),alpha-linolenic (omega3) and linoleic (omega6) acid metabolism (Homo sapiens)
R-HSA-390304,FA(2:0)-CoA,acetate,Beta-oxidation of pristanoyl-CoA (Homo sapiens),Peroxisomal lipid metabolism (Homo sapiens)
R-HSA-5690042,FA(12_18:xx)-CoA,FA(12_18:xx),Beta-oxidation of very long chain fatty acids (Homo sapiens),Peroxisomal lipid metabolism (Homo sapiens)
R-HSA-1482533,2-acyl LPC,PC,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482533,acyl-CoA,CoA,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482547,1-acyl LPC,PC,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482547,acyl-CoA,CoA,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482636,1-acyl LPS,PS,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482636,acyl-CoA,CoA,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482646,2-acyl LPE,PE,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482646,acyl-CoA,CoA,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482667,1-acyl LPE,PE,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482667,acyl-CoA,CoA,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482691,2-acyl LPS,PS,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482691,acyl-CoA,CoA,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482961,DAG,PC,Synthesis of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482962,DAG,PE,Synthesis of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482962,CDP-ethanolamine,CMP,Synthesis of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1483121,PA,CDP-DAG,Synthesis of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1483121,CTP,CDP-DAG,Synthesis of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1483174,PE,PC,Synthesis of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482976,CDP-DAG,PI,Synthesis of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482976,CDP-DAG,CMP,Synthesis of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-191972,ChE-(27)OH,"Cholest-5-ene-3beta,7alpha,27-triol",Synthesis of bile acids and bile salts via 27-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-192051,ChE,ChE-(7)OH,Endogenous sterols (Homo sapiens),Cytochrome P450 - arranged by substrate type (Homo sapiens)
R-HSA-192065,ChE-(25)OH,"cholest-5-ene-3beta,7alpha,25-triol",Endogenous sterols (Homo sapiens),Cytochrome P450 - arranged by substrate type (Homo sapiens)
R-HSA-75885,1-acyl LPA,PA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-428127,FA(16:0)-CoA,3-ketosphinganine,Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-192061,ChE,ChE-(24)OH,Endogenous sterols (Homo sapiens),Cytochrome P450 - arranged by substrate type (Homo sapiens)
R-HSA-6814254,LPC,FA(13_22:xx),Glycerophospholipid catabolism (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-6814254,LPC,glycerophosphocholine,Glycerophospholipid catabolism (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-5690066,FA(12_18:xx)-CoA,FA(12_18:xx),Mitochondrial Fatty Acid Beta-Oxidation (Homo sapiens),Fatty acid metabolism (Homo sapiens)
R-HSA-159425,cholate,choloyl-CoA,Recycling of bile acids and salts (Homo sapiens),Bile acid and bile salt metabolism (Homo sapiens)
R-HSA-159425,chenodeoxycholate,chenodeoxycholoyl-CoA,Recycling of bile acids and salts (Homo sapiens),Bile acid and bile salt metabolism (Homo sapiens)
R-HSA-192137,"THCA (25(R) 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate)",25(R) THCA-CoA,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-193407,"DHCA (25(R) 3alpha,7alpha-dihydroxy-5beta-cholestanoate)",25(R) DHCA-CoA,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-193711,"3,7,24THCA (25(R) 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestanoate)","3,7,24THCA-CoA",Synthesis of bile acids and bile salts via 24-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-193766,"TetraHCA (25(R) 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestanoate)",25(R) TetraHCA-CoA,Synthesis of bile acids and bile salts via 24-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-8875077,FA(23_:xx),FA(23_:xx)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Homo sapiens),Fatty acyl-CoA biosynthesis (Homo sapiens)
R-HSA-193401,"THCA (25(R) 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate)",25(R) THCA-CoA,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-193424,"DHCA (25(R) 3alpha,7alpha-dihydroxy-5beta-cholestanoate)",25(R) DHCA-CoA,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-193727,"TetraHCA (25(R) 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestanoate)",25(R) TetraHCA-CoA,Synthesis of bile acids and bile salts via 24-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-193743,"3,7,24THCA (25(R) 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestanoate)","3,7,24THCA-CoA",Synthesis of bile acids and bile salts via 24-hydroxycholesterol (Homo sapiens),Synthesis of bile acids and bile salts (Homo sapiens)
R-HSA-1482771,PS,1-acyl LPS,Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482771,PS,FA(13_22:xx),Acyl chain remodelling of PS (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482825,PI,1-acyl LPI,Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
