reaction_id,R_lipid,P_lipid,firstLev,secondLev
R-MMU-193385,choloyl-CoA,cholate,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Mus musculus),Synthesis of bile acids and bile salts (Mus musculus)
R-MMU-2066779,FA(22:6)-CoA,FA(22:6),alpha-linolenic acid (ALA) metabolism (Mus musculus),alpha-linolenic (omega3) and linoleic (omega6) acid metabolism (Mus musculus)
R-MMU-390304,FA(2:0)-CoA,acetate,Beta-oxidation of pristanoyl-CoA (Mus musculus),Peroxisomal lipid metabolism (Mus musculus)
R-MMU-1482533,2-acyl LPC,PC,Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482533,acyl-CoA,CoA,Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482547,1-acyl LPC,PC,Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482547,acyl-CoA,CoA,Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482636,1-acyl LPS,PS,Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482636,acyl-CoA,CoA,Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482646,2-acyl LPE,PE,Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482646,acyl-CoA,CoA,Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482667,1-acyl LPE,PE,Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482667,acyl-CoA,CoA,Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482691,2-acyl LPS,PS,Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482691,acyl-CoA,CoA,Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482961,DAG,PC,Synthesis of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482962,DAG,PE,Synthesis of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482962,CDP-ethanolamine,CMP,Synthesis of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1483121,PA,CDP-DAG,Synthesis of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1483121,CTP,CDP-DAG,Synthesis of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482976,CDP-DAG,PI,Synthesis of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482976,CDP-DAG,CMP,Synthesis of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-191972,ChE-(27)OH,"Cholest-5-ene-3beta,7alpha,27-triol",Synthesis of bile acids and bile salts via 27-hydroxycholesterol (Mus musculus),Synthesis of bile acids and bile salts (Mus musculus)
R-MMU-192051,ChE,ChE-(7)OH,Endogenous sterols (Mus musculus),Cytochrome P450 - arranged by substrate type (Mus musculus)
R-MMU-192065,ChE-(25)OH,"cholest-5-ene-3beta,7alpha,25-triol",Endogenous sterols (Mus musculus),Cytochrome P450 - arranged by substrate type (Mus musculus)
R-MMU-75885,1-acyl LPA,PA,Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-428127,FA(16:0)-CoA,3-ketosphinganine,Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-192061,ChE,ChE-(24)OH,Endogenous sterols (Mus musculus),Cytochrome P450 - arranged by substrate type (Mus musculus)
R-MMU-6814254,LPC,FA(13_22:xx),Glycerophospholipid catabolism (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-6814254,LPC,glycerophosphocholine,Glycerophospholipid catabolism (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-192137,"THCA (25(R) 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate)",25(R) THCA-CoA,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Mus musculus),Synthesis of bile acids and bile salts (Mus musculus)
R-MMU-193407,"DHCA (25(R) 3alpha,7alpha-dihydroxy-5beta-cholestanoate)",25(R) DHCA-CoA,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Mus musculus),Synthesis of bile acids and bile salts (Mus musculus)
R-MMU-193766,"TetraHCA (25(R) 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestanoate)",25(R) TetraHCA-CoA,Synthesis of bile acids and bile salts via 24-hydroxycholesterol (Mus musculus),Synthesis of bile acids and bile salts (Mus musculus)
R-MMU-193401,"THCA (25(R) 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate)",25(R) THCA-CoA,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol (Mus musculus),Synthesis of bile acids and bile salts (Mus musculus)
R-MMU-1482771,PS,1-acyl LPS,Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482771,PS,FA(13_22:xx),Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482825,PI,1-acyl LPI,Acyl chain remodelling of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482825,PI,FA(13_22:xx),Acyl chain remodelling of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482856,PC,1-acyl LPC,Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482856,PC,FA(13_22:xx),Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482884,PE,1-acyl LPE,Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482884,PE,FA(13_22:xx),Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1855221,"PI-(4,5)P2","inositol-(1,4,5)P3",Synthesis of IP3 and IP4 in the cytosol (Mus musculus),Inositol phosphate metabolism (Mus musculus)
R-MMU-1855221,"PI-(4,5)P2",DAG,Synthesis of IP3 and IP4 in the cytosol (Mus musculus),Inositol phosphate metabolism (Mus musculus)
R-MMU-1482543,2-MAG,FA,Acyl chain remodeling of DAG and TAG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482543,2-MAG,Glycerol,Acyl chain remodeling of DAG and TAG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-2045911,"PI-(3,4,5)P3","PI-(4,5)P2",Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (Mus musculus),Signaling by the B Cell Receptor (BCR) (Mus musculus)
R-MMU-1855214,"PI-(4,5)P2",DAG,Synthesis of IP3 and IP4 in the cytosol (Mus musculus),Inositol phosphate metabolism (Mus musculus)
R-MMU-1855214,"PI-(4,5)P2","inositol-(1,4,5)P4",Synthesis of IP3 and IP4 in the cytosol (Mus musculus),Inositol phosphate metabolism (Mus musculus)
