"","Sample270","Sample429","Sample430","Sample439","Sample191","Sample197","Sample428","Sample433","Sample464"
"DG 18:0",1347026,481655,169292,3049,21578,2392,92848,74713,22417
"DG 24:2|DG 8:0_16:2",352414,287999,120137,12804,7842,7521,610615,26741,4976
"DG 26:2",6013222,10122259,11410475,2264968,4450572,4255544,2202846,9950663,1726833
"DG 26:4",27255,40151,23425,5586,956,4083,407611,34763,3555
"DG 28:1|DG 10:0_18:1",232714,116683,474548,8623,998,5490,74968,120288,381
"DG 30:0|DG 14:0_16:0",501294,1003418,771672,142099,517653,501528,276525,774591,60029
"DG 32:1|DG 14:0_18:1",1158943,1637430,3226180,361242,558389,1565751,6131950,3482054,512825
"DG 32:1|DG 16:0_16:1",234731,345969,3359209,73639,126019,322825,6870200,3304108,465190
"DG 32:2|DG 14:0_18:2",536301,523826,636403,7750,160132,295991,5115664,850080,46497
"DG 32:3|DG 14:0_18:3",17102,5167,7834,26,849,4423,1013478,16150,2979
"DG 32:8",411585,543458,118177,90524,76826,148003,260963,115000,92710
"DG 34:2|DG 16:1_18:1",1779653,2043989,4856264,330213,430971,731515,1181192,3379393,1555466
"DG 34:4|DG 16:2_18:2",11168,19604,43440,1026.2,1026.2,5131,936903,30342,1026.2
"DG 34:5",118680,141841,414048,55377,38257,121397,69120,102335,33639
"DG 34:9",158372,253331,11643,328,1761,1230,4531506,185699,28
"DG 36:10",678641,509526,283332,96886,1509906,94242,1003855,1056533,1840771
"DG 36:6|DG 18:3_18:3",106943,116703,24577,8111,5854,13050,963992,90419,3591
"DG 36:9",187745,1202802,75634,41680,71539,76961,16854,407216,25833
"DG 38:0|DG 18:0_20:0",232627,681461,330081,436446,687506,204697,1045230,2207210,141568
"DG 38:1|DG 18:0_20:1",6636,475880,483914,585676,22474,131,2789909,59672,17723
"DG 38:1|DG 20:0_18:1",318003,467999,301655,625662,201245,361610,10519888,1873652,435484
"DG 38:10",112099,184583,222684,122213,109783,109386,124789,30486,78879
"DG 38:2|DG 20:0_18:2",549536,645327,223580,105661,348899,72003,23924646,1929511,40883
"DG 38:3|DG 20:0_18:3",86159,94677,39871,3948,36528,7123,1563612,246726,5571
"DG 38:3|DG 20:1_18:2",616552,551655,624423,30249,173755,342853,6479681,1055567,132517
"DG 38:4",74979,81026,152762,98054,64904,40584,86988,134918,95570
"DG 38:5|DG 16:0_22:5",22312,395732,221262,1279002,5120,883185,10723,16066,4104
"DG 38:5|DG 18:1_20:4",291104,690442,216002,43344,579769,1774382,201272,2241042,39273
"DG 40:0|DG 20:0_20:0",1446169,2358039,1446221,137601,713717,189247,1702624,2264406,111283
"DG 40:1|DG 22:0_18:1",180738,130059,150856,1493969,134854,946611,2610610,322429,61661
"DG 40:10",179527,308415,30355,22397,14553,11932,1713377,180020,7642
"DG 40:2|DG 18:1_22:1",78056,89838,106734,25990,432351,36196,280014,3148231,314546
"DG 40:2|DG 22:0_18:2",222212,282704,45852,254198,111652,129670,8782600,473754,13260
"DG 40:4|DG 20:2_20:2",438942,207172,1680932,267,2258,1794,353666,442441,932
"DG 40:6|DG 16:0_24:6",71055,272776,434270,129061,300029,6204,72335,90689,4089
"DG 42:1|DG 24:0_18:1",62460,86187,55382,460532,908747,425975,594278,911415,17025
"DG 42:2|DG 24:0_18:2",829833,1030222,199082,71413,796028,104773,4943830,1884843,6323
"DG 44:2|DG 22:1_22:1",66233,45738,19489,5420,23573,3873,4256508,1027916,6524
"DG 44:6|DG 18:0_26:6",11427,457942,82033,594914,27837,189301,102456,13559,4502
"DG 46:6|DG 16:0_30:6",11222,765359,153932,351656,101076,506489,69723,107263,24149
"DG 46:7|DG 18:1_28:6",40370,18863,127140,877798,45937,1049804,69340,29803,42425
"DG 48:7|DG 18:1_30:6",14880,40299,89271,690094,17024,2594654,7495,117533,16183
"DG 50:6|DG 8:0_42:6",1337068,952168,34410,4458,53757,3243,22600890,125007,2364
"DG 50:8|DG 18:2_32:6",449840,489971,70551,204171,36042,85258,1421727,299256,20296
"DG 50:8|DG 20:2_30:6",70893,60626,152690,112893,5920,206524,1020096,93627,19028
"DG 52:6|DG 24:3_28:3",111625,96309,652723,16858,8234,19162,21231,60376,672
"LPC 20:0",25941,32152,22554,12734,20452,88024,45454,484678,26968
"LPC 20:1",38648,133134,56412,37830,13418,114720,29221,331753,18612
"LPC 22:3",11721836,2472488,1274553,2068856,1832044,14671034,681617,11948541,5833565
"LPC 26:0",101746,136908,114651,349889,43401,37605,56715,440136,25309
"LPC 26:1",87891,344118,21632,51040,62048,598486,13737,1496032,5152
"LPC 26:2",111181,89278,177446,122418,101440,72561,6134,76947,94181
"LPC 28:0",327280,144645,185084,49370,227345,50956,199047,187018,131841
"LPE 18:0",10006,120043,17927,57244,134369,46818,236194,378856,54529
"MG 14:0",14371,19043,27672,17785,16120,8798,4627,5804,7552
"MG 16:2",62556,24235,21288,2526,18,6024,62226,3452,326
"MG 18:0",1724586,3096150,1522665,1010289,851021,519911,1672523,2259902,325478
"MG 18:1",1456587,2340333,241840,499020,10933,500754,1635437,52495,48701
"MG 20:0",77929,127350,165578,245961,109709,105884,53162,99512,160210
"MG 22:1",230650,175497,307312,127661,235405,102384,15672,220838,375509
"PC 28:0",319683,684254,677743,279681,242001,458676,60018,1744399,231779
"PC 30:0",529024,1132016,711916,246516,654453,351974,22034,584891,737196
"PC 30:0|PC 14:0_16:0",18390944,39621720,25955136,24205242,27480718,45116432,8020580,61705560,13508336
"PC 34:2|PC 16:0_18:2",67193488,220700352,124098744,80452128,119513920,568404480,14437413,1446351232,71644984
"PC 34:4",196101,1057370,323046,264739,296745,774104,35736,3719966,124217
"PC 36:0|PC 18:0_18:0",307701,181988,975211,257338,464039,201831,61339,211615,178467
"PC 36:2|PC 16:0_20:2",136108,110882,168780,409929,75086,996264,2813,1363526,103868
"PC 36:3|PC 16:0_20:3",33092506,133962440,36896660,42022464,87352184,209574304,6712955,417042848,26905950
"PC 36:4|PC 18:2_18:2",1995078,13373060,3650322,3033295,8634403,15771651,522946,85435728,1789642
"PC 36:5|PC 16:0_20:5",672410,6672390,2809727,1728131,4759936,10127686,162973,33713452,1316559
