"subclass","48hrs_1","12hrs_1","24hrs_1","24hrs_2","24hrs_3","24hrs_4","24hrs_5","Veh_1","Veh_2","Veh_3","Veh_4","48hrs_2","Veh_5","48hrs_3","48hrs_4","48hrs_5","12hrs_2","12hrs_3","12hrs_4","12hrs_5"
"AcCa(10:1)",26400000,2.1e+07,22800000,15800000,11500000,10100000,15400000,5999908.854,20700000,3205266.095,13400000,16600000,10800000,27400000,2848244.116,10900000,10100000,26900000,20900000,28200000
"AcCa(10:3)",50700000,59200000,37400000,45500000,22200000,28300000,40800000,13700000,26300000,7556605.11,14400000,33100000,15800000,39500000,20100000,18800000,44200000,54400000,57600000,6.2e+07
"AcCa(14:0)",1.16e+08,96300000,66900000,96500000,76800000,88600000,1.05e+08,39500000,36600000,23900000,32500000,1.44e+08,33100000,1.48e+08,1.06e+08,1.11e+08,53600000,85700000,1.04e+08,1.09e+08
"AcCa(14:1)",4.9e+07,4e+07,49700000,58200000,74200000,39800000,66400000,27200000,37900000,4.2e+07,30800000,42700000,42900000,63600000,44900000,40900000,3.8e+07,48100000,65300000,7.8e+07
"AcCa(16:0)",1.65e+09,6.78e+08,6.59e+08,9.45e+08,7.72e+08,6.74e+08,8.76e+08,3.85e+08,3.13e+08,2.43e+08,4.02e+08,1.57e+09,3.78e+08,1.4e+09,1.32e+09,1.19e+09,4.77e+08,6.42e+08,7.7e+08,7.39e+08
"AcCa(16:1)",4.03e+08,4.65e+08,4.49e+08,4.98e+08,4.26e+08,5.01e+08,5.46e+08,4.42e+08,3.82e+08,5.1e+08,5.08e+08,4.44e+08,4.39e+08,3.96e+08,3.68e+08,3.5e+08,4.62e+08,5.27e+08,4.87e+08,5.47e+08
"AcCa(18:0)",1.48e+09,7.36e+08,6.14e+08,8.92e+08,7.05e+08,6.46e+08,7.36e+08,4.41e+08,2.48e+08,2.64e+08,4.43e+08,1.55e+09,3.3e+08,1.27e+09,1.19e+09,1.17e+09,5.28e+08,7.09e+08,8.39e+08,7.02e+08
"AcCa(18:1)",6.14e+08,4.42e+08,3.9e+08,5.25e+08,3.79e+08,3.98e+08,5.88e+08,2.7e+08,2.2e+08,1.41e+08,2.63e+08,7.6e+08,2.71e+08,5.84e+08,4.81e+08,4.54e+08,2.55e+08,3.97e+08,4e+08,4.04e+08
"AcCa(18:2)",3.78e+08,4e+08,3.03e+08,4.07e+08,3.04e+08,3.06e+08,3.82e+08,1.35e+08,1.49e+08,97900000,1.36e+08,4.42e+08,1.31e+08,3.26e+08,2.84e+08,2.57e+08,2.15e+08,3.46e+08,2.79e+08,3.51e+08
"AcCa(18:3)",14700000,30300000,21200000,13100000,30500000,13500000,36900000,7480557.508,1.9e+07,11900000,13100000,39700000,13500000,32100000,11800000,13700000,9844115.391,34900000,16900000,14300000
"AcCa(20:0)",3.03e+08,3.04e+08,2.51e+08,1.94e+08,2.84e+08,2.31e+08,1.83e+08,1.84e+08,1.24e+08,1.13e+08,1.83e+08,3.4e+08,1.43e+08,3.19e+08,1.91e+08,1.6e+08,1.94e+08,3.02e+08,1.59e+08,3.4e+08
"AcCa(20:1)",2.38e+08,1.15e+08,1.14e+08,1.07e+08,1.1e+08,1.58e+08,1.36e+08,96300000,25600000,58100000,1.26e+08,2.97e+08,79400000,1.94e+08,1.31e+08,97400000,69700000,7.4e+07,81200000,71700000
"AcCa(20:2)",86500000,66700000,55800000,51500000,50800000,63400000,74800000,28100000,20800000,21500000,45300000,85300000,28300000,74400000,51600000,3.7e+07,28700000,37100000,3.7e+07,42900000
"AcCa(20:3)",1.21e+08,9.7e+07,1.18e+08,1.51e+08,2.67e+08,1.14e+08,1.59e+08,1.25e+08,1.35e+08,1.33e+08,1.53e+08,1.41e+08,1.25e+08,1.49e+08,1.57e+08,1.75e+08,1.01e+08,1.04e+08,1.01e+08,2.23e+08
"AcCa(20:4)",1.25e+08,94500000,62800000,75500000,79600000,55400000,79800000,3.4e+07,51200000,49600000,45100000,1.28e+08,57700000,1.15e+08,74700000,77400000,71700000,73700000,69200000,70600000
"AcCa(22:0)",67700000,68400000,71300000,39200000,66100000,37100000,38100000,99200000,82300000,52400000,59400000,5.5e+07,73700000,4e+07,33600000,27200000,48300000,1.18e+08,23200000,1.03e+08
"AcCa(22:1)",1.55e+08,1.55e+08,1.16e+08,84200000,1.28e+08,1.03e+08,89900000,89900000,65200000,51100000,68900000,1.55e+08,83900000,1e+08,68100000,40300000,8.3e+07,1.67e+08,66200000,1.42e+08
"AcCa(22:2)",39200000,23800000,26700000,7082673.622,16900000,13500000,28600000,10400000,3858629.698,599424.6772,17600000,56100000,2997123.386,45900000,13100000,7970084.12,10200000,18400000,9397616.982,13700000
"AcCa(22:3)",7694137.542,5276518.387,5510571.253,1087708.051,8225902.652,6220722.141,7467002.376,2967005.724,1275042.033,1923540.323,7546844.735,6900322.439,3364324.509,3650670.964,4705028.263,4672646.733,3762073.205,3863878.905,2893521.264,2538885.157
"AcCa(22:4)",9244294.389,2826581.781,922844.833,1592686.345,2392479.659,1581542.222,2957594.703,726115.25,853360.566,821461.678,1361121.734,6192147.847,2725049.777,9974293.103,3594062.447,3472066.743,2264395.36,2182713.207,1163895.772,206887.599
"AcCa(24:0)",1.01e+08,3.9e+07,46200000,39100000,50900000,53700000,42400000,59800000,8.5e+07,49100000,64400000,79800000,4.3e+07,56200000,54300000,39300000,30300000,56400000,21800000,33500000
"AcCa(24:1)",51200000,35100000,39400000,28300000,35700000,25600000,26700000,37100000,41800000,28600000,34400000,40900000,34200000,29700000,27400000,17800000,2.2e+07,48300000,17300000,33500000
"AcCa(24:2)",23300000,27800000,14900000,18700000,27900000,8722919.973,1e+07,9145234.708,11200000,2626349.4,12800000,15600000,6167459.956,12700000,9938432.48,4206625.164,12500000,24600000,9009525.514,25100000
"Cer(32:0)",2.72e+08,1.63e+08,2.16e+08,1.91e+08,2.14e+08,1.97e+08,2.15e+08,2.49e+08,1.39e+08,3.56e+08,1.24e+08,1.94e+08,2.22e+08,2.22e+08,2.89e+08,1.64e+08,1.8e+08,2.11e+08,1.52e+08,1.46e+08
"Cer(32:1)",18600000,24400000,19800000,22600000,24300000,16900000,2.2e+07,6763833.46,3515077.505,6985899.211,4577669.701,19500000,10100000,22700000,30500000,26200000,20100000,21300000,27300000,23100000
"Cer(34:0)",2622888510.952,2254234948.049,2251910598.58,2243503446.396,2187755990.853,2057176536.622,2327979779.792,1912518213.418,1522882297.405,1969553971.156,2034533733.6,2823512123.462,1757117941.754,2651165183.803,2907600543.653,2538921770.448,2164879134.209,2232195867.826,2153922157.943,1990052702.457
"Cer(34:1)",2029300000,1638300000,1631300000,1603700000,1462400000,1480300000,1865800000,919500000,729400000,876600000,817600000,2131600000,932300000,2168500000,2571200000,2418900000,1273700000,1489100000,1.489e+09,1387500000
"Cer(34:2)",1.49e+08,74400000,1.53e+08,1.25e+08,1.25e+08,1.48e+08,1.34e+08,56200000,43200000,52200000,46500000,1.96e+08,45900000,1.69e+08,2.41e+08,2.09e+08,65100000,75600000,71900000,55900000
"Cer(34:3)",28500000,24400000,2.5e+07,49900000,31200000,28500000,47500000,2.1e+07,33400000,24900000,18200000,7917556.673,21700000,13600000,19600000,24100000,34800000,15800000,29700000,63500000
"Cer(36:0)",1000700000,1526100000,1.145e+09,1537400000,1037200000,890600000,1262800000,520200000,395900000,494300000,574300000,1.438e+09,488400000,1678400000,1933100000,2037400000,1518500000,1493500000,1622500000,1428700000
"Cer(36:1)",664400000,2310300000,1.406e+09,1907700000,1593300000,1284600000,1556400000,274800000,136188277.731,225829811.729,254941388.654,863200000,325188277.731,1378900000,1782400000,1963800000,2033800000,2034300000,2009400000,2020500000
"Cer(36:4)",900699.658,5658264.214,7400189.717,9300019.472,6362470.165,7259812.383,6475926.907,180139.9316,180139.9316,180139.9316,180139.9316,2460623.251,180139.9316,3924997.986,5380936.928,5324077.228,5481406.46,7620467.742,4195844.851,5192591.439
"Cer(36:8)",4884745.825,3505317.737,3274103.525,4793264.666,4409458.277,3441103.908,2599006.395,4510892.495,3988361.344,4456865.804,4675157.032,3744849.589,4031141.533,2499988.649,3909474.235,2299225.852,2899248.604,3129963.696,3158147.396,2713337.821
"Cer(38:0)",1706627053.64,2668600000,2522282243.748,2113359359.827,2089800575.269,2366200000,2008317708.878,1061800000,689600000,896079850.762,1062962616.899,2429507642.453,1148600000,2822900000,2099100000,2494100000,3612995750.855,3523600000,2054200000,3.013e+09
"Cer(38:1)",946600000,1141200000,1.366e+09,1197900000,1088600000,1.345e+09,1.124e+09,514900000,321500000,433400000,509200000,1220400000,560600000,1.534e+09,1412900000,1.634e+09,1604100000,1541900000,952700000,1299900000
"Cer(38:2)",159100000,252500000,265500000,275400000,2.56e+08,274600000,221700000,76843652.674,52611107.885,74432771.928,73553865.762,215600000,91785212.347,297900000,3.26e+08,354200000,293300000,265900000,223741208.081,261900000
"Cer(40:0)",11580300000,13703300000,13928500000,9830500000,4.667e+09,12705400000,10235900000,11843200000,4.818e+09,8805700000,12249500000,13222400000,8819300000,9376400000,10510400000,10904300000,18176500000,13399300000,8384900812.312,13009300000
"Cer(40:1)",14584700000,17448800000,19471200000,14434200000,10137100000,17763100000,1.4316e+10,15943400000,8260100000,12716100000,15859100000,17314700000,12295700000,14913800000,15218300000,16488700000,23194900000,19253400000,11624500000,17326600000
"Cer(40:2)",3776700000,4475700000,6185900000,5153200000,5004300000,6.015e+09,4479400000,4558800000,2962800000,4460600000,4.435e+09,5148400000,3915300000,5707400000,5.482e+09,6278400000,5260300000,5185300000,3453900000,4790300000
"Cer(40:3)",257700000,383400000,4.5e+08,425900000,339300000,452900000,3.93e+08,193500000,139600000,174400000,185700000,3.65e+08,237400000,460600000,4.71e+08,474700000,466300000,460500000,305300000,408700000
"Cer(42:0)",7.44e+09,7269700000,7076700000,5374100000,4081100000,6.416e+09,5648900000,8220800000,6698286227.636,6459497977.696,7796300000,7109200000,6065100000,7663100000,6587200000,5932700000,8.216e+09,7.259e+09,4319400000,5121400000
"Cer(42:1)",33875200000,52770100000,35068400000,38049500000,33415300000,37832700000,37338300000,39423200000,32250100000,36885700000,39576600000,39524100000,39478400000,3.8786e+10,38897300000,36680200000,44273500000,43429100000,37142300000,4.506e+10
"Cer(42:2)",3.2261e+10,5.1908e+10,34546800000,4.0457e+10,36086900000,3.7511e+10,3.8014e+10,35157400000,29120400000,35229400000,3.6312e+10,3.9669e+10,3.761e+10,3.7426e+10,4.0133e+10,4.0225e+10,4.0146e+10,4.1198e+10,3.7803e+10,4.5819e+10
"Cer(42:3)",6.67e+09,7.99e+09,7.39e+09,8.83e+09,7.26e+09,7.2e+09,7.63e+09,5.34e+09,4.47e+09,6.09e+09,4.95e+09,8.07e+09,5.98e+09,8.38e+09,1.018e+10,1.062e+10,6.19e+09,6.49e+09,6.27e+09,7.31e+09
"Cer(42:4)",406400000,304500000,388500000,498900000,2.56e+08,365700000,386400000,235800000,156900000,3.22e+08,205100000,513100000,244100000,462400000,674400000,639700000,2.79e+08,268800000,271700000,265700000
"Cer(42:5)",62400000,223600000,47800000,74300000,23984201.578,68300000,80400000,11744211.817,9169541.911,28869043.017,9668568.518,9.5e+07,25500000,1.6e+08,141700000,96700000,126300000,111200000,199400000,150700000
