,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preRes_CSF,preRes_CSF,preRes_CSF,preRes_CSF
metabolites,Sample428,Sample433,Sample464,Sample191,Sample197,Sample429,Sample430,Sample439,Sample270
Urea,10474110.96,4745222.245,8531116.469,7895461.497,4795680.859,11811460.56,9929576.216,6997420.1,6801630.571
ethanolamine,48926.48238,74429.06506,70494.70144,82447.02004,72352.47627,81541.24985,63262.97447,N/A,54502.65586
glycine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
alanine,3128858.243,2781546.564,3099098.76,1966102.78,1946801.707,2442925.167,2443259.766,2586789.371,2258312.156
betaine aldehyde,217546.7281,148548.3508,268327.2697,190169.7419,106435.288,173477.3077,237840.7983,156027.9347,170975.0336
choline,25573810.6,38176757.83,19414235.53,18764339.38,9883304.849,30799822.63,54667140.17,33600027.91,30707320.48
4-aminobutyrate,9910.165525,10440.90073,N/A,N/A,22363.74192,N/A,N/A,16865.65034,9890.244712
dimethylglycine,3055904.926,3862165.15,2173600.33,1746350.802,32975.86563,2916601.648,5009356.844,2967984.324,2918899.761
serine,906958.3979,1496676.778,1014007.451,1243160.912,870799.6013,893388.4538,1282294.798,726548.4623,1075228.052
cytosine,88906.72249,89506.4166,130492.9879,179358.9257,64242.89156,65447.01374,156074.7694,182674.8885,127239.8506
Creatinine,104050402.2,58010955.06,49604043.66,69685330.66,43037423.36,83934375.75,97814959.6,73122157.99,42160950.95
proline,420566.739,1034566.848,326371.468,960640.6134,490219.2084,395025.8279,450459.5112,320123.9349,738071.2892
indole,76976.98202,102950.761,102325.2004,119868.9048,52670.73717,42676.47658,82464.16153,106071.9403,59383.16799
betaine,41724904.82,39714927.76,34165414.03,17592169.41,25391790,40445637.04,47914408.93,34848957.07,31935966.81
valine,100369.6151,85293.68699,173965.1597,173237.948,104468.9258,121441.9334,135817.1711,86765.3077,162706.7938
threonine,1155573.182,2403464.796,2473633.219,1331698.43,1872934.603,1395761.083,1286614.079,879244.9468,1274956.585
homoserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
purine,98400.56426,86409.98009,80912.05543,110381.7196,63566.22282,69228.40953,139412.3599,80533.94497,61585.57832
cysteine,8403.613498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
creatine,49311055.57,36927095.52,35916165.55,31396362.71,31970337.07,38550927.48,33101966.05,43298987.92,35189058.54
nicotinamide,89765.02277,65096.1923,87126.3541,18212.52294,41557.13071,87796.47827,95380.2623,76877.16211,43952.59151
Imidazoleacetic acid,339567.5421,135665.5994,241562.9399,78505.46814,116174.999,249642.8756,248776.9719,329316.7084,138721.8743
