"subclass","Sample191","Sample197","Sample270","Sample428","Sample429","Sample430","Sample433","Sample439","Sample464"
"DG(10:0)",499,2745,116357,37484,58341.5,237274,60144,4311.5,190.5
"DG(14:0)",618511.5,1183846.5,1106820,6268808.5,1584920.5,2321044.5,2561437.5,255558.5,311165
"DG(16:0)",14015383.5,21785924,18981653.5,94668823.5,33564178.5,37908977,25130964,26944373,6837681.5
"DG(16:1)",281199.5,538766.5,1045095.5,8878803,1212617,4159493,3377784,202079,1019819
"DG(16:2)",3921,6326,181791,773759,153801.5,81788.5,28541.5,6402,2488
"DG(18:0)",12816639,10161551,15936959.5,192564000.5,26565745,21612394.5,20165104,19867827,9956080
"DG(18:1)",9562921.5,80538117.5,24033903.5,140207032.5,23121110.5,61004857.5,44490148.5,80988286.5,17328163.5
"DG(18:2)",5618907,23448178.5,34339558,417053418,28316686,17455022.5,44079930.5,5898834,2238079
"DG(18:3)",372434,679274,2310757.5,36464907,2103018.5,1041480.5,2212358,34709,40079.5
"DG(20:0)",1350806,511963.5,2039331.5,20229312,3302771,1893814.5,5392955.5,723459.5,423036
"DG(20:1)",107822,185372.5,331122,6060398,634467,999915.5,661033,479950.5,685385.5
"DG(20:2)",32415,135154,4694214.5,1705691.5,1909926,3546812,564524.5,59886,20344.5
"DG(20:4)",416344,897349.5,145988,119627.5,411413,375807.5,1225143,86062.5,23070.5
"DG(22:0)",123253,538140.5,201475,5696605,206381.5,98354,398091.5,874083.5,37460.5
"DG(22:1)",239748.5,21971,105261,4396515,90657,72856,2602031.5,18415,163797
"DG(22:5)",2560,441592.5,11156,5361.5,197866,110631,8033,639501,2052
"DG(24:0)",852387.5,265374,446146.5,2769054,558204.5,127232,1398129,265972.5,11674
"DG(24:3)",4117,9581,55812.5,10615.5,48154.5,326361.5,30188,8429,336
"DG(24:6)",150014.5,3102,35527.5,36167.5,136388,217135,45344.5,64530.5,2044.5
"DG(26:6)",404685,1494907.5,209054,118113,429162.5,637909,293111,1035670.5,249305
"DG(28:3)",4117,9581,55812.5,10615.5,48154.5,326361.5,30188,8429,336
"DG(28:6)",22968.5,524902,20185,34670,9431.5,63570,14901.5,438899,21212.5
"DG(30:6)",62010,1653833.5,48497.5,548657,433142,197946.5,159211.5,577321.5,29680
"DG(32:6)",18021,42629,224920,710863.5,244985.5,35275.5,149628,102085.5,10148
"DG(42:6)",26878.5,1621.5,668534,11300445,476084,17205,62503.5,2229,1182
"DG(8:0)",30799.5,5382,844741,11605752.5,620083.5,77273.5,75874,8631,3670
"FA(16:0)",130546,131815,193242,226818,217487,219288,161505,160365,111836
"FA(16:1)",19558,11968,15283,23240,23711,17424,14351,14135,23002
"FA(18:0)",247252,214311,209388,284944,318906,294585,211905,227523,203277
"FA(18:1)",146210,91798,137414,167997,151351,151358,105585,118349,98482
"FA(18:2)",20239,12766,15481,28290,24920,17977,17999,16518,20034
"FA(22:0)",11288,35994,697,32931,42542,61193,18495,29591,10082
"FA(24:0)",16231,11734,17247,19460,13208,23722,17179,13450,24962
"FA(26:0)",20522,20511,714,5797,39677,59166,15933,12401,7857
"FA(26:1)",NA,4,3589,3184,8055,3962,1275,18,32
"FA(26:2)",60,31,47710,28303,5883,1203,5563,45,54
"FA(28:0)",13871,11145,5825,35131,33688,24325,23855,16180,17464
"FA(28:1)",337,435,108760,200631,171048,7636,5543,18,44
"FA(28:2)",2,43,13448,258665,10008,13361,8483,4,30
"FA(28:3)",NA,NA,15041,22184,12577,3450,12601,17,69
"FA(28:7)",6863,6155,5658,7413,8109,6520,7025,6599,7046
"FA(30:0)",28654,11096,66271,10726,70604,23194,15990,25894,18611
"FA(30:1)",594,5957,13534,319460,16365,30724,56963,190,2152
"FA(30:2)",27,669,13945,291236,6531,5266,45616,93,140
"FA(30:3)",204,126,16678,112628,65915,3903,23600,13,NA
"FA(30:5)",65,258,7425,10717,21052,23233,2757,76,10
"FA(32:0)",7472,20826,1205,304,2333,1010,18947,2057,9975
"FA(32:1)",150,171,8272,31679,39863,4032,4828,343,353
"FA(32:2)",196,283,27980,131892,30108,12318,4855,77,272
"FA(38:5)",44545,41359,26644,44815,36936,47771,47315,41032,45489
"FA(40:5)",706244,2942859,13675,1284543,3526672,3048292,2444706,3738088,2662394
"FA(42:10)",1313,2672,748,4217,1651,895,1311,1817,21522
"FA(42:5)",4349328,3312374,37582,1051889,4233116,3524874,3161785,3799308,4154196
"FA(42:8)",2556,11857,1626,7076,14726,12529,16389,1812,12275
"FA(44:10)",30301,7845,236,10386,10259,2641,6159,24109,4928
"FA(44:5)",1548154,654479,16776,214487,1110440,831671,787210,1076707,1255977
"FA(44:7)",316,3991,312,305,32817,6815,10687,101,101
"LPC(16:0)",359740,415315,29755,361,164168,237451,3272280,135699,76818
"LPC(18:0)",5328420,9974309,1195133,3767525,6503430,1274245,30558694,2792644,3248020
"LPC(18:1)",404801,2036444,724530,505909,1689130,553035,2120486,767358,442632
"LPC(18:2)",36049,478711,75490,29890,289925,116900,770176,180582,43921
"LPC(20:0)",20452,88024,25941,45454,32152,22554,484678,12734,26968
"LPC(20:1)",13418,114720,38648,29221,133134,56412,331753,37830,18612
"LPC(20:3)",809349,975558,783515,297898,874990,567368,701780,661732,918797
"LPC(22:3)",1832044,14671034,11721836,681617,2472488,1274553,11948541,2068856,5833565
"LPC(24:0)",49489,516117,7314,34673,336511,17202,1335982,121269,20543
"LPC(26:0)",43401,37605,101746,56715,136908,114651,440136,349889,25309
"LPC(26:1)",62048,598486,87891,13737,344118,21632,1496032,51040,5152
"LPC(26:2)",101440,72561,111181,6134,89278,177446,76947,122418,94181
"LPC(28:0)",227345,50956,327280,199047,144645,185084,187018,49370,131841
"LPE(18:0)",134369,46818,10006,236194,120043,17927,378856,57244,54529
"MG(14:0)",16120,8798,14371,4627,19043,27672,5804,17785,7552
"MG(16:0)",6390795,7724388,6186606,496892,4432708,9900489,30202516,4056456,1766189
"MG(16:2)",18,6024,62556,62226,24235,21288,3452,2526,326
"MG(18:0)",851021,519911,1724586,1672523,3096150,1522665,2259902,1010289,325478
"MG(18:1)",10933,500754,1456587,1635437,2340333,241840,52495,499020,48701
"MG(18:2)",15942,202772,1903365,4373429,1872332,180084,326128,220943,97792
"MG(18:3)",804098,854726,1133140,623488,1320250,2431097,1998492,838593,581477
"MG(20:0)",109709,105884,77929,53162,127350,165578,99512,245961,160210
"MG(20:3)",35050,37051,192358,2312593,98283,41609,161940,5177,31544
"MG(22:1)",235405,102384,230650,15672,175497,307312,220838,127661,375509
"PC(14:0)",13740408.5,23119024,9196074.5,4011345.5,19813718.5,12979781.5,30856513.5,12138661.5,6754168
"PC(14:1)",2041744,417701.5,605256,187628.5,1263101,625464,490321,557379,263374.5
"PC(16:0)",1249683492,2409678965,856428962.5,81235851.5,1805588852,1038717988.5,3573151405,992212108,499516834.5
"PC(16:1)",18799230,43980696,28792906,1174128,22269886,12681731,71036480,4132101.5,2331159.5
"PC(18:0)",469113963,871027935,179725799,17792611,665903518,259523208,1632529741,257768953,106125661.5
"PC(18:1)",896875410,1366798330,595273538.5,38975880.5,1177164486,734011301,1590536292.5,715273449.5,338309069.5
"PC(18:2)",197210251.5,596165733.5,69485260,16995886,322727385.5,138406102.5,1536381173,90962411,66364875.5
"PC(20:1)",4484209.5,4200372,3050721.5,119999.5,5481718,3430746,9272368.5,3560949.5,1279793.5
"PC(20:2)",37543,498132,68054,1406.5,55441,84390,681763,204964.5,51934
"PC(20:3)",90493267.5,214322215,33919905,3903525,123213085,31852478.5,378283636,40486739,22005324
"PC(20:4)",234029227,680918282.5,145724939,25390214,458917572.5,188461336.5,1080181485,150791405,96160000.5
"PC(20:5)",2687139.5,5865695,474596,103628,4094700,1539145,17466055,1154337.5,702424
"PC(22:3)",307171.5,801852,138391,22141.5,758505,134281.5,609329,290272,44144.5
"PC(22:4)",22028351,48565348,13948282.5,1435165.5,37470215,9602086,56010048,14784161,4444269
