"","Sample430","Sample433","Sample439","Sample464","Sample191","Sample197","Sample270","Sample428","Sample429"
"P01024",13145663281,22841285332,8176105782,13115796259,8546555277,15244316751,7495238853,7062142323,9202577334
"P04114",204163300.6,3764943036,198932043,201906689.8,533298721.7,3484571325,319172452.7,30137336.86,1279734705
"Q9Y6R7",5089506140,739588650.1,885932612.6,1006389823,842901749.6,324754730.7,1169199871,435382234.6,683421565.5
"P02768",11053280891,10950401453,11766819156,12911163015,6884064986,12638475176,8391252725,10685715195,9891205101
"P00450",4126671906,6184794544,2827188304,5934643087,2992904430,6573587145,5372846218,2297283595,5669376446
"P0C0L5",6382698345,5606580495,3215808392,6336480206,9644415000,3172545869,3657277175,3073931630,4528591259
"P0C0L4",66067415.67,84824214.5,72176546.44,51201117.75,194166199.6,19397277.18,64673594.22,36642901.68,79359763.59
"P02751",503177058.1,1441007275,555128697.8,555673942.2,1004235696,1376265602,903159138.4,534195048.8,534640957.6
"P08603",1537767192,3505693897,1020480504,2183938009,1762112659,3171362913,1625799412,1131425533,2414172843
"Q14515",1022266700,372845259.9,1898302342,838777127.9,1323908150,529458865.1,1856645682,2119474477,2091298894
"P00747",1517626813,2451874715,723164558.6,1734901641,644253332.9,2143427585,927041598.2,927265284.1,919518143.4
"P05060",1715180174,467691404,2139871572,1634739482,3596463832,531812182.3,1953804897,3884049396,3282266101
"P06396",1448629467,1470619963,1926487241,1860497235,1642555806,1755834203,1542642228,2293222123,1265026856
"P02774",5428671494,6017937972,2504178069,6156634047,4123393161,5678555620,5058781496,2948548832,5458922884
"P02790",13448585620,13374521484,13173122454,15962743361,10558229519,13374937172,17829200418,10051160418,6472692010
"P00734",1257862734,1705410681,769243008.4,1170819721,508964248.6,1735666227,526684764.9,822630281.5,715458951.8
"P00751",1611450696,2145103294,998863651.2,2295901235,879157048.4,2234515201,1333383323,649280655.5,1598205598
"P02649",5791228614,1968432904,9463335338,4079570477,7255196466,3231018659,5152006841,9471410792,6782413525
"Q7Z7M0",114471926.3,36955986.25,153249338,93620268.32,125114603.5,54843115.52,106175055.6,189480144.3,148396085.2
"P01008",1860253134,2004984160,1355720753,2598483015,1142799383,1872038947,2070371302,1373836074,1209130789
