gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Rps7,423.11,391.16,389.42,590.93,585.01,554.23,501.61,391.53,417.19
Slc16a1,9.27,9.92,9.68,30.86,29.7,31.44,14.92,13.3,13.49
Ccna2,65.15,68.75,65.9,44.19,43.93,46.9,5.51,5.41,5.63
Gabrq,0.03,0,0.03,0.01,0.03,0.02,0,0.05,0
Krt77,0,0,0,0,0,0.04,0,0,0
Havcr2,1.29,1.28,1.29,0.13,0.15,0.13,0.58,0.28,0.34
Gm4832,0.31,0,0,0,0,0,0,0,0
Echdc2,7.42,6.97,7.43,14.48,15.41,15.28,9.14,11.73,11.12
Nanos1,2.73,2.88,2.55,1.02,0.95,1.01,0.47,0.28,0.36
Hrh1,0.05,0.07,0.03,0,0,0,0,0.02,0.04
Gli2,4.05,3.97,4.39,6.55,5.97,4.98,7.68,8.33,9.37
Osbpl10,1.16,1.35,1.41,0.94,1.04,0.71,1.19,0.99,1.72
Vcam1,37.05,43.68,37.99,161.06,153.56,166.36,85.03,84.08,89.09
Rpgr,1.15,1.14,1.38,0.82,0.99,0.9,0.88,0.65,0.84
Stx5a,27.9,29.44,27.16,38.21,35.92,41.71,37.14,34.08,36.64
Ptprcap,0.23,0.25,0,0.33,0.08,0,0.23,0,0.17
Fcamr,0.03,0.05,0.01,0.14,0,0,0,0.01,0.01
Ankmy1,0.03,0.06,0.05,0.04,0.05,0.05,0,0.08,0.07
Hps5,7.35,7.9,8.51,10.81,9.99,11.21,8.42,8.4,9.16
Fcgr4,0,0.1,0,0,0,0,0,0,0
Pdcd4,10.07,9.78,10.18,28.73,28.31,29.23,34.44,32.15,33.63
Polr1e,3.83,3.71,4.26,5.36,5.26,4.66,2.47,2.41,2.02
Crebrf,1.93,2.48,1.99,4.5,4.95,4.08,9.9,9.83,9.06
Pak4,12.33,11.24,11.26,7.64,7.73,8.21,6.53,6.42,6.23
Wars,43.57,43.96,40.63,19.04,19.02,19.15,26.32,26.39,22.6
Slc24a5,0.11,0,0.12,0.18,0.11,0,0.16,0,0
Slc5a7,0,0,0.06,0,0,0,0.05,0.03,0.04
Enpp1,1.22,1.35,1.32,1.06,0.76,0.77,3.48,3.78,3.2
C330018D20Rik,5.17,3.86,4.01,6.2,5.61,5.78,4.07,3.83,3.21
2900092C05Rik,0,0.25,0,0,0,0,0,0,0
Pgk1,203.61,200.15,192.09,201.3,221.85,245.16,144.46,125.3,126.19
Mid2,5.29,5.32,5.97,3.32,3.12,2.68,6.14,6.47,5.87
Alg6,3.95,3.71,3.69,2.74,2.81,2.89,1.94,2.2,2.2
Ier5l,27.28,26.63,30.75,41.54,40.27,38.47,27.98,26.98,28.9
C2cd2l,5.29,5.46,5.25,6.63,6.54,7.4,4.02,4.41,4.29
Rnf32,0.42,0.14,0.04,0.13,0.12,0.17,0.13,0.19,0.32
