"subclass","I1_0","I1_7","I2_0","I2_7","I3_0","I3_7"
"DG(14:0)",259039,622634.5,233228,436478,689902,502569.5
"DG(16:0)",1946583.5,3248235.5,968957.5,1442393.5,2459681,3548281.5
"DG(16:1)",997055.5,1399655.5,690034.5,761703,893761,2066299.5
"DG(16:2)",25986.5,21057,14468.5,15058,17123,31096
"DG(16:3)",105755.5,10140.5,9804.5,12694.5,15136.5,45308.5
"DG(16:4)",83643,13583.5,4121,11884.5,13264,63099
"DG(18:0)",2233875.5,2763228.5,1264283,1849945.5,1974378.5,3232440
"DG(18:1)",6098885,13768161,7043790.5,7386831,9135512.5,16382020.5
"DG(18:2)",4591918,4926578.5,2473161.5,2619595.5,3723647,6537998.5
"DG(18:3)",614880.5,307573.5,310674.5,255345,299027.5,522749.5
"DG(20:0)",87743.5,50597,40263,48467.5,30713.5,46509
"DG(20:1)",133738.5,204272.5,147243,146385.5,147498,263890
"DG(20:2)",353439.5,659247.5,367094.5,342796.5,304890,618533
"DG(20:3)",63929,82336.5,39197.5,52530.5,44514.5,116862.5
"DG(20:4)",120115,282184.5,56939,173208.5,84978,510060
"DG(22:0)",152263.5,195433,139731.5,129374.5,155339.5,203018
"DG(22:1)",91427.5,262620,108633,142012,138879,179481
"DG(22:2)",141943.5,63915.5,90399.5,90108.5,72522,117322
"DG(22:3)",10423,10,NA,952,NA,1848
"DG(22:4)",73431.5,335663.5,41395.5,191373.5,222432,142315.5
"DG(22:5)",21647.5,24417,4630.5,35386.5,13700,57187
"DG(22:6)",25199,20422.5,13012,17724,34401,18520
"DG(24:2)",185820.5,549521,116813.5,352833.5,528857.5,376121
"DG(24:5)",52311,28289.5,31599.5,19452.5,19469,29979
"DG(24:6)",86664,58953.5,49894,49646,63703.5,91764.5
"DG(26:0)",36207,5841.5,13759,11553,13051,13625.5
"DG(26:4)",62828.5,18246.5,21649,23274.5,21131,39629
"DG(26:6)",173368.5,81111.5,45659,69370.5,37537.5,120693.5
"DG(28:0)",8538,9040.5,1762,10757,8510.5,11905
"DG(28:2)",4566.5,153,2957.5,349.5,7580.5,660
"DG(28:6)",67599,11872.5,2310,8530,10732,55374.5
"DG(30:2)",61904,286276.5,31222.5,150992,214003.5,93379.5
"DG(30:5)",6036,2998.5,5184.5,29960.5,31386,26093
"DG(30:6)",7344,11896.5,9191,9609,10082,17874.5
"DG(34:1)",8902,12556,23306.5,28318,21252,8045
"DG(34:6)",14214,44973,41738,46224,25914,29494.5
"DG(8:0)",21272,19522.5,39045.5,24688,16550.5,39757
"DG(O)(14:0)",38436,58751,24374.5,53009.5,22495,150628
"DG(O)(14:1)",44748.5,54827.5,8978,51507,20765.5,115820
"DG(O)(16:1)",20540,34826,20576,28040.5,14555,71957.5
"DG(O)(16:3)",17401.5,22138.5,4005.5,23760.5,12982,10164
"DG(O)(18:1)",95405.5,31722,37067.5,20581.5,26249.5,76212
"DG(O)(18:2)",49777.5,3293,9550,7174,4437,35331
"DG(O)(20:0)",45628,28429,27517.5,13407.5,21812.5,40881
"DG(O)(22:0)",13466,9664,2764.5,3522,1747.5,28017
"DG(O)(22:3)",698,5283,1114,3185.5,2079.5,15620.5
"DG(O)(24:1)",698,5283,1114,3185.5,2079.5,15620.5
"DG(O)(24:6)",4015,900,1590.5,744.5,1904,1031.5
"FA(14:0)",51760,54282,29772,56333,28315,95602
"FA(16:0)",721031,897668,502908,800129,377591,1652967
"FA(16:1)",33612,33017,7160,15172,4635,42998
"FA(18:0)",1717572,1473177,764406,1427898,554160,2352239
"FA(18:1)",363192,510867,183730,412855,157978,902533
"FA(18:2)",912835,577736,233056,495867,162433,1428700
"FA(18:3)",70260,43933,17179,48819,14659,154492
"FA(20:0)",62553,53543,24225,46490,19595,83355
"FA(20:1)",34284,52966,20505,21485,12360,68116
"FA(20:4)",65437,83333,32503,52861,32985,85114
"FA(20:5)",25824,1934,19829,34585,15220,4836
"FA(22:4)",4494,8686,1580,6236,1855,12536
"FA(22:5)",12867,13511,1609,15227,1235,22961
"FA(22:6)",27365,31097,26840,50923,28230,95029
"FA(24:0)",27146,26326,13492,16531,7833,38898
"FA(26:0)",17252,19010,9610,15846,14417,18574
"FA(28:0)",21724,14366,17711,13179,14414,29226
"FA(30:0)",26557,29534,23111,22335,23790,20410
"FA(38:5)",34152,54741,62135,37454,25953,26033
"FA(40:5)",107261,192706,89173,204444,97220,111920
"FA(42:5)",313794,68803,231059,251492,148730,188581
"FA(44:5)",146581,147156,158535,128036,91234,125362
"LPC(16:0)",69834,367910,55990,327867,66015,399866
"LPC(18:0)",156116,420345,57303,378492,117488,555298
"LPC(18:1)",60489,148315,46669,137656,63132,195080
"LPC(20:0)",5136,19885,99,12098,1522,24527
"LPC(20:1)",6838,27036,4476,24546,6164,49105
"LPC(20:3)",8089,71195,2688,59214,10428,22574
"LPC(20:4)",3129,12761,4464,12025,4232,18686
"LPC(22:0)",16459,32436,19140,19144,19295,17459
"LPC(22:5)",6175,9488,2441,5520,13064,10192
"LPC(22:6)",64778,31406,94938,13103,94841,95205
"LPC(24:3)",97752,41965,54529,26413,42729,45996
"LPC(26:0)",6643,15253,2080,17418,231,32080
"LPC(28:0)",41282,23595,19076,13540,23783,28079
"LPC(28:5)",27349,11706,9949,9430,9730,15027
"LPC(28:6)",18734,18869,12197,16215,15095,21230
"LPE(18:0)",14855,97992,2512,96646,3872,126949
"LPE(20:4)",1967,18675,3742,13407,3179,27463
"LPE(O)(22:6)",1307,16011,24614,4586,5649,7802
"LPE(O)(6:0)",51576,208436,127876,178133,140222,459477
"MG(16:3)",262781,142042,207331,140326,229918,177946
"MG(16:4)",138772,84068,65522,88563,64557,123845
"MG(18:0)",46513,13955,12951,6171,8276,41305
"MG(18:1)",76670,43631,30810,27906,42681,72821
