"subclass","I1_0","I1_2","I1_7","I2_0","I2_2","I2_7","I3_0","I3_2","I3_7"
"DG(14:0)",320276,536781,693692.5,265107,690372.5,492436.5,715681.5,490244.5,708135.5
"DG(14:1)",264932.5,227880,134002.5,113994,81523.5,169289,136502,161394.5,346599.5
"DG(15:0)",114610.5,71049,38065,44626.5,49804,54469.5,40692.5,55761,44183
"DG(15:1)",8465.5,7603.5,973,2050,905.5,1527,277,2775.5,5844
"DG(16:0)",2008394.5,5305157,3278604,1007220.5,4548988.5,1474267,2523016,2318458.5,3624230.5
"DG(16:1)",1229568,2193704,1575910.5,806498,1620952.5,860862,1001442.5,1197498.5,2229845
"DG(16:2)",25986.5,31623.5,21057,14468.5,24121.5,15058,17123,10487.5,31096
"DG(16:3)",141317.5,83894.5,53620.5,21005,55205.5,43336,40843,48797,93635
"DG(16:4)",83643,13424.5,13583.5,4121,10197,11884.5,13264,13727.5,63099
"DG(17:0)",124818,122954,133354,59924.5,180236,95535,117015,180134,208596
"DG(17:1)",107508,162678,83173.5,56991.5,93517.5,60517.5,94029,89283.5,155331.5
"DG(17:2)",246101,119274,95709.5,108225,119573.5,75924.5,96553.5,124949,255548
"DG(18:0)",2386267.5,3667192.5,2906755.5,1346882,3635539.5,1931328,2076170.5,2527211.5,3343092.5
"DG(18:1)",6402871,22438174.5,13994839.5,7201149,16613014.5,7569008.5,9362181,11186841.5,16801904
"DG(18:2)",4685247.5,8867559.5,5091359.5,2598505.5,6743999.5,2728478,3764234,3603299,6716010.5
"DG(18:3)",614880.5,612306,307573.5,310674.5,418376.5,255345,299027.5,251138.5,522749.5
"DG(18:4)",2137.5,6375,2818.5,1476.5,925.5,9078.5,7333.5,4393.5,5729
"DG(19:0)",339106,215615.5,231980.5,139336,186312.5,154177,183135.5,196822,271313.5
"DG(19:1)",86615.5,38152.5,25831,35359.5,28620,33417,18550.5,28175.5,3312
"DG(19:2)",294531,233610.5,94432,125270,101129,125555.5,130810,157208,264139
"DG(20:0)",133371.5,99040.5,79026,67780.5,77540,61875,52526,46984,87390
"DG(20:1)",133738.5,277962.5,204272.5,147243,242854,146385.5,147498,214403,263890
"DG(20:2)",353439.5,391139.5,659247.5,367094.5,622384.5,342796.5,304890,413648,618533
"DG(20:3)",112274.5,93526,130762.5,58020.5,112090.5,80914,73190.5,55370,157023.5
"DG(20:4)",120115,313466,282184.5,56939,208232,173208.5,84978,140364.5,510060
"DG(21:1)",125852.5,95222.5,74834,53561,74524,54514.5,67762,68128.5,104555
"DG(21:2)",4928.5,41136,34248.5,21478,33175.5,21382,24267.5,32066.5,18730.5
"DG(22:0)",165729.5,221032,205097,142496,135853.5,132896.5,157087,151754.5,231035
"DG(22:1)",91427.5,226208,262620,108633,212742.5,142012,138879,130335,179481
"DG(22:2)",141943.5,82622.5,63915.5,90399.5,104980.5,90108.5,72522,93380.5,117322
"DG(22:3)",11121,3073.5,5293,1114,3003.5,4137.5,2079.5,5265.5,17468.5
"DG(22:4)",73431.5,426998,335663.5,41395.5,329528.5,191373.5,222432,187561.5,142315.5
"DG(22:5)",21647.5,22564.5,24417,4630.5,37383.5,35386.5,13700,35155,57187
"DG(22:6)",25199,35766,20422.5,13012,37510,17724,34401,21796.5,18520
"DG(24:1)",698,2474.5,5283,1114,3003.5,3185.5,2079.5,5265.5,15620.5
"DG(24:2)",185820.5,228302.5,549521,116813.5,545478,352833.5,528857.5,290847.5,376121
"DG(24:5)",52311,25586.5,28289.5,31599.5,29935.5,19452.5,19469,31634,29979
"DG(24:6)",90679,106296,59853.5,51484.5,92450.5,50390.5,65607.5,90989.5,92796
"DG(25:0)",134320,100819,125734,80893.5,81332,67258.5,85497.5,70364,77915.5
"DG(26:0)",36207,5539.5,5841.5,13759,9290.5,11553,13051,6270.5,13625.5
"DG(26:4)",62828.5,24498,18246.5,21649,26495,23274.5,21131,32279.5,39629
"DG(26:6)",242090,74309.5,98079,70313.5,84642,88607,52419,89033,165123.5
"DG(28:0)",8538,12821.5,9040.5,1762,10681,10757,8510.5,16378.5,11905
"DG(28:2)",4566.5,24808.5,153,2957.5,13516,349.5,7580.5,16008,660
"DG(28:5)",236275.5,118263,92210.5,111410.5,157669.5,93285.5,113003.5,137108.5,240952
"DG(28:6)",67599,9598,11872.5,2310,9633,8530,10732,8809.5,55374.5
"DG(30:2)",61904,413788.5,286276.5,31222.5,304352,150992,214003.5,167921,93379.5
"DG(30:5)",6036,16958,2998.5,5184.5,34221,29960.5,31386,10511,26093
"DG(30:6)",7344,15334,11896.5,9191,29375.5,9609,10082,13752.5,17874.5
"DG(31:0)",8550.5,57090,146905.5,110160.5,8178,90979.5,14362,108260,104527
"DG(32:6)",7681,17752,12453,8404.5,19313.5,16010,20900.5,12890,11892
"DG(34:1)",8902,11635,12556,23306.5,18355.5,28318,21252,10648.5,8045
"DG(34:6)",14214,26166.5,44973,41738,55373,46224,25914,44079,29494.5
"DG(8:0)",223583.5,120010,137295,116855,154985.5,103382.5,91524,117953.5,171509.5
"DG(9:0)",212130,111330,133044,87690.5,122548.5,103783,103207.5,103933,149373.5
"FA(14:0)",51760,53220,54282,29772,48233,56333,28315,42593,95602
"FA(16:0)",721031,730171,897668,502908,673544,800129,377591,666522,1652967
"FA(16:1)",33612,27117,33017,7160,14978,15172,4635,14908,42998
