"","p.log","fc.log"
"BMP 32:6|BMP 16:3_16:3",0.238534221309412,-0.7921
"BMP 38:7|BMP 16:1_22:6",1.16834442912058,3.1148
"BMP 40:6|BMP 18:1_22:5",0.828751028655612,4.7352
"BMP 40:7|BMP 18:1_22:6",0.684266801567226,5.5603
"BMP 44:11|BMP 22:5_22:6",0.77693462890533,3.5315
"BMP 44:12|BMP 22:6_22:6",1.14397482604777,5.5305
"CAR 10:1",0.236132961790332,-0.1717
"CAR 10:2",0.015253117513849,-0.043844
"CAR 12:3",0.468588030686012,0.85054
"CAR 14:2",0.236664969986584,-0.23091
"CAR 16:1",0.189780767579941,0.2061
"CAR 16:2",0.147933931077776,-0.30449
"CAR 20:4",0.27177122784983,-1.0778
"CAR 22:2",0.298554704610845,-1.8835
"CAR 22:5",0.160353179346857,-0.84297
"CAR 22:7",0.887706727432145,-0.60233
"CAR 8:1",1.03340471637477,-0.64603
"CAR 8:2",0.117832029708581,-0.20514
"CE 20:5",0.360369806672446,0.45489
"CE 22:6",0.563972616934805,1.0098
"DG 30:0|DG 14:0_16:0",0.319143521672803,0.60746
"DG 30:1|DG 14:0_16:1",0.171776678873546,0.57236
"DG 30:1|DG 8:0_22:1",0.0143886594936007,-0.046652
"DG 32:0|DG 16:0_16:0",0.0441068622235073,-0.057931
"DG 32:1|DG 14:0_18:1",1.14108112002039,-1.2389
"DG 32:1|DG 16:0_16:1",0.172819630283185,0.54923
"DG 32:2|DG 14:0_18:2",0.249079076404126,0.38233
"DG 32:2|DG 16:1_16:1",0.152866828313769,0.43949
"DG 32:6|DG 8:0_24:6",0.0152281648379801,0.013876
"DG 34:0|DG 16:0_18:0",0.59483622607171,0.61141
"DG 34:1|DG 16:0_18:1",1.18553826996533,1.2271
"DG 34:1|DG 18:0_16:1",0.298536180237718,0.913
"DG 34:2|DG 16:0_18:2",0.264097458986274,0.53962
"DG 34:2|DG 16:1_18:1",0.351335045173729,1.3097
"DG 34:3|DG 16:0_18:3",0.61435302615892,-0.65772
"DG 34:3|DG 16:1_18:2",0.591106009198207,0.64755
"DG 34:4|DG 16:1_18:3",0.138369360461811,-0.22729
"DG 36:0|DG 18:0_18:0",0.00638922979097414,-0.020309
"DG 36:1|DG 18:0_18:1",0.481517604477983,0.63666
"DG 36:2|DG 18:0_18:2",0.0769740610087704,0.1927
"DG 36:2|DG 18:1_18:1",0.456422655261775,0.72641
"DG 36:3|DG 18:1_18:2",0.554493587567963,0.4812
"DG 36:4|DG 18:1_18:3",0.576546633479719,-1.0071
"DG 36:4|DG 18:2_18:2",0.178028965927252,-0.56423
"DG 36:5|DG 18:2_18:3",0.183505772374766,0.30631
"DG 36:6|DG 18:3_18:3",0.238240436023823,0.87482
"DG 38:0|DG 18:0_20:0",0.03941608597838,0.033591
"DG 38:1|DG 16:0_22:1",0.852711573346963,2.0945
"DG 38:1|DG 22:0_16:1",0.582069408438441,0.42446
"DG 38:2|DG 14:0_24:2",0.427903239478566,1.1862
"DG 38:2|DG 16:1_22:1",0.302811602681574,0.73604
"DG 38:2|DG 18:1_20:1",0.265708205305961,0.79598
"DG 38:3|DG 16:1_22:2",0.00668319377648879,0.009758
"DG 38:3|DG 18:0_20:3",1.94262066257246,3.4779
"DG 38:3|DG 18:1_20:2",0.637920584763355,0.57257
"DG 38:3|DG 22:1_16:2",0.00136135914107864,-0.0040437
"DG 38:4|DG 18:0_20:4",0.830104809601378,2.0374
"DG 38:4|DG 18:1_20:3",0.017797028851326,0.041287
"DG 38:4|DG 18:2_20:2",0.407137444873071,0.54895
"DG 38:5|DG 18:1_20:4",1.25368588846655,1.1614
"DG 38:5|DG 18:2_20:3",0.0126320107867259,0.019766
"DG 38:6|DG 16:0_22:6",0.0157364058303142,0.046282
"DG 38:6|DG 8:0_30:6",0.526288930257237,0.62989
"DG 38:7|DG 16:1_22:6",0.00696422117525979,0.017362
"DG 38:9|DG 16:3_22:6",0.305301414983086,-0.98797
"DG 40:0|DG 18:0_22:0",0.00263610986566865,-0.0038173
"DG 40:2|DG 20:1_20:1",0.140360472720893,0.12908
"DG 40:3|DG 16:1_24:2",0.0600633394819789,-0.21208
"DG 40:3|DG 20:1_20:2",0.530746282476181,0.81774
"DG 40:5|DG 18:0_22:5",0.480672780404026,2.6694
"DG 40:6|DG 18:1_22:5",1.08212498578454,1.2648
"DG 40:7|DG 16:1_24:6",0.0595805854917054,-0.090676
"DG 42:0|DG 16:0_26:0",0.555421969206417,-1.1244
