"Class","I1_0","I1_2","I1_7","I2_0","I2_2","I2_7","I3_0","I3_2","I3_7"
"BMP",114954,58911,111494,18154,40892,89532,22091,36661,316146
"CAR",1072870,804047,674437,599531,687222,631617,542138,682883,930061
"CE",35354,40884,60372,44171,35498,65045,27666,36460,56226
"DG",22673775,48808147,32951862,16376501,39245946,18964944,23494664,25629750,39949794
"FA",4812404,3752766,4400849,2473282,3411711,4186063,1839772,3529876,7581951
"LPC",993248,942345,1494835,697841,899129,1349143,806651,892590,1978561
"LPE",197029,490348,537044,251138,388997,433817,245722,411371,1011482
"MG",1398350,1405778,1154754,911932,1258697,999936,896701,1174738,1604620
"PC",26132812,44120087,67326748,14615580,37466264,51989367,16900768,30049753,84203223
"PE",5847403,7292627,11454690,3329921,8783110,11483833,2776094,6901685,18250328
"PEtOH",42775,19503,16092,27758,21799,38634,17092,24062,79645
"PG",188301,300131,440327,137965,267516,446109,117278,224920,566047
"PI",559272,1158247,2243938,329253,1297356,1996823,327875,903732,1936492
"PMeOH",21976,12663,4482,11650,10137,9772,6816,10413,20139
"PS",205016,283463,1135795,85205,308092,1016601,100719,217417,1702892
"SM",9322685,9524415,16736667,4849348,8895409,14757700,6022472,6741289,20885739
"SPB",696233,727238,703995,671734,689433,675419,688619,656642,717682
"TG",158124133,520332605,513562947,401567263,512142760,383687957,506949387,418302888,277046376
