"gene","R_log2FC_avg","R_n","R_up_pct","R_down_pct","P_log2FC_avg","P_n","P_up_pct","P_down_pct","P_R","p_value"
"LPCAT3",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"MBOAT2",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT4",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT2",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT1",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT3",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"MBOAT2",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT4",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT2",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT1",0.769848727248001,15,0.666666666666667,0,0.776719286381453,17,0.882352941176471,0,0.00687055913345136,0.93687378769803
"LPCAT3",0.223966450403142,3,0.333333333333333,0,0.672661147859733,16,0.75,0,0.448694697456591,0.227658251865237
"MBOAT1",0.223966450403142,3,0.333333333333333,0,0.672661147859733,16,0.75,0,0.448694697456591,0.227658251865237
"LPCAT4",0.223966450403142,3,0.333333333333333,0,0.672661147859733,16,0.75,0,0.448694697456591,0.227658251865237
"LPCAT3",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"MBOAT2",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"MBOAT1",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"LPCAT4",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"LPCAT3",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"MBOAT2",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"MBOAT1",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"LPCAT4",0.971202916601436,13,0.846153846153846,0,0.93255978178634,16,1,0,-0.0386431348150962,0.765167922919353
"LPCAT3",0.223966450403142,3,0.333333333333333,0,0.672661147859733,16,0.75,0,0.448694697456591,0.227658251865237
"MBOAT1",0.223966450403142,3,0.333333333333333,0,0.672661147859733,16,0.75,0,0.448694697456591,0.227658251865237
"LPCAT4",0.223966450403142,3,0.333333333333333,0,0.672661147859733,16,0.75,0,0.448694697456591,0.227658251865237
"CEPT1",0.850354569747929,15,0.733333333333333,0,0.776719286381453,17,0.882352941176471,0,-0.0736352833664764,0.457443462849271
"CEPT1",0.850354569747929,15,0.733333333333333,0,0.93255978178634,16,1,0,0.0822052120384108,0.410746175417739
"EPT1",0.850354569747929,15,0.733333333333333,0,0.93255978178634,16,1,0,0.0822052120384108,0.410746175417739
"PEMT",0.93255978178634,16,1,0,0.776719286381453,17,0.882352941176471,0,-0.155840495404887,0.00560426408635856
"PNPLA6",0.769848727248001,15,0.666666666666667,0,0.6643271436065,1,1,0,-0.105521583641501,NA
"PLA2G16",0.672661147859733,16,0.75,0,0.223966450403142,3,0.333333333333333,0,-0.448694697456591,0.227658251865237
"PLA2G4E",0.672661147859733,16,0.75,0,0.223966450403142,3,0.333333333333333,0,-0.448694697456591,0.227658251865237
