gene_id,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
Cebpa,4101,3360,3735,18377,17121,17504,16054,18170,19463,9557,10726,10798,11053,10899,10608,12494,12733,11359
Cebpb,9434,9452,9095,16854,16329,16209,8009,9468,9638,7010,7271,7846,9309,8892,8637,10267,10169,9749
Cebpg,4228,3649,3657,2567,2858,2762,3650,3486,3571,3170,3306,3987,4212,3906,4067,4487,4105,3902
Nr3c1,6526,7149,6505,4622,5334,4989,5343,5316,5247,5622,5426,6706,7651,8642,8430,9306,9425,9054
Klf4,4699,5118,4816,3043,3125,2702,14123,14176,13604,6733,7485,6918,7764,7619,6907,7592,7830,7330
Klf5,116,70,152,208,128,160,216,269,151,64,70,47,80,77,72,74,76,58
Klf6,10420,10276,9812,4085,4104,3648,12189,13360,13697,8845,9984,10620,7960,8323,8003,8537,8060,7225
Klf9,4961,5539,5181,8969,9940,9707,16676,18449,15859,8894,10378,10912,5089,5911,5903,5664,5662,5194
Klf15,491,594,495,1790,1679,1852,3283,3302,3419,1328,1841,1623,1452,1558,1445,1665,1765,1705
Egr2,844,1089,1074,8923,9743,10192,2784,3206,3014,1188,1529,1571,1331,1107,1217,1227,1044,1190
Nr1h3,353,357,358,1051,1090,987,2429,2360,2641,1299,1503,1212,1107,941,1076,1092,929,923
Nr1h2,3977,4330,4109,3573,3353,3560,4164,4345,4325,3698,4633,4254,5005,4745,4630,4792,4577,4152
Pparg,595,633,592,2815,2586,2799,2089,2520,2874,1658,2030,2153,2323,2113,2227,2514,2614,2159
Srebf1,7446,7898,7521,9760,9109,9485,9671,10391,10212,8656,9504,9604,10480,10401,10069,11887,11776,11503
Stat5a,1394,1421,1334,1419,1601,1454,1665,1928,1693,1524,1560,1624,1743,1754,1607,1664,1744,1895
Stat5b,3062,3048,2918,2102,2133,2061,2542,3018,2602,2899,3045,3384,3057,3246,3246,3481,3477,3259
Thra,5237,5516,4981,5687,5780,6041,6536,6943,6430,6373,7376,6977,8268,8205,7699,7686,8091,7168
Thrb,340,383,346,480,549,498,1432,1718,1518,1067,1244,1198,928,825,918,1075,890,946
Epas1,3238,3100,3150,5527,5462,5175,8729,9207,7920,5275,5750,5892,4943,5389,5244,6187,6430,5526
