LipidIon,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
AcCa(14:0),0,0,0,5550836.547,6239830.04,2742142.233,8881484.077,3184536.181,7765675.209,19100000,13900000,5259028.687,13700000,11700000,9278451.399,19100000,18600000,20300000
Cer(d12:0_14:0),12500000,16100000,18700000,1.10E+07,9192562.853,16500000,13600000,12900000,18400000,14600000,14500000,13300000,26500000,29600000,20600000,16700000,18400000,17900000
Cer(d32:1+O),0,0,0,768486.991,411274.753,597316.988,1325992.359,921532.348,792329.266,1737260.736,1983876.702,1338457.867,2519486.679,2827432.962,2337086.98,2724657.236,2899931.092,3135158.491
Cer(d16:1_16:1),0,0,0,2648579.527,1597943.665,2800664.282,6445807.997,5756542.049,5981961.642,6298767.457,6037564.538,6055154.851,1.20E+07,10800000,8206156.002,9447303.467,1.40E+07,12600000
Cer(d34:3),0,0,0,1598229.87,1009754.821,2006345.037,2310540.834,1656527.119,4362369.379,6392645.1,7053825.67,5860749.015,7377756.909,6306253.824,7432280.84,8749381.118,13400000,10900000
Cer(d18:2_18:0+O),0,0,0,677036.899,224682.222,877873.848,2335571.675,1186497.153,804206.688,2518204.113,2985547.089,1613641.12,3997198.387,3861417.404,2886539.482,5029807.451,5420463.49,5459371.995
Cer(d22:0_18:0),1019017.227,26300000,26300000,18500000,2.10E+07,21100000,21200000,21500000,4738156.151,17700000,32400000,28900000,16800000,31500000,30900000,9013787.352,10900000,28200000
Cer(d22:1_18:0),280170.4824,7111924.557,4290965.565,7371908.648,5641572.722,7222943.388,9921006.523,11100000,15900000,9869229.61,12200000,9882633.144,13700000,12700000,9390709,14100000,15600000,16400000
Cer(d18:2_22:1),0,0,0,1488858.351,799715.883,1152270.778,3378400.609,2449990.063,1947767.747,4014224.046,3395304.057,3037217.405,5307251.358,6717070.409,5781787.7,9743376.337,8344733.981,7868475.779
Cer(d42:0),4583296.303,2580335.151,1865578.898,2333748.365,6292990.144,6500855.373,7187095.422,6539411.065,2217245.547,10500000,9873483.836,9280058.57,12400000,10600000,10200000,7854570.224,9641141.151,9145299.632
Cer(d20:0_24:0),3.834,1841051.177,2836265.314,2048346.408,15700000,12600000,2614573.873,2195316.776,399725.374,6792772.928,6167417.929,4378194.438,6435464.036,4746042.8,5474295.113,1664745.029,0,0
Cer(d44:1),2124930.074,7470506.378,6744861.765,1.10E+07,1.70E+07,14700000,27900000,20200000,6401888.674,22200000,25800000,19900000,2.90E+07,30900000,23600000,29900000,29500000,29100000
Cer(d20:0_26:0),0,2664175.691,3702004.265,5216407.459,5530880.351,13300000,1969216.147,2375350.766,0,0,4164288.925,5119560.814,0,0,0,0,0,0
Cer(d20:2_26:0+O),0,2748944.563,2867702.25,2979615.159,12300000,12700000,1471491.779,4210599.958,858337.784,6900914.523,6652109.609,7769845.437,6075946.503,6859730.322,6665663.675,8550418.73,4350177.685,4815628.956
Cer(m18:0_16:0),0,346053.3168,398855.2488,0,0,1346275.101,12800000,4973912.398,4732229.796,4121572.118,7247237.064,5149997.573,2097038.659,5363356.907,3988502.325,6235864.977,7024462.925,7255584.182
Cer(m18:0_24:0),0,2103961.748,1873118.062,1905422.329,3586124.603,2264704.795,7518852.647,4990260.827,2979316.615,4113308.914,6410110.693,4453462.193,4339138.305,2623927.37,3066360.838,5366320.222,7882268.108,3570920.546
Cer(t18:0_14:0),11200000,7706791.132,9868255.314,12800000,11500000,19100000,16500000,1.50E+07,19300000,13200000,18100000,13900000,28300000,25800000,18900000,18400000,18200000,20800000
Cer(t16:0_16:0),5095404.744,8501158.632,6252559.966,20700000,1.90E+07,23700000,30900000,25100000,25800000,42600000,42500000,38400000,48100000,53500000,52600000,63700000,61900000,60500000
