Metabolites,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
glyoxylate,N/A,18294.35167,N/A,N/A,10447.47858,N/A,N/A,43705.73799,13443.289,8707.293678,6522.011296,4128.387893,4518.224472,N/A,129252.7209,6623.504868,4869.529532,8222.305942
glycolate,N/A,N/A,N/A,N/A,3144.661667,N/A,N/A,N/A,5025.837592,N/A,7221.995627,N/A,N/A,N/A,19993.91135,N/A,N/A,N/A
pyruvate,60682.63937,26716.87053,N/A,5926.925274,25164.71962,7788.613239,17400.14067,62784.97243,N/A,13547.56584,N/A,6181.715471,18755.68957,43928.59557,77358.3125,N/A,10267.13609,27163.12746
lactate,1315244.084,1306876.538,1732226.791,1608091.91,2624966.825,2927129.127,2678833.643,2486486.613,3867926.898,2516121.177,2811419.701,1772689.464,2434315.367,3119936.77,4210605.848,3914886.41,5052114.533,3811347.024
2-oxobutanoate,12791.89244,41225.14793,24604.71691,15095.76973,N/A,38213.58019,6543.624666,67154.84747,31129.96798,17294.88706,14452.18982,N/A,20132.38148,32527.07452,173773.0521,24828.53218,38974.40487,28392.66564
acetoacetate,23352.77912,33959.9867,19037.16025,15137.99294,21298.56201,37092.04554,18910.31329,68392.94851,28306.83856,23066.87655,32453.73316,16430.6422,32489.28894,30746.81959,192518.5255,20468.94695,24854.64162,35294.33044
glycerate,24889.07575,137697.8161,46218.2771,24097.44419,53489.15077,77365.07277,21290.95787,274481.0415,39972.77423,84903.31865,62803.57747,43380.53874,56980.60798,107485.4031,1586375.908,74207.88455,92101.72437,67476.71812
uracil,204254.2467,164375.9018,111514.6359,42483.80205,39680.83946,68593.56219,59463.84343,95648.2212,26545.8066,46338.95505,45331.3282,20946.33083,55890.24455,83324.85524,196683.0274,49011.77759,31444.75441,39236.17948
fumarate,151566.4249,618627.3077,149668.4278,148081.2115,187175.4917,176667.1887,348351.8501,1432125.321,310543.543,293903.6922,255718.0505,167858.8185,273773.5691,238628.4695,5028143.694,348016.6597,334098.9729,284102.5777
Maleic acid,193583.7348,700753.4406,144688.5437,191399.9894,208754.5869,198689.2086,338412.753,1537501.485,328600.1431,289938.8003,302019.1863,164862.6627,238883.4983,317597.5188,5198042.928,331791.5479,418309.531,266627.7204
2-keto-isovalerate,165711.8839,715373.6335,191382.7403,153306.7448,223926.5809,202575.5396,426987.3038,1553433.504,334125.0233,274617.6001,346221.1901,154895.4903,305416.0389,366211.8905,4853056.502,382274.105,485291.7899,314567.2441
Guanidoacetic acid,22438.54203,69212.38477,29165.33458,17770.02099,28767.59122,67586.51289,19514.96358,134002.614,34478.75539,72946.0083,35280.90607,31418.23378,19427.44226,90154.43575,456553.312,23912.63472,48914.3273,23603.18583
succinate,146546.8307,286850.5747,149498.3352,129263.5812,319216.8436,329585.2728,395892.1402,619150.691,422288.4671,524340.0775,578279.8395,406544.2413,321794.6063,544833.5883,1818442.077,609101.2143,642933.1881,1062574.722
Methylmalonic acid,179355.6629,318572.4711,200434.9619,167790.2495,336958.8831,444251.6025,447780.989,750606.383,462400.1151,623611.2618,620186.2488,441370.6852,346708.716,623112.2663,2255796.969,699178.3305,787126.1937,1081539.195
3-S-methylthiopropionate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4097.594235,N/A,N/A,N/A,N/A,5753.195564,19442.474,N/A,3918.805,N/A
nicotinate,139723.0155,273064.4525,261729.6852,160357.5357,151108.2767,183098.3265,197669.1438,156796.9591,175867.7258,152623.7269,154502.9533,130517.6768,140206.7283,146658.5226,305096.065,167426.4016,181578.4374,197959.2035
taurine,6625018.17,5227562.329,5392653.8,6035028.968,7172977.71,6553689.12,10175638.47,9711456.731,12436010.79,18786762.05,19552884.68,11925891.11,20181796.47,18830525.92,12255282.53,24956371.91,24726368.66,23099401.31
Pyroglutamic acid,87031.97081,89459.38222,122592.0755,150130.7681,203690.8321,254496.907,160377.022,160362.0072,301644.2692,122559.3334,178969.7834,68586.68589,114301.8309,110869.3052,149903.8024,210857.9501,276716.7312,150460.9016
Citraconic acid,617357.1597,213959.6749,64549.2971,101088.6207,168948.8132,115157.3561,226582.9543,640774.7077,200248.28,90269.98187,222455.2183,116466.861,209330.7495,217746.4055,690620.2326,197283.5786,177194.1624,145073.2883
2-ketohaxanoic acid,N/A,18467.38458,12213.32074,12992.52003,10045.40796,7355.10386,12786.45056,43660.35621,N/A,7139.365115,7140.477831,6241.965755,9601.627873,10053.18601,62070.68885,19048.85415,15988.99606,23456.91453
N-Acetyl-L-alanine,536486.9549,439664.499,464400.063,301511.523,300964.24,331978.0121,582248.1082,713315.9986,867945.7581,964324.0009,886338.6535,636034.8187,822450.6704,831278.2406,501075.5125,938292.0715,852658.8541,811153.1154
oxaloacetate,44788.79318,81371.65001,72022.29287,47000.76906,98060.17126,126632.4526,70018.94721,95691.94504,69991.12932,146455.9685,124913.8993,157752.6785,120948.6835,165167.5325,533947.8756,162408.7855,169942.3959,225465.3746
Hydroxyisocaproic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
malate,1415951.365,5271499.684,975824.0319,1580264.988,1723985.348,2131562.655,3437080.647,15797599.32,2640624.162,2736116.631,2716090.409,1778066.398,2294510.376,2007228.732,47756073.59,3048766.522,3315775.224,2437167.005
hypoxanthine,152421.9394,99883.32152,129697.8612,18697.64586,12561.37625,14962.27323,3923.6585,18215.79307,15328.27958,14001.10219,10592.8803,N/A,13109.46216,17213.79703,40720.05357,30943.45491,31748.21742,18076.73461
anthranilate,220852.7115,130958.061,75931.2041,74389.85143,88980.87441,141599.7782,67900.38847,248349.264,326936.2096,25352.17503,55814.62669,40086.6989,49905.74632,68703.07722,231362.5907,26169.47718,62087.68567,54340.56898
p-aminobenzoate,226024.1577,157127.3801,85339.63698,73215.57078,66244.96188,115532.7501,52810.255,215694.9272,303004.6295,44321.08765,27779.72507,41890.1177,33837.73156,62936.30397,214154.4575,39880.37217,59898.02921,59618.93168
p-hydroxybenzoate,238660.6003,738330.6008,125353.4764,62631.30397,74380.70496,88094.67946,80890.72644,1106460.61,438183.6624,119255.7014,79158.0117,85993.96652,101773.9649,153305.6423,7527863.006,179490.5687,164606.2098,231503.6384
acetylphosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carbamoyl phosphate,958357.5668,722047.7978,928348.335,1394254.231,1771188.132,1469169.202,1733789.263,1466727.392,2475853.367,1587106.24,1784723.822,1212509.62,1612552.763,1334613.332,434625.8737,2079858.688,2234438.91,1668391.534
a-ketoglutarate,195403.0999,187283.4098,198649.3475,172390.0034,242048.1109,203501.4769,134250.9359,134410.1291,186585.309,261726.2014,229945.5707,181825.2363,218106.5452,270162.0927,135196.6469,417238.5558,387623.3646,394722.5596
Phenylpropiolic acid,516175.3476,382517.0326,484332.8285,524850.8644,598032.3405,489504.6184,370071.2376,355768.2332,529657.9825,621031.8449,530528.6577,465881.7285,610626.8919,625856.7548,312633.9592,877107.8773,1044556.793,877500.171
2-oxo-4-methylthiobutanoate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Hydroxy-2-methylbutanedioic acid,99115.51941,148887.1843,63226.4127,64835.44634,175534.6222,302115.9198,64655.15097,413605.0309,97735.14382,195202.9937,169472.8508,125981.212,169937.6248,559134.2938,1050189.276,208134.2763,232314.0398,355262.4754
3-methylphenylacetic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xanthine,758781.751,651799.863,975566.3071,199815.4315,193960.845,134437.4532,78485.69193,125017.3328,95976.92605,57409.31856,55951.55276,28628.00473,48901.66829,85250.66447,169385.0011,104799.8847,65837.29275,23316.4689
Hydroxyphenylacetic acid,23312.14532,92112.37575,65447.65992,61916.69223,65880.01125,224582.6669,43671.57336,64521.85807,76526.36749,120367.6994,102145.5068,141155.9174,99247.2181,174979.9441,324047.6787,147473.8943,162503.9167,153010.3346
"2,3-dihydroxybenzoic acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orotate,43955.92941,50237.06853,39139.52602,23195.40124,32456.44561,78515.32668,N/A,46616.83428,23252.14425,41812.09232,22525.20895,20836.11697,26920.20792,81368.69805,193392.6105,53277.25619,49825.14858,55465.18354
dihydroorotate,N/A,36047.31956,40097.47927,38875.03141,58862.73674,51712.03675,48520.88645,65142.05174,70965.62214,70338.08068,82068.4191,48834.60643,69617.37408,84210.69281,141232.1912,95064.74035,94720.92635,49666.51059
allantoin,8372.871557,N/A,8251.632861,5972.876501,15338.01265,35528.28543,10707.87803,11687.92142,25815.84773,12072.03151,12565.43855,5486.011667,11789.6371,25072.93997,14974.7298,14224.85849,37232.77349,20305.04415
