"subclass","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3"
"Cer(14:0)",24264121.123,23806791.132,29136685.508,46300000,46800000,50400000,27824872.42,23921707.334,38755694.059,35353523.151,32292628.346,41117554.444,34559132.03,40037207.54,31364497.195,65500000,64640375.093,47272076.465
"Cer(16:0)",1225372772.16,1354880331.9948,1213247099.3318,10004635864.977,10920724462.925,10348255584.182,3247048753.056,3208692454.836,3094209796.531,6069700000,4102973912.398,3830732229.796,6654921572.118,6664647237.064,6597349997.573,8693397038.659,8387763356.907,7700888502.325
"Cer(16:1)",40850901.196,19875613.29,10787345.506,848667763.057,1.081e+09,795200000,207498589.512,188396487.734,210403246.361,652490033.352,384312076.316,303581076.488,499193918.934,592270523.3,554910165.928,728700000,706600000,697218879.879
"Cer(18:0)",68434057.9914,231638237.889,162245488.654,1458343594.803,1601320463.49,1532159371.995,422303557.22,456152287.979,420426994.172,867656578.198,589503307.794,567036288.989,890887433.723,998285547.089,875896274.264,1280897198.387,1229461417.404,1120377248.482
"Cer(20:0)",11658172.556,26600000,5039656.418,2.46e+08,2.2e+08,2.6e+08,55600000,59400000,4e+07,112600000,9.9e+07,98400000,94400000,170200000,124400000,170800000,156800000,151200000
"Cer(22:0)",94934657.906,182142385.413,167304009.935,1415040652.528,1564426692.928,1572481667.197,410554029.2838,392696796.439,404824927.235,925252136.071,644488612.52,524394173.979,822854207.542,1027827445.632,847847342.001,1403094335.91,1279285035.034,1097807439.034
"Cer(22:1)",8191436.278,5473679.088,4102146.247,193743376.337,209344733.981,209868475.779,45488858.351,16599715.883,15352270.778,94778400.609,59349990.063,61047767.747,99314224.046,115395304.057,81237217.405,165307251.358,155717070.409,138781787.7
"Cer(24:0)",367200369.365,804045012.925,763209383.376,3417031065.251,3760382268.108,3462070920.546,1203653768.737,1117486124.603,1157464704.795,2391233426.52,1681185577.603,819296210.629,2293406081.842,2824077528.622,2058231656.631,3301674602.341,3137769970.17,2985440655.951
"Cer(24:1)",780700000,1103200000,1080100000,6.514e+09,7.312e+09,7.072e+09,2557200000,2218900000,2379400000,4.474e+09,3094700000,1763900000,4.127e+09,4.967e+09,3.44e+09,6.304e+09,5.978e+09,5.419e+09
"Cer(26:0)",4440845.9243,21934661.918,21670484.7808,46064450.013,33479123.178,25739898.853,26247656.751,70628156.261,84293421.492,35378341.732,28825992.768,8102652.375,58142272.181,47561618.723,55867821.713,44372701.76,40082403.699,46215487.087
