"","D0_1","D0_2","D0_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3","D10_1","D10_2","D10_3"
"Cer(d18:2_18:0)",-1.17132170227252,-1.19847633413178,-1.24142529467632,-0.72148380830178,-0.86797496449913,-0.998168548721621,-0.477913822287875,0.264837558718916,-0.861279772586053,0.325483474817377,0.41863835660232,0.0272509532505984,0.494912733991903,0.400598072497868,0.647482271120927,1.79562990110366,1.63678962836614,1.52642129700738
"TG(20:1_22:6_22:6)",-0.569403206523079,-0.184525351137416,-0.248840615362102,1.79660622410062,1.60105233452551,2.79033271840084,0.190701531904751,0.0490144355433776,-0.409988305896264,-0.56402465830491,-0.56146332328196,-0.534284001417315,-0.56936456912565,-0.566235043649607,-0.559806186772619,-0.56402465830491,-0.56146332328196,-0.534284001417315
"DG(30:1e)",-0.906731300798967,-0.857602833558987,-0.901266139587767,-0.823228780103375,-0.829935311659916,-0.830645443118261,-0.685348020204957,0.38158642199293,-0.67224336229264,-0.168150259553463,0.140952734310968,-0.288437493863265,0.190880889563952,0.301718950666162,0.394599389425433,1.69234629016098,2.55213095144039,1.30937331718078
"DG(28:0e)",-0.943578781224825,-0.940104824506207,-0.925985146045179,-0.801623235121868,-0.747685254631975,-0.795315729719011,0.0498698875131677,-0.566703454521065,-0.59422081183832,0.20960767040993,-0.199824280958498,-0.251022701017439,0.193218301088964,0.3989665664351,0.449033762891282,2.77148998448584,1.30917330706134,1.38470473969877
"TG(20:2_22:5_22:5)",-0.565883203013759,-0.380270593595532,-0.339340468036058,2.51383839183635,2.46992974565961,1.09718758151617,0.444172775127299,-0.432824824247158,-0.46933078722339,-0.491255695495646,-0.453263222432185,-0.33929614717522,-0.567796581710685,-0.562486843673862,-0.259927859177224,-0.565387620017261,-0.566042992693675,-0.532021655647778
"TG(16:1_16:1_18:1)",-1.20861641749467,-1.16179718536916,-1.13088436797343,-0.93688519915831,-0.861091257671749,-0.923547837716081,0.782172632946762,-0.549041122704012,-0.384021652967615,0.447242912587424,0.00766899842066183,-0.246132179418173,0.278892707343658,0.614426294250164,0.515182622922333,2.27909980795384,1.49695589986277,0.980375344185587
"TG(16:0_10:0_16:1)",-0.764107983753118,-0.758239676639464,-0.724742533919104,-0.667499044000781,-0.678799723377891,-0.650037045486711,-0.59038461160834,-0.546709461913144,-0.0910136804114952,-0.398292211639679,-0.217145680419316,-0.231992131538365,0.116437885433079,0.2132524174568,0.292999405694503,0.905098141624396,1.83434802043095,2.95682791406768
"DG(18:0e)",-0.642357806501121,-0.642624890886835,-0.642649896032652,-0.635562129450039,-0.640829274995252,-0.631449124586829,-0.634283669330269,-0.638836522072872,-0.62701894076575,-0.549373122910277,-0.568253638849003,-0.594306563725782,2.09736156190864,0.241188755720263,0.341229817941355,1.22039612723967,1.8503688065655,1.69700051073126
"DG(24:1e)",-0.703232283901386,-0.701559214080111,-0.69992947398333,-0.702473233062733,-0.702679737458806,-0.63123302922662,-0.666291088372739,-0.554846886199812,-0.544665533872872,-0.40844911860114,-0.458114652942054,-0.460177163640659,0.197771084230686,0.066928776233407,2.01501952057002,2.02611724128747,1.41063611450901,1.51717867851166
"Cer(d18:2_18:0+O)",-1.09182581985845,-1.04856601862819,-1.09405559443236,-0.850862537478217,-1.02262567172089,-0.741803479729741,-0.174011446442631,0.507803288168403,-0.827505781114507,0.152565175244517,0.823802028918814,-0.455979327291394,0.419108328653414,0.38889102844012,0.100281344662364,1.4116523347235,2.40081108313575,1.1023210647495
"TG(16:1_14:1_18:3)",-0.973808656969766,-0.937998736425265,-0.948517582963153,-0.595051563716549,-0.367096630769442,-0.592611009078131,-0.736615804755944,-0.679009446493049,-0.821212906152407,0.0680521356853397,-0.396972681372585,-0.239524573162909,0.938089159286137,1.87969359033177,0.801116984591479,2.06837601174139,1.48281588597279,0.0502758242502844
"TG(4:0_14:0_14:0)",0.0506974352082846,-0.592889140543759,-0.67683514612086,-0.678400597934916,-0.345095194087278,-0.695580425250597,-0.643561176909447,-0.592889140543759,-0.67683514612086,-0.684694392945186,-0.682746991124037,-0.671979943323712,0.0244384286068638,1.78888211211318,-0.0807715979097182,1.27664960641598,2.20899130393073,1.67262000653909
"TG(18:1_22:6_22:6)",-0.50283901121055,-0.424200505482472,-0.325421451968431,1.59842107984185,0.894741478175973,3.34631610805792,-0.197594909270414,-0.315799816686714,-0.387668043030021,-0.45254823970114,-0.150494493904385,-0.373463214300638,-0.442588639780652,-0.476331506761572,-0.304077280806569,-0.502850358234358,-0.483216173438943,-0.500385021498885
