"","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3"
"AcCa(14:0)",3720000,3720000,3720000,19100000,18600000,20300000
"Cer(d12:0_14:0)",12500000,16100000,18700000,16700000,18400000,17900000
"Cer(d32:1+O)",544931.4472,544931.4472,544931.4472,2724657.236,2899931.092,3135158.491
"Cer(d16:1_16:1)",1889460.6934,1889460.6934,1889460.6934,9447303.467,1.4e+07,12600000
"Cer(d34:3)",1749876.2236,1749876.2236,1749876.2236,8749381.118,13400000,10900000
"Cer(d18:2_18:0+O)",1005961.4902,1005961.4902,1005961.4902,5029807.451,5420463.49,5459371.995
"Cer(d22:0_18:0)",1019017.227,26300000,26300000,9013787.352,10900000,28200000
"Cer(d22:1_18:0)",280170.4824,7111924.557,4290965.565,14100000,15600000,16400000
"Cer(d18:2_22:1)",1573695.1558,1573695.1558,1573695.1558,9743376.337,8344733.981,7868475.779
"Cer(d42:0)",4583296.303,2580335.151,1865578.898,7854570.224,9641141.151,9145299.632
"Cer(d20:0_24:0)",3.834,1841051.177,2836265.314,1664745.029,0.7668,0.7668
"Cer(d44:1)",2124930.074,7470506.378,6744861.765,29900000,29500000,29100000
"Cer(d20:0_26:0)",532835.1382,2664175.691,3702004.265,532835.1382,532835.1382,532835.1382
"Cer(d20:2_26:0+O)",549788.9126,2748944.563,2867702.25,8550418.73,4350177.685,4815628.956
"Cer(m18:0_16:0)",69210.66336,346053.3168,398855.2488,6235864.977,7024462.925,7255584.182
"Cer(m18:0_24:0)",374623.6124,2103961.748,1873118.062,5366320.222,7882268.108,3570920.546
"Cer(t18:0_14:0)",11200000,7706791.132,9868255.314,18400000,18200000,20800000
"Cer(t16:0_16:0)",5095404.744,8501158.632,6252559.966,63700000,61900000,60500000
"Cer(t32:1)",544878.3802,544878.3802,544878.3802,2724391.901,2901969.317,3134676.905
"Cer(t36:0+O)",2617734.079,8780015.978,7679743.647,6758206.425,7358707.186,6513692.39
"Cer(t20:1_22:0+O)",265338.5856,265338.5856,265338.5856,1540652.528,1326692.928,1381667.197
"Cer(t16:0_26:3)",666410.222,666410.222,666410.222,3502305.133,3645636.186,3332051.11
"Cer(t18:1_26:0)",171483.4593,34296.69186,490515.5868,2347120.077,1601068.954,424269.897
"Cer(t18:0_26:1)",14400000,15600000,17500000,74200000,62700000,58700000
"Cer(t20:0_26:0+O)",441209.9352,2206049.676,2786123.323,3138111.596,4627876.539,441209.9352
"Cer(t46:1)",67243.3106,67243.3106,356396.637,669187.5717,336216.553,685844.365
"ChE(16:0)",3320000,3320000,3320000,16600000,20900000,23200000
"ChE(16:1)",256451.4518,2656611.421,1282257.259,24600000,34100000,34400000
"ChE(18:2)",6420000,32100000,68200000,90800000,1.31e+08,1.24e+08
"ChE(20:3)",243070.3665,5600382.185,10100000,3.5e+07,44800000,45500000
"ChE(22:3)",675445.1402,675445.1402,675445.1402,4507843.152,5877970.393,3377225.701
"ChE(22:5)",4060000,20300000,22900000,34600000,44300000,50900000
"Co(Q7)",406198.051,3467513.642,2030990.255,8434309.681,7564899.019,8297447.495
"DG(18:4_18:1)",1076460.983,44900000,66600000,25400000,56800000,22100000
"DG(18:1_22:1)",793412.277,1033366.805,2746435.446,7650991.285,7359588.182,7430875.181
"DG(18:1_24:1)",811385.8118,4056929.059,5599214.94,8267117.992,6350633.075,811385.8118
"DG(48:2)",3580000,17900000,18800000,1.11e+08,1.17e+08,1.13e+08
"Hex1Cer(d18:1_14:0)",4995691.34,1582454.975,4623988.98,4991980.119,4917686.723,6710905.241
"Hex1Cer(d16:0_20:4)",3886055.771,2253105.187,140283.9087,8924744.032,8388218.761,9506127.495
"Hex1Cer(d16:1_20:4)",2.65e+08,2.37e+08,3.52e+08,7.27e+08,7.42e+08,6.4e+08
"Hex1Cer(d22:1_16:0)",599045.4363,119809.08726,119809.08726,1704863.248,119809.08726,78600000
"Hex1Cer(d16:0_24:6)",2461311.795,2492307.488,2403964.546,3993999.912,20500000,15800000
"Hex1Cer(d18:1_26:0)",885888.5866,6582748.99,4429442.933,1.1e+07,5068677.358,5410925.598
"Hex1Cer(d44:1)",333340.5156,2679183.759,2481739.146,2769037.215,3208938.355,1666702.578
"Hex1Cer(d18:1_26:1)",10300000,10200000,11300000,1.1e+07,1.5e+07,7630034.968
"Hex1Cer(m20:1_18:1)",1778651.561,342274.8794,342274.8794,1711374.397,342274.8794,8e+07
"Hex1Cer(t34:0)",2720288.077,4299054.609,4729096.024,17100000,21500000,17600000
"Hex1Cer(t18:0_16:1)",29300000,35500000,3.5e+07,99300000,1.13e+08,91600000
"Hex1Cer(t16:1_20:4)",7879210.124,1.1e+07,13800000,17400000,17700000,17400000
"Hex1Cer(t18:0_26:1)",10300000,10200000,11300000,1.1e+07,1.5e+07,7630034.968
"Hex2Cer(d18:1_16:0+O)",12800000,12400000,13100000,21900000,24300000,21500000
"Hex2Cer(d34:1+O)",2710738.437,4648926.163,4397762.08,6785804.052,8749638.694,6832234.124
"Hex2Cer(d40:1)",2264130.659,3270412.658,5954319.323,7851042.367,7745301.209,6895892.791
"Hex2Cer(d18:2_24:0)",7357660.164,1840134.317,3836566.181,16800000,21300000,15700000
"Hex2Cer(d42:3)",2613357.825,808213.3632,796005.0783,7665980.409,12800000,9495179.609
"Hex2Cer(t34:1)",2893910.674,2326231.201,1189656.204,6789000.402,8749795.471,6831703.527
"LPC(20:1e)",3699254.164,6479194.559,7368550.605,16600000,20500000,17800000
"LPC(28:0)",67900000,1.02e+08,1.11e+08,53500000,4.9e+07,48500000
"LPE(16:1e)",6423830.11,3516198.025,10600000,32200000,38400000,27500000
"LPE(24:1)",93660.8688,468304.344,93660.8688,932959.693,2205234.68,563949.673
"LSM(d22:0)",61300000,8485720.186,5552095.599,25500000,5112133.65,24100000
"PC(16:1)",6449544.38,8937996.722,7891294.241,12200000,8988985.174,5975243.525
"PC(24:0)",33808.25682,169041.2841,33808.25682,2476097.593,33808.25682,13100000
"PC(26:3e)",490366.8784,490366.8784,490366.8784,2451834.392,2489282.849,2486786.721
"PC(12:0e_16:0)",2346207.24,3188114.123,3424524.326,1048522.962,1038428.745,299824.943
"PC(14:0_18:3)",10700000,6861917.012,2.2e+07,2079303.794,3948260.795,5909080.731
"PC(32:4e)",13500000,13400000,14200000,3023401.393,2849117.834,2409732.207
"PC(20:3_14:2)",952948.886,183860.4339,802699.1502,3717377.106,3217242.909,3528794.498
"PC(16:1e_20:5)",1777824.315,6430252.781,5308715.182,8410704.592,12300000,8840585.909
"PC(22:6_14:1)",14300000,7366015.355,10100000,32700000,58200000,43600000
"PC(16:1_24:1)",9997830.014,1.9e+07,21700000,8959049.284,14800000,8460745.69
"PC(18:2e_22:5)",82100000,41900000,75100000,1.78e+08,2.23e+08,1.94e+08
"PC(20:5_22:6)",26795.3006,354330.457,274664.182,133976.503,377768.016,26795.3006
"PC(18:1e_24:1)",4905794.253,558354.564,267910.182,1617658.444,3338916.01,2053183.394
"PC(18:3e_24:0)",13400000,1.28e+08,1.41e+08,2.59e+08,3.18e+08,2.91e+08
"PC(22:5_22:5)",78523.9496,556643.778,1021886.918,392619.748,78523.9496,78523.9496
"PC(22:6_22:6)",32250.3914,1411480.767,850862.5122,400459.358,161251.957,538531.822
"PC(44:12)",28500000,23200000,29300000,9513730.825,11400000,11900000
"PC(26:1_18:1)",307994.0908,1768079.518,1588283.799,1826812.821,2451873.531,1539970.454
"PC(30:1_18:1)",62140.5306,313264.809,310702.653,485319.005,622655.747,466259.701
"PC(30:1_20:4)",311716.95,267358.983,406054.917,474631.838,769553.003,320006.37
"PC(32:1_20:4)",128779.5428,643897.714,755798.894,1016678.141,1094227.061,652680.827
"PC(30:1_22:5)",551611.965,854960.371,1533652.59,2418925.247,3233842.628,1852585.681
"PE(14:0_18:2)",50246.12628,50246.12628,251230.6314,3742780.281,2649825.362,3106341.698
"PE(18:2e_14:0)",22300000,3.6e+07,40500000,66700000,78400000,58100000
"PE(12:0p_20:4)",2642893.101,2182189.346,2256044.359,2189273.503,2388180.422,1556277.007
"PE(12:1e_20:4)",467280.045,1714146.513,1089136.937,492710.767,853121.135,409368.1212
"PE(14:1e_20:5)",43892.4444,219462.222,606079.462,1308863.84,1456518.505,1512840.345
"PE(16:1e_20:1)",58300000,94600000,97500000,96300000,1.19e+08,85500000
"PE(16:0e_20:3)",5607838.14,1840355.52,10100000,3.85e+08,3.93e+08,3.45e+08
"PE(16:0e_22:1)",5125655.705,624413.7435,10100000,9673565.629,13400000,9498049.326
"PE(16:0e_22:4)",3.06e+08,4.22e+08,4.36e+08,5.24e+08,6e+08,4.9e+08
"PE(18:1p_22:1)",73100000,97500000,86400000,85900000,1.14e+08,1.16e+08
"PE(20:1p_20:4)",4.84e+08,6.75e+08,7.63e+08,8.07e+08,9.1e+08,7.48e+08
"PE(18:2e_24:1)",2993156.064,6931383.989,7493385.04,6765671.652,6842183.601,5531972.903
"PE(20:3_22:3)",12800000,7984316.085,24300000,16700000,20400000,15400000
"PE(42:6)",2814429.262,7233895.171,7045925.316,1667862.699,3402434.208,4066428.838
"PE(26:1_18:1)",417775.87,2771889.251,2669895.699,213667.686,1139194.789,564038.387
"PE(24:0_22:6)",16300000,1475091.097,2088247.149,384160.205,351070.645,705891.18
"PG(36:1)",38600000,37500000,42500000,2.28e+08,3.28e+08,2.53e+08
"PG(22:2_22:5)",219988.7408,219988.7408,219988.7408,1099943.704,1276295.095,1542083.061
"PS(16:1_18:2)",1516931.351,505500.0489,5247373.29,20800000,25400000,22900000
"PS(16:1_20:1)",7635338.743,415931.88,3102268.079,43100000,47300000,38500000
"PS(16:1_20:4)",355442.3186,355442.3186,355442.3186,1777211.593,2353925.741,2132999.55
"PS(20:0_18:1)",25200000,10600000,7663608.48,1.35e+08,1.22e+08,1.42e+08
