"Class","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3"
"AcCa",852799421.161,422720016.107,399500000,1497900000,1612200000,1541300000,637750836.547,583676468.568,623910457.55,888981484.077,701384536.181,738365675.209,1069500000,853800000,625821307.741,1334900000,1110300000,861078451.399
"Cer",4188983879.4107,6026613387.5038,6222916573.9244,34061243175.4527,36994415874.497,35871845754.503,12193326230.7537,11207158539.714,11768915972.018,22678459974.61,15798601178.488,11543688880.711,21991374548.461,25131091662.351,20530600207.673,31929530083.909,30455313825.151,27767434459.423
"ChE",4700020.9595,513556993.606,597382257.259,3412382989.232,4068977970.393,4205377225.701,2909700547.333,2402778377.894,2564281459.403,2840538900.894,2198658900.474,3092658920.837,3284113992.198,4197960041.687,2446676036.019,2201301613.886,2422955931.742,2201736345.76
"Co",44588277.079,371167513.642,420830990.255,768834309.681,931364899.019,897497447.495,790402090.234,626932514.959,728570016.049,1065500000,912900000,429124589.266,1.05e+09,1176900000,925365778.696,873422589.495,1017100000,940294609.193
"DG",1474686920.42,2354048577.328,2783866973.414,40546979158.481,45732688092.401,44420035961.292,9444571061.4254,8357316853.2303,8949730423.108,14924908576.087,13075815514.189,13587541884.881,18091156450.512,19670245751.444,18180632703.417,28476561680.203,31125641004.523,29651592193.095
"Hex1Cer",2427144368.2233,2488553397.208,2177394462.7697,5018898884.398,5634524680.542,5053371930.059,2114329074.654,2017277782.283,2130059922.551,3644690069.33,3223519120.966,3020447256.927,4714112232.135,5399768138.109,4876709421.459,5755377754.378,6130267459.892,5096216042.738
"Hex2Cer",380526427.871,425690166.7192,437774308.8663,816291827.23,934644735.374,690155010.051,543618490.567,494284740.758,493057482.509,719556114.091,537005726.571,390204159.444,683203347.134,868035912.59,521173226.658,874465067.086,900598413.451,768095143.687
"LPC",3534703639.663,5691062009.586,6860698995.37,14229496762.319,16541156583.495,17554342996.473,9387225306.703,7604257963.196,9221468377.794,15212676504.988,13261100000,12561600000,12685200000,11303175777.883,3993573999.123,16522689740.566,15644681835.384,14884800000
"LPE",148595410.791,201155142.687,240733916.423,577712914.502,634223279.075,500286211.0395,281282080.006,247202244.467,225613619.387,491669793.345,475731876.959,455481168.712,520633929.032,514218865.821,287286260.735,581977607.506,617030164.3967,539829575.334
"LSM",253300000,17068469.715,20552095.599,88400000,16712133.65,75700000,7577874.247,88500000,53100000,24365305.146,34600000,84300000,18599233.351,13158889.78,13573227.075,60400000,2.06e+08,128200000
"PC",218363868545.181,276046659811.114,308900314278.872,474943003341.971,492744297119.369,456383558527.597,387506287799.372,318201265845.973,342593457809.682,496329894433.471,475228385416.969,449264204907.07,386947040590.18,431623208938.701,305264277206.309,520255625896.151,497181021623.819,423337591089.622
"PE",35700868496.555,44722176637.031,38023899506.0088,92888155068.982,111530848044.787,89845042179.6072,68322154456.849,59270832217.815,58020303940.494,89290773643.913,88267490567.015,83136547733.922,93431288367.7237,104276654037.232,76574035816.113,112957451756.714,115269287170.715,106497816191.19
"PG",841485492.257,402890822.1646,544288178.673,3544774018.499,3780177786.156,3466648559.737,3277152399.832,2537032275.502,2821742999.516,3750054723.611,3501913700.583,3239819709.338,3288783028.319,3544118422.146,2441692853.869,3722630964.747,3851634163.371,3819386893.37
"PI",42400000,56500000,21200000,7e+07,80500000,69400000,58300000,53500000,57300000,80900000,6.7e+07,77800000,70300000,78600000,65800000,95500000,80300000,71500000
"PS",792144593.5919,690293324.999,727276129.7048,1974805994.943,2077514739.473,1936604457.355,1530715422.6935,1312122671.734,1270166374.092,1945239243.782,1765689644.138,1661770586.553,1791823868.293,1871934632.767,1314855370.838,2048961810.529,2097188670.673,1927706017.889
"SM",27358135798.814,34390232389.895,33867424443.935,67645398894.271,73490772989.81,56978928113.274,39420089704.2326,34467532599.277,35374026940.187,54749525347.292,53961636256.659,51562711569.146,67532200000,73101113897.051,31455742862.463,80155819324.4,71681860997.661,63948453443.017
"SPH",251301198.186,60708688.333,60583557.975,131045313.024,161024990.133,102500000,52448954.705,94082558.696,119600000,137999131.802,228534702.656,151767650.137,126100000,175400000,109439430.89,138409542.477,82200000,1.43e+08
"TG",1158981498.3789,27339257409.598,34999048893.9777,427834006316.247,474189295028.437,455364154846.159,125599288816.319,117959530531.835,122845493205.726,127325387357.266,127575460623.478,129707092620.33,184035789619.751,199311984696.262,173302787877.184,280496368488.791,314520821057.347,299254748330.719
