ms2name,DIFF,LipidIon,LipidGroup,Class,FattyAcid,FA1,FA2,FA3,FA4,IonFormula,CalMz,RT-(min),VIP,Fold Change,P-value,Cold-1,Cold-2,Cold-3,Cold-4,Cold-5,Cold-6,Cold-7,Cold-8,RT-1,RT-2,RT-3,RT-4,RT-5,RT-6,RT-7,RT-8,QC-1,QC-2,QC-3,QC-4,QC-5
POS1,,AcCa(14:0)+H,AcCa(14:0)+H,AcCa,(14:0),(14:0),,,,C21 H42 O4 N1,372.311,2.3649,0.0756576,1.70281,0.002358281,3534498,3121652,2608377,3293474,2513275,2693467,3891474,2326859,3533525,1543810,1524113,1711288,2022256,1140161,1383441,1225798,2258060,2273753,2311398,2585131,1836419
POS2,,AcCa(16:0)+H,AcCa(16:0)+H,AcCa,(16:0),(16:0),,,,C23 H46 O4 N1,400.342,3.14765,0.147672,1.69787,0.012061562,1.30E+07,1.30E+07,9573686,1.50E+07,9466439,8223704,1.60E+07,9161511,1.50E+07,5794389,5478075,5238929,6983087,4061527,8349138,3976100,8697150,9171509,9249491,9191939,7434436
POS3,,AcCa(18:0)+H,AcCa(18:0)+H,AcCa,(18:0),(18:0),,,,C25 H50 O4 N1,428.373,4.40213,0.169301,2.32612,1.79E-05,8605102,7773805,6286416,8875497,7103523,4567574,9748656,6891555,4219527,2538640,2547375,2431331,4065052,2999722,4685874,2242932,5309350,5416675,5177791,6136762,5262272
POS4,,AcCa(18:1)+H,AcCa(18:1)+H,AcCa,(18:1),(18:1),,,,C25 H48 O4 N1,426.358,3.32768,0.185721,2.64608,0.002058374,1.10E+07,1.20E+07,7937526,1.40E+07,7671259,8046677,2.20E+07,6895556,7585712,3554512,3744226,3392087,6123711,2699817,4549719,2311386,7192486,7492186,7443279,7936853,6178341
POS5,,AcCa(18:2)+H,AcCa(18:2)+H,AcCa,(18:2),(18:2),,,,C25 H46 O4 N1,424.342,2.69359,0.135113,2.60935,0.005115805,5769500,6027432,4279688,7064418,4447004,4861443,1.30E+07,3487614,3294187,2313914,2684059,2055301,3492608,1220169,2549635,1306597,4153704,3893552,4432472,4242293,3619214
NEG100,,Cer(d16:0+pO/26:2)-H,Cer(d42:2+pO)-H,Cer,(d16:0+pO/26:2),(d16:0+pO),(26:2),,,C42 H80 O4 N1,662.609,15.3995,0.0399282,1.47849,0.019798926,831648,861094,1219960,1098064,1760694,1166751,1214081,1510579,334672,508194,720791,952867,964520,1047452,1182822,824313,779838,828222,847668,282974,597189
NEG101,,Cer(d18:1/24:2)-H,Cer(d42:3)-H,Cer,(d18:1/24:2),(d18:1),(24:2),,,C42 H78 O3 N1,644.599,14.8783,0.0901298,1.55532,0.000534773,3915051,3228968,3954093,4352130,4587220,4024974,4200346,4179834,1379095,2214074,2294860,2070115,2649113,3470583,4001670,2779608,2441004,1946756,2690446,1521247,1773116
NEG102,,Cer(d18:1/24:2)+HCOO,Cer(d42:3)+HCOO,Cer,(d18:1/24:2),(d18:1),(24:2),,,C43 H80 O5 N1,690.604,14.8783,0.548094,1.47352,0.00488248,1.70E+08,1.50E+08,1.90E+08,1.80E+08,2.00E+08,1.70E+08,2.10E+08,2.30E+08,6.20E+07,1.00E+08,1.10E+08,1.10E+08,1.20E+08,2.00E+08,1.90E+08,1.30E+08,1.10E+08,1.20E+08,1.30E+08,7.00E+07,1.10E+08
NEG103,,Cer(d18:2/24:2)+HCOO,Cer(d42:4)+HCOO,Cer,(d18:2/24:2),(d18:2),(24:2),,,C43 H78 O5 N1,688.589,13.8482,0.109852,1.48064,0.018182096,5926652,7279493,9772087,7123219,1.00E+07,9420402,1.00E+07,1.20E+07,3000553,4867595,5295453,5608061,5009165,9863207,9126981,5983204,4297667,5358074,4997384,2420125,5712372
NEG104,,Cer(d18:1/25:1)+HCOO,Cer(d43:2)+HCOO,Cer,(d18:1/25:1),(d18:1),(25:1),,,C44 H84 O5 N1,706.635,16.647,0.0679593,1.2676,0.016917048,4434479,3724583,5129210,5110207,4803673,3980865,5335985,5180530,2014111,2981071,3955139,3726697,3912813,4665660,4341973,4143528,3773356,3907857,4442369,2234351,4065793
NEG105,,Cer(d50:2+pO)+HCOO,Cer(d50:2+pO)+HCOO,Cer,(d50:2+pO),(d50:2+pO),,,,C51 H98 O6 N1,820.74,19.7547,0.00010933,2.38796,6.33E-08,2134936,2338674,3011196,2435224,2313766,2455245,2786062,2690324,936081,513928,1339293,1321529,1156581,943816,1295577,937806,1967054,1695604,1766663,792289,1679886
NEG106,,Cer(d52:2+pO)+HCOO,Cer(d52:2+pO)+HCOO,Cer,(d52:2+pO),(d52:2+pO),,,,C53 H102 O6 N1,848.771,21.001,0.00011008,2.31908,8.15E-07,1381972,1148250,1377746,1340234,1317319,1187631,1639595,1128706,375504,199264,696094,669695,773419,604860,544585,673483,935583,848546,783414,584887,1156207
