"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Acot11",2025.17343778226,3.92911655801753,0.415700695884877,9.45179211127819,3.33078407205954e-21,6.83143813179412e-17
"Fam131c",377.111762344315,8.18449188282953,1.02655928010094,7.97274160536032,1.55192437870058e-15,1.59149845035744e-11
"Lgr6",211.436735285771,8.53481460876203,1.15971960113607,7.35937773268747,1.84769504889422e-13,1.14977566388263e-09
"Ucp1",51492.0118657896,6.8048172378093,0.927909940859276,7.33348888525519,2.24237087056584e-13,1.14977566388263e-09
"Bmp8b",47.7964116423004,5.66150617952344,0.780514997992327,7.25355207021799,4.05981201566478e-13,1.66533488882569e-09
"Pcdhga1",345.561992146744,-3.71182709044054,0.592900594924097,-6.2604543193547,3.83857506932883e-10,1.31215291119891e-06
"Elovl3",1412.90282290838,6.74563046413316,1.08333723558773,6.22671338392012,4.763213411169e-10,1.39562152947252e-06
"Acot5",41.9959905930204,5.87440135143468,0.994977783058918,5.90405278535432,3.54678597194236e-09,9.09307253556724e-06
"Epn3",45.3684286404819,7.07158632035531,1.23803606163462,5.71193888408912,1.11696204507192e-08,2.545432393825e-05
"Pcdhga2",294.956209918574,-3.14524915197855,0.564277295741585,-5.57394241397752,2.49038085640362e-08,5.10777113648383e-05
"Hpdl",468.163618276226,3.62474182430182,0.659120365649557,5.49936250373583,3.81166795664634e-08,7.10702816280149e-05
"Fabp3",15390.815589793,6.3061579048519,1.1508712645457,5.47946421039649,4.26615728544113e-08,7.1732207762277e-05
"Phospho1",1798.26930370226,3.87384375272961,0.709952797273258,5.45648072323684,4.85663973543383e-08,7.1732207762277e-05
"Dio2",507.404133684479,5.26719498599485,0.965566245371347,5.45503222719757,4.89639643428512e-08,7.1732207762277e-05
"Cpt1b",5141.16864673626,3.71402721138555,0.714374266559685,5.19899356015681,2.00370466761779e-07,0.00027397321821894
"Slc25a20",5825.80062859598,2.23295953777808,0.431614652266654,5.17350262798434,2.29745889913766e-07,0.000294505512633209
"Cidea",23114.1472137954,2.92662788421268,0.582298203394857,5.02599504369093,5.00828822339699e-07,0.000604235243893366
"Cox7a1",2595.11922840088,3.34183125630854,0.674094796298293,4.95750935129567,7.14026066274169e-07,0.000813593034404623
"Fabp3-ps1",320.217312605803,5.76900111863512,1.16954481375193,4.9326892401224,8.11051376428278e-07,0.000875508617397052
"Tacr2",9.12877136610033,6.68384979299206,1.36374706531582,4.90109197151174,9.53054227830824e-07,0.00097735711064051
"Chrna2",162.036725951843,2.15882229979003,0.446984280637359,4.82974993373759,1.36704624399897e-06,0.00131808597915463
"Otop1",1588.89894570015,2.76910237628814,0.574140044349737,4.82304344304078,1.41384161586552e-06,0.00131808597915463
"AC099934.1",120.447187497105,-7.95066003132784,1.6761352683927,-4.74344772838769,2.10111178060626e-06,0.0018736435921841
"Arhgdig",57.3778988596783,5.24727023294696,1.11061741764835,4.72464248224892,2.30520544390968e-06,0.00196999015227448
"P2rx5",783.003341617027,1.44289553545341,0.314250993428435,4.59153850147494,4.3999045123156e-06,0.00360968166190372
"Cyp2b10",52.4538600520876,5.9860594883885,1.3082347224092,4.5756769682468,4.74682510023125e-06,0.00374451472329781
"Fndc5",278.107237022167,2.83949246637599,0.629062006455492,4.51385147606573,6.36608075909755e-06,0.00483586356922558
"Slc25a34",1265.16319082486,4.11497056140625,0.915782023816168,4.49339521238766,7.00965210830207e-06,0.00513457016933126
"Prelid3b",3741.60459928646,1.3209350253741,0.296402084383507,4.45656456202573,8.32835269161201e-06,0.0058901556449987
"Pcdhga3",268.074973691467,-3.24571614710238,0.74305949026211,-4.3680434603661,1.25364550524667e-05,0.00857075643753642
"Ciapin1",1221.49014432804,1.4749005026851,0.340369491804663,4.33323355411518,1.46935085507961e-05,0.00972141485086544
"Ppara",310.037446681541,2.6535350636658,0.618222628601942,4.29219983368538,1.76911619448162e-05,0.0113389291090056
"Gm45012",17.2053417383426,3.03472568511515,0.709493619648527,4.27731215767453,1.89163459231918e-05,0.0117567956025656
"Mrps2",1652.68949893368,1.26048359490708,0.295582009517055,4.26441242809926,2.0042893194184e-05,0.0120905805709622
"Ldhb",6860.91012534812,2.02742723994135,0.481667901614532,4.20918070966634,2.5629834571591e-05,0.0150190830589523
"Khdrbs3",519.881730788724,1.79220463822192,0.429665317607751,4.17116431039952,3.03047240437161e-05,0.0172652747260171
"Plin5",2908.93129723376,2.7398979546407,0.660554272193404,4.14787712377173,3.3557241225263e-05,0.0186015950683823
"Dnaja3",3573.98036898007,1.29042182585096,0.312066079823263,4.1350916016947,3.54813079212793e-05,0.0191505690911958
"Dhrs9",73.859662877679,3.39182975935748,0.822563034493014,4.12348916390102,3.73176023667203e-05,0.0194254157411839
"Hadha",26048.4077270987,1.6425867690288,0.398684655351995,4.12001502184371,3.78847698511632e-05,0.0194254157411839
"Pgam1",11240.6024935972,1.58179518132223,0.388775726908606,4.06865725363064,4.72848434883734e-05,0.0236539546328424
"Tcl1",5.11911120893115,5.85231725053003,1.4701880768186,3.98065889854998,6.87245070061323e-05,0.032974977049218
"Suclg1",8379.32329474302,1.54898634337886,0.389265999304733,3.97924901261735,6.9133301468375e-05,0.032974977049218
"Pank1",791.875751374389,2.79710238550045,0.704058929748011,3.97282424427393,7.10254563625114e-05,0.0331075479544343
"Ppargc1b",578.867143011653,1.95001279536524,0.492225305461923,3.96162646196192,7.4440936838829e-05,0.0339285247680974
"Acadvl",20624.5227869993,1.81780684972425,0.466918050815234,3.89320320032687,9.89292190825748e-05,0.0441095278996437
"Poln",741.963683504307,2.02939636048161,0.522000405443897,3.88772947169622,0.000101186311519578,0.0441559840269476
"St3gal5",644.0559864094,1.97083322138206,0.50894589431133,3.87238259196266,0.000107776596705785,0.0460520416340761
"Letm1",7936.09886901181,1.75199427586379,0.454459532037217,3.85511613764614,0.000115674702239825,0.0474591500457586
"Pdhx",2548.20298728544,1.39804599168818,0.362651471870737,3.85506774445548,0.000115697586654702,0.0474591500457586
"Pcdhgc4",572.649066956551,-4.24492034442094,1.11244040049089,-3.81586316224023,0.000135707699246334,0.0538728504288199
"Letmd1",6889.9983911503,2.00933916443596,0.526795304835525,3.81426931104352,0.000136586456474824,0.0538728504288199
"Pcdhgb1",394.276965971193,-2.8020962266102,0.74609822718133,-3.75566664619508,0.000172880680423179,0.0669015614241395
"Slc25a17",2128.67381374832,1.39378800028195,0.37443481037058,3.72237826633296,0.000197355065372704,0.0749583776072994
"Pde4d",279.954092315779,1.64385890177396,0.442548678058953,3.71452674762023,0.000203584336484695,0.0759184498418381
"Rdh13",646.42637936019,1.1423523374166,0.308480867725136,3.70315457759431,0.000212935046461661,0.0779874607665833
"Mrps18b",1334.99605532774,1.12631889959159,0.307788600611077,3.65939120992596,0.000252815141489048,0.0895194852893985
"Plin2",18528.1872889834,1.43731965984408,0.392812162420643,3.65905080684575,0.000253151152939303,0.0895194852893985
"Lrrc52",8.05663943115465,5.26628600859483,1.44778100110169,3.63748799341022,0.000275310021717708,0.0957052295835627
"Tigar",656.760562198234,1.11688869484515,0.308312529841413,3.6225861317399,0.000291672293870288,0.09970331245466
"Car14",88.627627040293,2.94910748241257,0.816029574553643,3.61397132453893,0.000301542426891599,0.101387461894208
"Gm10570",11.7959042902815,3.2394646793148,0.901293171314226,3.59424078914429,0.000325338857954379,0.107624193171682
