"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mtnr1a ",-4.34167590625,8.85902804296875,-9.25525141049923,4.15552704496857e-08,9.73639986636136e-05,8.57742219140895
"Tff3 ",3.58519328125,8.59328883203125,8.00759189857644,3.23171848664533e-07,0.000367183107091921,6.77730398769729
"Gpc3 ",3.466180625,5.8656015625,7.79168284041985,4.70144823421154e-07,0.000367183107091921,6.4419758331753
"Aldh1a1 ",-2.42992921875,16.9424274609375,-6.60544946314054,4.11971939622712e-06,0.00241312563634004,4.46842077653204
"Afp ",4.223441421875,7.5818268671875,6.16764385627153,9.631648986385e-06,0.00451339071502001,3.68371805526911
"Tspan8 ",4.28463534375,7.9180668203125,5.75482818819991,2.19608666654918e-05,0.00737311027583295,2.91692448815547
"Ocstamp ",4.484641796875,6.24746381640625,5.67464202455313,2.5839846587822e-05,0.00737311027583295,2.76507504304604
"Hmmr ",-1.7759653125,5.03134693359375,-5.66146513116567,2.6541898132466e-05,0.00737311027583295,2.74003415193125
"Stmn1 ",-1.685479703125,7.9365725546875,-5.59386818180277,3.0465183289509e-05,0.00737311027583295,2.61119094325431
"Phgdh ",3.32775628125,4.75859528515625,5.57801790671897,3.14686738191761e-05,0.00737311027583295,2.58088710446843
"D17H6S56E-5 ",-1.860798765625,6.98514263671875,-5.46045773023253,4.00578354741284e-05,0.00853231895598934,2.35504885060176
"Pold4 ",2.153458078125,7.980159390625,5.13347543765498,7.90572183071999e-05,0.014045670483679,1.71737470819255
"Cyp21a1 ",1.7501721875,5.9728038828125,5.08326043342776,8.7851289845793e-05,0.014045670483679,1.61827802732737
"Uty ",-3.759992359375,7.71692649609375,-5.08053927134946,8.8355540864517e-05,0.014045670483679,1.61289955190657
"Rps10 ",1.2705803125,11.979870703125,5.06319462291177,9.16400579954391e-05,0.014045670483679,1.57859715576426
"Acaca ",2.541148890625,10.1912574960937,5.04154569626615,9.59158035590541e-05,0.014045670483679,1.53573388353112
"Aldh1a7 ",-2.285868921875,13.1494672617187,-4.98030634856455,0.000109151214246902,0.0150436055870878,1.41419901564168
"Bhmt ",-1.99940421875,17.12761328125,-4.91014294033339,0.00012663474007013,0.0159953379687773,1.27444984552153
"Lipc ",-2.19323349999999,12.62847209375,-4.89883204407464,0.0001297103804553,0.0159953379687773,1.25187225930828
"Nox4 ",-2.73405378125,8.99246623046875,-4.71413315009629,0.000192268077970141,0.0219106012861299,0.881387801990043
"Baat ",-1.7317244375,12.4155661171875,-4.67034078703558,0.00021117046803421,0.0219106012861299,0.793075693046642
"Dhrs9 ",-2.41906290625,5.45279815625,-4.65925013667447,0.000216251263097922,0.0219106012861299,0.770683536352461
"Spink11 ",1.326776984375,3.93430694140625,4.61391418877917,0.000238349051153199,0.0219106012861299,0.679041345560911
"Ube2c ",-1.71828934375,5.5603189375,-4.59840665524413,0.000246424522785813,0.0219106012861299,0.647655389749851
"Slc24a3 ",1.304497140625,6.76165677734375,4.59708291856719,0.000247126620984697,0.0219106012861299,0.644975356535314
"Fmo5 ",-1.37450640625,14.1831051171875,-4.55223303750363,0.000272156878196211,0.0219106012861299,0.554090637747401
"Aig1 ",1.290575703125,7.813947734375,4.54458472958253,0.000276675932648935,0.0219106012861299,0.538576419653889
"Ces3a ",-3.591181171875,14.6276495507812,-4.54445476729523,0.000276753377414077,0.0219106012861299,0.538312759234695
"Ddx3y ",-5.6328881875,11.454839671875,-4.53885508729573,0.000280111253044047,0.0219106012861299,0.526951224632144
"Fabp5 ",2.42479328125,10.6644833984375,4.53039185699268,0.00028526505093918,0.0219106012861299,0.50977520063058
