"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Akr1c18 ",-13.079746796875,11.6288934140625,-35.3063519964959,1.52119414088187e-17,3.56415787208623e-14,27.4836093935257
"Tff3 ",-8.415811984375,8.59328883203125,-18.7968632593576,6.14955020498278e-13,7.20419806513732e-10,19.4502944043071
"Ifi27l2b ",-7.655439625,8.864057703125,-17.7937551198838,1.51694883774749e-12,1.18473704228079e-09,18.6548354827316
"Spp1 ",-7.55994959375,11.9744510742188,-15.315906371996,1.74500137800358e-11,1.0221345571656e-08,16.4406469916281
"Klrb1b ",-8.1976180625,9.8912981015625,-13.7596168170001,9.71793168430849e-11,4.55382278726696e-08,14.8372919371862
"Rbp1 ",-5.44462865625,13.147138390625,-12.7675952287674,3.17002929489671e-10,1.23789643965716e-07,13.7145339916439
"Golm1 ",-4.025984046875,7.527297140625,-12.5766944716956,4.01452737012372e-10,1.34371966117141e-07,13.4886169925024
"Anxa2 ",-5.19179259375,9.04039422265625,-12.1674107740704,6.72786400261192e-10,1.97042316976497e-07,12.9929416865314
"Mmp12 ",-4.9534835,7.79557426953125,-11.4860459197701,1.64039740105422e-09,4.27050123407781e-07,12.1319744849086
"Cyp27a1 ",3.5027440625,12.6347285664063,10.5297553740335,6.15909740842381e-09,1.4430765227937e-06,10.8427427974366
"BC048546 ",-3.92894859375,14.0762792578125,-10.3452257662489,8.03325997907533e-09,1.71108437554304e-06,10.5824125563098
"Cyp2b13 ",-5.25308703125,7.5886686015625,-10.1260770214763,1.10637148937049e-08,2.09638483026847e-06,10.2681653881844
"Pnpla5 ",-3.217418359375,5.7173003984375,-10.0889946150233,1.1685302838245e-08,2.09638483026847e-06,10.2144381714089
"Csad ",5.340241,10.8812100507813,10.0419828521964,1.25264138385654e-08,2.09638483026847e-06,10.146092338738
"Klk1b4 ",-5.812288484375,11.5235893867188,-9.85598910992742,1.65297500356498e-08,2.58194695556851e-06,9.87312502689581
"Fkbp11 ",-3.976234171875,9.37735854296875,-9.65826459943656,2.22894353425436e-08,3.26400918797372e-06,9.57838284616567
"Tstd1 ",-4.82474028125,11.4438174023438,-9.43521421071424,3.13929808487262e-08,4.32669141932738e-06,9.24014322841595
"Ube2c ",-3.467758546875,5.5603189375,-9.28025541142492,3.99583176653369e-08,5.20124101610469e-06,9.00151198277657
"D17H6S56E-5 ",-3.115988546875,6.98514263671875,-9.14377420192707,4.95321541787005e-08,6.1080966968787e-06,8.78882154632081
"Nr1i3 ",3.9480855625,9.5658201484375,9.02102895851163,6.01990047325273e-08,7.05231340441557e-06,8.59550240128377
"Cd63 ",-4.14105640625,9.8551166171875,-8.94059457286696,6.84722985655549e-08,7.52807866750032e-06,8.46776648852236
"Aox1 ",3.34523403125,9.43518999609375,8.92079264906546,7.06861846713645e-08,7.52807866750032e-06,8.43619065659658
"Mpeg1 ",-3.058148375,11.2611452148438,-8.82859605132651,8.20252014290389e-08,8.35587160644513e-06,8.28850160495696
"Prodh ",3.70745490625,10.2339563320312,8.72989945809744,9.62964050673985e-08,9.40093654470478e-06,8.12916412688216
"Ces1g ",2.8124395625,11.28866184375,8.56204032644969,1.26846211030851e-07,1.18880268978114e-05,7.85520742327276
"Tnfsfm13 ",-3.894553953125,9.89268433203125,-8.52851980188154,1.34077291995302e-07,1.20824267363459e-05,7.80004969685579
"Tnfrsf12a ",-5.046420078125,10.43187125,-8.48023286991772,1.4526006424158e-07,1.26053455747416e-05,7.72032904036604
"Ifi27 ",-3.54435225,10.8744160703125,-8.41941016819753,1.60749313334995e-07,1.34512728979962e-05,7.61946557870771
"Acaa1b ",2.800868453125,10.057784296875,8.27479285928367,2.04920266937457e-07,1.64756462873171e-05,7.37763374447222
"Tmem176a ",-2.94716203125,13.61414765625,-8.25760629513896,2.10955778326723e-07,1.64756462873171e-05,7.34870500798986
"Scd2 ",-4.331431953125,9.2160529765625,-8.20035668263983,2.32435393901704e-07,1.75676170294094e-05,7.25205045004541
"Fabp5 ",-4.34970396875,10.6644833984375,-8.12682202344078,2.63425874643846e-07,1.92877132590791e-05,7.12724328343519
"Rhoc ",-2.916224375,9.31740970703125,-8.08778478964892,2.81602670990609e-07,1.99937896403332e-05,7.06068520500599
"Ccl9 ",-3.3363778125,13.1591017578125,-7.99721246748827,3.2900269138636e-07,2.23673705585677e-05,6.90545095198032
"Gnmt ",2.8072809375,16.6354766796875,7.97641336270349,3.41019855875725e-07,2.23673705585677e-05,6.86964269891249
"Lrit2 ",2.90745890625,5.46132410546875,7.97192482135681,3.43672787071463e-07,2.23673705585677e-05,6.86190725372035
"Fam83a ",-3.568699359375,6.21859528125,-7.91053919085523,3.82195710928958e-07,2.4202285154231e-05,6.75583625901529
"Rasgrp2 ",-2.334864703125,8.819504859375,-7.84992375381807,4.2467517805669e-07,2.5625808899235e-05,6.65058220239853
"Cyp4a14 ",7.08492453125,14.0581965625,7.8473963013213,4.26549956069212e-07,2.5625808899235e-05,6.64618236379541
"S100a11 ",-3.804095296875,8.86187276953125,-7.79741570831334,4.65451887710135e-07,2.72638443226211e-05,6.55899215856617
"Cdca3 ",-3.071139546875,6.049880109375,-7.74970547287298,5.0604691419935e-07,2.80962703366423e-05,6.47543707519302
"Rdh16 ",2.04449278125,11.5189353984375,7.7416574999042,5.13250695562856e-07,2.80962703366423e-05,6.46131125520665
"Btg2 ",-2.415456078125,6.87616097265625,-7.7325325182055,5.21548029167719e-07,2.80962703366423e-05,6.44528410001145
"Hamp2 ",3.8849834375,14.2924542578125,7.72594005323472,5.27629489889995e-07,2.80962703366423e-05,6.43369781364554
"Glt1d1 ",2.599833578125,7.222156859375,7.69760888348995,5.54618437335081e-07,2.88771333039132e-05,6.38383635328726
"Hamp ",4.751533125,15.2348755078125,7.64486473348813,6.08767214745736e-07,3.10074257423752e-05,6.29070941621528
"Rnd1 ",2.594042046875,6.65532501171875,7.63180273530236,6.23010077839617e-07,3.10577151569835e-05,6.26758635674674
"Slc17a2 ",2.053707734375,11.3039022460938,7.50375067814135,7.82492642025284e-07,3.79740979156294e-05,6.03963078206612
"Nt5c3b ",-2.729048875,8.36106582421875,-7.49547347977604,7.94165940190286e-07,3.79740979156294e-05,6.02481641654505
"Ndufb10 ",2.07433346875,7.25310321484375,7.47470456643006,8.24261918164695e-07,3.84136598470693e-05,5.98760208612026
"Sugct ",2.58321309375,9.04866634765625,7.4667183208396,8.36148805890113e-07,3.84136598470693e-05,5.97327590492194
"Arpc1b ",-2.78004,10.8021052734375,-7.40006955929091,9.42590442597499e-07,4.24533608859308e-05,5.85336645481609
"Cdk1 ",-3.040523421875,4.44049178515625,-7.38973472140441,9.60319303010812e-07,4.24533608859308e-05,5.83471660141002
"Prom1 ",-3.6576189375,7.2568461640625,-7.37428854194124,9.87466338732585e-07,4.26415563717458e-05,5.80681487800223
"Casc4 ",-2.596273,10.642987046875,-7.36676603191831,1.00097550168417e-06,4.26415563717458e-05,5.79321412915591
"Apoc2 ",-2.47397328125,18.288216875,-7.33743366392981,1.0555170145155e-06,4.41620779466039e-05,5.74010459054252
"Ly6c1 ",-3.38983984375,7.0475787265625,-7.28051880132907,1.1703553086158e-06,4.77959716832588e-05,5.63670671696723
"Hhip ",2.187512578125,5.843125046875,7.27453165601291,1.18316959352497e-06,4.77959716832588e-05,5.62580316100149
"Lipg ",2.78254275,6.1515161796875,7.24305147658729,1.25299082195076e-06,4.9758601624248e-05,5.56838922392417
"Cd163 ",2.521556171875,5.9908633828125,7.19740128379775,1.36194817568674e-06,5.17556142091033e-05,5.48488265670484
"Fabp4 ",-3.4036091875,10.5967644492187,-7.19574099841784,1.36609195790457e-06,5.17556142091033e-05,5.48183998547624
"Hmmr ",-2.25682484375,5.03134693359375,-7.19436076262837,1.36954676951106e-06,5.17556142091033e-05,5.4793102415224
"Sult1a1 ",-2.70641859375,14.624594140625,-7.16647723319993,1.44132226768851e-06,5.36034614792727e-05,5.42814658680433
"Pecr ",2.114239875,10.7052223515625,7.14013482880499,1.51272924880056e-06,5.5380072342808e-05,5.3797096445728
"Sult2a2 ",-4.219451078125,7.8267164140625,-7.11542648301223,1.58305412646148e-06,5.64283747115847e-05,5.33418804064859
"Abi3bp ",2.455542625,5.0579070625,7.11320829666528,1.58953168201647e-06,5.64283747115847e-05,5.33009712147206
"Ly6d ",-7.790417453125,9.74859146484375,-7.03742484752385,1.82823376665429e-06,6.39336076906118e-05,5.18991424349762
"Scamp5 ",-1.840118375,8.652246265625,-7.0107159873404,1.92100018496776e-06,6.61897563732275e-05,5.14031503848538
"Dhrs9 ",-3.630890609375,5.45279815625,-6.9932979106382,1.98412220979887e-06,6.73738889501267e-05,5.10791477498239
"Gm608 ",2.06544209375,8.9283817421875,6.97608239551955,2.04863104540157e-06,6.85706077053698e-05,5.0758491668776
"Acta2 ",-2.385278484375,6.82926623046875,-6.93215649967216,2.22329682248673e-06,7.33687951420619e-05,4.99384309381501
"Serpina12 ",-5.675345171875,10.9669657304688,-6.91541969163285,2.29385857116434e-06,7.46459810033061e-05,4.96252514905117
"Sult4a1 ",-2.2819186875,4.89915091796875,-6.88546260556897,2.42602566043529e-06,7.78654537315052e-05,4.90637070124621
"Tmem86a ",-3.44359571875,8.78139594140625,-6.86753334964849,2.50888925970027e-06,7.85794826362797e-05,4.87270183316871
"Ces1d ",2.06513671875,14.6876077734375,6.86616172757912,2.51534835583482e-06,7.85794826362797e-05,4.87012423493885
"Pbld1 ",2.334229296875,10.359706953125,6.85282644087376,2.57905317355406e-06,7.95094945478574e-05,4.84505029737136
"Acss3 ",2.73900275,6.68642693359375,6.81894875066114,2.74854235419105e-06,8.36342173489562e-05,4.78123845184292
"Pnpla7 ",-2.2783740625,14.8493409765625,-6.79817766413768,2.85814308493284e-06,8.49243160476094e-05,4.74203425547992
"Abcd2 ",-3.272989171875,12.0879483242188,-6.79719637126502,2.86343191112298e-06,8.49243160476094e-05,4.74018062206437
"Scnn1a ",3.1570875625,6.19963483984375,6.78792622412413,2.91389908754042e-06,8.4984099350871e-05,4.72266290540819
"Cyp2a4 ",-4.108783359375,14.5062173242187,-6.77854898610208,2.96588961470731e-06,8.4984099350871e-05,4.70493053000209
"Rgs16 ",-4.334123734375,11.7266870976562,-6.77705485490323,2.97426211983415e-06,8.4984099350871e-05,4.70210398363267
"Acaa1a ",1.877629296875,11.5452004140625,6.7576848370733,3.0850524078087e-06,8.70876842348889e-05,4.66543205945536
"Pebp1 ",1.57028925,7.22795392578125,6.74516333528589,3.15894398451259e-06,8.81119732822975e-05,4.64169792480086
"Ptdss1 ",1.616571984375,9.08804502734375,6.70752844096019,3.39229572222995e-06,9.35076338492326e-05,4.57022970939775
"Afmid ",2.47195071875,10.8421080625,6.69454214025673,3.47690945092986e-06,9.381455069615e-05,4.54552281720953
"Nrxn1 ",2.192512828125,5.55633563671875,6.69354280447935,3.48351084531159e-06,9.381455069615e-05,4.54362056736538
"Susd4 ",2.8950086875,7.17483494921875,6.64336335705829,3.83228464479743e-06,0.000102034578667732,4.4479236732615
"Xbp1 ",-2.11070515625,13.8999434375,-6.62177160144213,3.99332901948926e-06,0.000105127751602959,4.40663794183016
"Hnf4aos ",2.335690453125,4.51586570703125,6.61085420172765,4.07741457208426e-06,0.00010614869269326,4.38573796268132
"Slc22a5 ",2.96525684375,6.5361600078125,6.57478509868724,4.36851439160228e-06,0.000112477244170595,4.31657020829703
"Ssr2 ",-1.9352678125,13.4976623828125,-6.56669031683565,4.43675647841505e-06,0.000112553101198063,4.30102241836032
"Ar ",2.602487640625,5.83586291015625,6.56308137432995,4.46753666727265e-06,0.000112553101198063,4.2940877239212
"Tpm1 ",-2.193325375,10.9859329882813,-6.55244598477511,4.55953893992501e-06,0.000112959467824695,4.27364097268955
"Ccnb2 ",-2.099287234375,7.29594987890625,-6.54701460661593,4.60727925439935e-06,0.000112959467824695,4.26319298029172
"Cyp3a41a ",-5.69417553125,12.166762953125,-6.54464147538667,4.62830085837419e-06,0.000112959467824695,4.25862665531887
"Car14 ",2.522262875,8.7095394921875,6.53551389371508,4.7100859375064e-06,0.000113770426304923,4.24105628923906
"H60b ",-3.4622216875,10.56769065625,-6.53011820039851,4.75913588616791e-06,0.00011378219776828,4.2306642811453
"Wbp5 ",-2.51163365625,10.4085026992188,-6.52270579290038,4.8273839943785e-06,0.000114248087866958,4.21638153835625
"Suox ",2.649755015625,9.5273327734375,6.4995419111562,5.04727560702133e-06,0.00011825766747251,4.17169871666168
"Slc25a25 ",2.747812609375,9.4589474921875,6.48834488681363,5.15726552165467e-06,0.000119638347695415,4.15007319225928
"Ces1b ",2.051195703125,8.86719831640625,6.47172561727727,5.32512047199981e-06,0.000122321149665643,4.11794340673779
"Clec7a ",-2.6955548125,8.61565626953125,-6.46482773032624,5.39644294115936e-06,0.000122755978748897,4.1045966292201
"Tmem71 ",-2.299541109375,4.94996715234375,-6.44927931474115,5.56086442863037e-06,0.000125279859195009,4.07448781202149
"Tspan8 ",-4.796059703125,7.9180668203125,-6.44173829450722,5.64247059138931e-06,0.000125907700910716,4.05987296647238
"Ddhd2 ",2.1594523125,8.22474949609375,6.43543496312488,5.71163485598017e-06,0.000126248683656241,4.04765081267072
"Dmxl2 ",2.083395953125,8.1699475078125,6.42564998678044,5.82074742151863e-06,0.000126626908909083,4.02866692444717
"Kif1b ",1.867347359375,7.8630431953125,6.42422331769616,5.83683574997055e-06,0.000126626908909083,4.02589793600693
"Ido2 ",2.237264453125,7.67466605859375,6.39931711370498,6.12524525393058e-06,0.000131664675504214,3.97751303080967
"Olfr1034 ",2.29049090625,5.75478650195312,6.3847498557219,6.30073744368243e-06,0.000132826783078498,3.949173999118
"Plekhb1 ",3.05694746875,8.97768868945312,6.38106561041826,6.34594152623729e-06,0.000132826783078498,3.94200209061263
"Retsat ",4.61075953125,13.3216630078125,6.37765316060973,6.38811051227794e-06,0.000132826783078498,3.9353576130782
"Usp18 ",-2.40965453125,7.61122819140625,-6.37620674680597,6.40607191116954e-06,0.000132826783078498,3.9325407789132
"Sparcl1 ",1.9362528125,5.936385390625,6.34357302794846,6.82552508655277e-06,0.000140179470377018,3.86891187542656
"Fzd7 ",1.819362953125,6.42289535546875,6.33946249028573,6.88034105563684e-06,0.000140179470377018,3.86088687919505
"Bag4 ",2.090544296875,6.28422122265625,6.32186933318472,7.1201557097247e-06,0.000143814869205905,3.82651376866024
"Notum ",2.22174871875,6.15734009765625,6.30936993448704,7.29578374229601e-06,0.000146102746223928,3.80206712875678
"Rbm3 ",-3.057186609375,13.6854096367188,-6.27589561678978,7.78856747480977e-06,0.000154048320617652,3.73649271536698
"Lhpp ",3.174260453125,8.8925834296875,6.27357054333769,7.8240504282973e-06,0.000154048320617652,3.73193237792437
"Pdia6 ",-1.97804015625,14.1595077734375,-6.26081326258864,8.02173956187964e-06,0.0001566244649457,3.70689756778179
"Slc1a2 ",4.153199015625,9.5892909921875,6.25385142877436,8.13179512063512e-06,0.000157278543521985,3.69322642737419
"Ccna2 ",-2.27799621875,5.0345497265625,-6.25024046729364,8.18949308991982e-06,0.000157278543521985,3.68613290670101
"N4bp2 ",2.465405203125,8.47811969921875,6.2413843954846,8.33280137306245e-06,0.000158729704203946,3.66872822540802
"Wdr91 ",1.9281144375,7.27677550390625,6.22930054049805,8.53254021343309e-06,0.000161076964549999,3.64496297954307
"Bco1 ",-2.35215740625,7.36272673046875,-6.22566955672888,8.59352136950485e-06,0.000161076964549999,3.63781810220067
"Hist1h2ad ",-2.4499619375,11.4532362265625,-6.22095695710797,8.67334113146509e-06,0.000161282843420815,3.62854222652289
"Ccdc34 ",-1.855716140625,6.33489284375,-6.18710086544198,9.26980837441809e-06,0.000170884704161018,3.56181509032918
"Mreg ",1.7252615,6.84947675,6.18350688696529,9.33557069253536e-06,0.000170884704161018,3.55472267530536
"Map1lc3a ",2.307496578125,7.57108908203125,6.16970853962735,9.59256877208387e-06,0.000174227818860407,3.52747673804236
"Vcam1 ",-1.7333955625,8.449788734375,-6.16246579369182,9.73038522577595e-06,0.000175371481415331,3.51316517370702
"Lcn2 ",-7.71484196875,11.873770828125,-6.14633935037067,1.00446493319224e-05,0.000179653537287742,3.48127440408203
"Akr1c19 ",3.34635675,8.68119332421875,6.13730687459338,1.02252385121503e-05,0.000181314415228944,3.46339713644045
"Haus8 ",-2.22705284375,6.7773987578125,-6.13399549854534,1.02922822131667e-05,0.000181314415228944,3.45684047128873
"Agfg2 ",1.528104390625,6.75195203515625,6.11100205535414,1.07705346815518e-05,0.000188323602678179,3.41127230537255
"G6pc ",2.9174215625,13.2401428671875,6.08396440102564,1.13624332454684e-05,0.000197201341438018,3.35759975282032
"G6pdx ",-2.025233109375,8.40491184765625,-6.07873929541998,1.14806442382615e-05,0.000197787863604755,3.34721623891292
"Dpyd ",3.17886409375,9.9006454375,6.05140167459766,1.21201825441914e-05,0.000207281662051391,3.29283132901483
"Avpr1a ",1.983895375,7.1115396640625,6.01969170883899,1.29083660738618e-05,0.000219161606601871,3.2296252728677
"Enpp2 ",-2.747103984375,12.0923595117187,-6.00212374165196,1.33676556810181e-05,0.000225326742882198,3.19455124940185
"Cmtm4 ",1.745273890625,7.701388234375,5.99215089322886,1.36358630258071e-05,0.000226955810821209,3.17462280706043
"Cyp2c29 ",2.73199375,16.060100546875,5.99133565789353,1.36580321492917e-05,0.000226955810821209,3.17299317494059
"Rmnd5a ",1.783926875,11.58651203125,5.97814637531995,1.40219154601533e-05,0.000231361605092529,3.14661618160907
"Lysmd2 ",-2.174344390625,5.50178195703125,-5.96763780006822,1.43190010028311e-05,0.000232764142621123,3.12558413553753
"Slc35f5 ",-1.81288171875,13.849114296875,-5.96687198597626,1.43409037579604e-05,0.000232764142621123,3.12405086280115
"Pdxk ",2.34055325,7.101105390625,5.96244415139078,1.44682228435439e-05,0.000232764142621123,3.11518419749773
"Ttc7b ",2.016682328125,5.39548812890625,5.96119694399094,1.45042956989688e-05,0.000232764142621123,3.11268622770851
"Bub1 ",-1.83189565625,4.19802594921875,-5.94371534076551,1.50198049499931e-05,0.000239397299304992,3.07765205233576
"Slc12a2 ",1.84871525,6.2192426953125,5.93431293119473,1.53048591235493e-05,0.000240312372916415,3.05879277047503
"Cyp4a10 ",5.59772703125,13.4055718789062,5.92874023920583,1.54764384983145e-05,0.000240312372916415,3.04760973935031
"Pold4 ",-2.48694378125,7.980159390625,-5.92844826911676,1.54854826334355e-05,0.000240312372916415,3.04702371669384
"Sgk2 ",1.941314296875,7.041932953125,5.92838377547371,1.54874811397263e-05,0.000240312372916415,3.04689426792973
"Cdkn3 ",-2.86749315625,6.6789956328125,-5.91681270112786,1.58503873757386e-05,0.000244325379087865,3.02366068193968
