"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Akr1c18 ",-13.128566890625,11.6288934140625,-35.4381327902075,1.42759823026036e-17,3.34486265350003e-14,27.4175445954401
"Tff3 ",-8.24880909375,8.59328883203125,-18.4238593822719,8.55827740219755e-13,1.00260219766744e-09,19.1296451368246
"Ifi27l2b ",-7.171241125,8.864057703125,-16.6683188339938,4.41958268622615e-12,3.45169407794262e-09,17.6724015804697
"Klrb1b ",-8.22756328125,9.8912981015625,-13.8098795558054,9.17043251582156e-11,4.7410132423419e-08,14.8795532808403
"Spp1 ",-6.774572984375,11.9744510742188,-13.7247906553135,1.01173991513912e-10,4.7410132423419e-08,14.787158943808
"Rbp1 ",-5.249337625,13.147138390625,-12.3096398756606,5.61396227168919e-10,2.19225226709463e-07,13.1599168633845
"Anxa2 ",-4.95342396875,9.04039422265625,-11.6087734780588,1.39287993283954e-09,4.66216811806149e-07,12.2857790490769
"D17H6S56E-5 ",-3.832751515625,6.98514263671875,-11.2470934676945,2.26450310016269e-09,6.63026498095895e-07,11.8154559522245
"BC048546 ",-4.238758125,14.0762792578125,-11.1609782427296,2.54683674044518e-09,6.63026498095895e-07,11.7014672789065
"Golm1 ",-3.49456090625,7.527297140625,-10.9165918987563,3.56845878098987e-09,7.98524964769232e-07,11.3736783863562
"Pnpla5 ",-3.4700514375,5.7173003984375,-10.88118682632,3.74894349656916e-09,7.98524964769232e-07,11.3256565463782
"Mmp12 ",-4.606025625,7.79557426953125,-10.6803670258289,4.97120056493377e-09,9.42687694063378e-07,11.0506751758253
"Mpeg1 ",-3.687157796875,11.2611452148438,-10.6444890091732,5.23044815314721e-09,9.42687694063378e-07,11.0010782239642
"Fabp5 ",-5.66372134375,10.6644833984375,-10.5818822801972,5.71739501419738e-09,9.56846894161747e-07,10.9141879133967
"Klk1b4 ",-5.7615200625,11.5235893867188,-9.76990029749608,1.88176490107627e-08,2.93931677548113e-06,9.74641487625469
"Cyp27a1 ",3.22317265625,12.6347285664063,9.68932328283298,2.1260854594565e-08,3.11338639469161e-06,9.62626639932687
"Nr1i3 ",4.04500025,9.5658201484375,9.24247051255155,4.23972378916807e-08,5.84333696354164e-06,8.94540154216634
"Scd2 ",-4.827421609375,9.2160529765625,-9.13937457237385,4.98781026896681e-08,6.4924663667718e-06,8.78474674530456
"Sugct ",3.136752078125,9.04866634765625,9.0667100853331,5.59726856491579e-08,6.90231591978826e-06,8.6706952210082
"Cyp2b13 ",-4.66208025,7.5886686015625,-8.98682687169752,6.35812302230771e-08,7.44854112063349e-06,8.54452728910916
"Prodh ",3.7933631875,10.2339563320312,8.9321866542724,6.94033203095726e-08,7.68297348476876e-06,8.4577514170211
"Cd9 ",-3.12761425,10.343354046875,-8.90813385025421,7.21405961011151e-08,7.68297348476876e-06,8.41942908131552
"Abcd2 ",-4.27404159375,12.0879483242188,-8.8761369152439,7.59581643073938e-08,7.73782517270538e-06,8.36833251483941
"Rhoc ",-3.089889125,9.31740970703125,-8.56942232604328,1.25309255218455e-07,1.22333160407017e-05,7.87168302023094
"Hamp ",5.29809265625,15.2348755078125,8.52423852196507,1.35031417453785e-07,1.25064426815056e-05,7.79746043513363
"Tstd1 ",-4.342548546875,11.4438174023438,-8.49224484049868,1.42390088362639e-07,1.25064426815056e-05,7.74473915093342
"Tnfsfm13 ",-3.873533875,9.89268433203125,-8.48248881741352,1.44716483450103e-07,1.25064426815056e-05,7.72863512212588
"Ube2c ",-3.162412296875,5.5603189375,-8.46310186667355,1.49458128502842e-07,1.25064426815056e-05,7.69659547619233
"Hhip ",2.496079640625,5.843125046875,8.30066557935848,1.96172309092211e-07,1.49464691021975e-05,7.42614780050572
"Ces1g ",2.7254955,11.28866184375,8.29735248063919,1.97270392526915e-07,1.49464691021975e-05,7.42059435404342
"Tmem176a ",-2.95474734375,13.61414765625,-8.27885946126503,2.03518738714553e-07,1.49464691021975e-05,7.38956867763744
"Tpm1 ",-2.770615171875,10.9859329882813,-8.27706936017614,2.04134447831977e-07,1.49464691021975e-05,7.38656295313325
"Fzd7 ",2.330779328125,6.42289535546875,8.12146256930331,2.65847055891812e-07,1.86558529333543e-05,7.12360925702798
"Cd63 ",-3.752090078125,9.8551166171875,-8.1008112178241,2.75395893570684e-07,1.86558529333543e-05,7.08846123156027
"Glt1d1 ",2.7336704375,7.222156859375,8.09387416998048,2.78683249111139e-07,1.86558529333543e-05,7.07664137292072
"Ccnb2 ",-2.583315703125,7.29594987890625,-8.05654670066863,2.97089258768983e-07,1.88569716671829e-05,7.0129259900084
"Lcn2 ",-10.0926170625,11.873770828125,-8.04068957611027,3.05288295721261e-07,1.88569716671829e-05,6.98580070533846
"St6gal1 ",-3.151765375,10.9064379765625,-8.02837296381801,3.11819488625179e-07,1.88569716671829e-05,6.96470783317012
"Fam83a ",-3.61502134375,6.21859528125,-8.01321858071025,3.20056130923048e-07,1.88569716671829e-05,6.93872630012573
"Car14 ",3.091248453125,8.7095394921875,8.00983014679773,3.21928666960015e-07,1.88569716671829e-05,6.93291262462436
"Aox1 ",2.997111375,9.43518999609375,7.99244802389503,3.31715873728274e-07,1.89563485889109e-05,6.90306437644339
"Cdca3 ",-3.16057225,6.049880109375,-7.97537972123687,3.41628884876024e-07,1.9058011363441e-05,6.87371423190171
"Scamp5 ",-2.0814258125,8.652246265625,-7.93007961792498,3.69466524619742e-07,2.01316294693966e-05,6.79562131708398
"Hamp2 ",3.9730803125,14.2924542578125,7.90113543979865,3.88483862268944e-07,2.06867656658213e-05,6.74557495304164
"Cdkn3 ",-3.7917775625,6.6789956328125,-7.82398995190335,4.44327697487872e-07,2.31346621158686e-05,6.61161488406587
