"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","QC-1","QC-2","QC-3","QC-4","QC-5","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"Cer(14:0)",1.4e+07,1.2e+07,1.3e+07,1.4e+07,1.3e+07,1.2e+07,1.6e+07,1.5e+07,7334572,5847298,6520823,4451562,7034850,3479739,7259476,9510730,9159353,1.1e+07,1.5e+07,1.6e+07,1.1e+07
"Cer(16:0)",10788664,8512059,12219960,12098064,13760694,9758846,14214081,12510579,8443560,9213761,9346170,3707110,7296496,3202487,5119629,7340798,7479829,9267845,11047452,10452659,9151703
"Cer(17:1)",1.4e+07,1.5e+07,1.7e+07,1.7e+07,1.6e+07,1.4e+07,1.9e+07,2.1e+07,1.5e+07,1.3e+07,1.4e+07,1.4e+07,1.3e+07,3813490,1.5e+07,9821881,9674619,1.2e+07,1.8e+07,1.7e+07,1.2e+07
"Cer(18:0)",112292552,110039812,118607331,145053093,133791739,100219498,145139136,133977291,109040019,99754245,91204833,88591596,104080626,32525819,78369563,64165092,67317353,90329870,108819758,102296185,71289787
"Cer(18:1)",2322328295,1843457420,2243107569,2251625304,2312196198,1962058594,2483887777,2566341655,1776063671,1837758695,1779377146,1613807021,1781161106,669919814,1598456586,1240565507,1387970470,1566205879,2109450752,2010535392,1578891627
"Cer(18:2)",269753884,222525126,265918950,293966558,287222774,243670509,308106150,305554448,211456812,209239462,208595226,154146100,194600079,102053699,166459690,173457300,185247766,237481662,242034434,227928815,192068562
"Cer(34:0)",3e+07,2.8e+07,3.6e+07,3.9e+07,3.5e+07,3.1e+07,4.1e+07,4.9e+07,2.4e+07,2.3e+07,2.8e+07,1.3e+07,2.5e+07,9780693,2.3e+07,2.3e+07,2.8e+07,3.8e+07,4.7e+07,4.6e+07,3.1e+07
"Cer(50:2)",2134936,2338674,3011196,2435224,2313766,2455245,2786062,2690324,1967054,1695604,1766663,792289,1679886,936081,513928,1339293,1321529,1156581,943816,1295577,937806
"Cer(52:2)",1381972,1148250,1377746,1340234,1317319,1187631,1639595,1128706,935583,848546,783414,584887,1156207,375504,199264,696094,669695,773419,604860,544585,673483
"Cer(52:4)",1370525,1829267,2604794,2096001,1880151,2498195,2323900,2280904,1488333,1335384,1192066,767433,953600,653269,203096,949043,795059,809504,473503,502218,681336
"Cer(56:2)",4771455,5385227,4859992,5396586,4191777,4214391,6135319,3849420,3578683,3477578,3291473,1974431,3409357,2736220,1685635,2424539,2064846,2531527,1620103,1818247,1741484
"Cer(57:2)",3448811,4041612,3764948,3984727,3209524,2814424,4538067,3258858,2697766,2716986,2467457,1538582,2819418,1517828,828427,1955121,1344678,1714068,1228054,1218719,1292414
"Cer(58:2)",7439728,8651443,7743905,8288517,6906691,6065856,9286886,6621565,5374071,5356568,5125834,2788709,5496257,2771996,1830148,3822820,2979005,3718968,2670821,2658233,2500004
"Cer(59:2)",995352,1036871,1043152,1102315,1188797,718823,1404748,1007824,818616,866214,784328,347823,763886,458131,352552,529283,426704,752940,442944,462452,550985
"Cer(59:3)",3716097,3986252,4272888,4723772,3395164,3430762,4688469,3692427,2905166,2957603,2687298,1825699,2838211,1618202,921232,2418780,1473970,2245816,1279041,1454844,1348757
"Cer(59:4)",3924332,4178894,4871108,5812020,3842349,4419073,5513347,4487085,3147966,3174771,2614619,1813702,3235646,1559388,802078,2200143,1738519,2406450,1020556,1482601,1239472
"Cer(60:2)",997435,1241584,1111753,1299661,1191214,785365,1507639,1081955,904353,1049549,898812,431274,904946,512239,331270,566507,473359,714463,553824,501860,713805
"Cer(60:3)",6346102,7258415,7113379,8986938,6135755,6544813,9556649,6373639,5268823,5084048,4916352,2971520,4764940,2373915,1650383,3299501,2863089,4023528,2799494,2864062,2324921
"Cer(60:4)",5255464,6495962,7415400,7903334,5585787,5709398,7573320,6062484,4128931,4302675,4355228,2667140,4233217,1980871,1300088,2880833,2575482,2738974,1910513,2287808,1840849
"Cer(60:5)",5888689,7411658,9933355,1e+07,7741651,7388707,1.1e+07,7594293,5240330,6217292,5909898,2931535,5421608,2569338,1414161,3323367,2471962,3892607,2674120,3257327,2061013
"CL(68:2)",2220531,3049129,3235546,2253062,3535787,1038918,2947395,2884420,2082780,1708805,1634900,1033648,1806866,471042,485730,389430,407972,505079,736444,806060,480645
"CL(68:3)",7922224,5820597,6895565,5545763,9363992,2475180,1e+07,7739725,5040137,4370726,4071231,2221685,4620377,899025,1016848,1327772,1299532,501268,1568118,1474800,963034
"CL(70:4)",7779274,5879392,8488755,7090198,1.2e+07,2555290,1.2e+07,8908221,5283579,5001822,4887674,2489380,4460707,806678,554771,747736,1177481,971668,1292363,1406796,1194624
"CL(70:5)",1.1e+07,9022737,9139464,8181696,1.4e+07,3574326,1.4e+07,1.2e+07,5878219,6213321,5973789,3229404,6007133,891115,906898,1925960,1655039,1615818,1756034,2269896,1948295
"CL(70:6)",6691064,6411923,9267927,6379387,1.2e+07,4970007,8888479,1.1e+07,6164129,4042363,4351467,1497198,5200634,1765774,1323292,2549859,3221781,2864273,2921386,2079138,3203915
"CL(70:7)",7332102,5720226,6478047,6675618,7269237,4116194,4888235,7793537,4728616,5342851,4597816,2291059,4734599,1925008,2135894,3170566,4203922,2711657,3453641,4367040,3140864
"CL(72:10)",962354,825155,913867,884603,1007816,724388,707192,1237155,797141,731779,706390,255583,645297,281759,245635,456625,653676,527272,546592,612774,495826
"CL(72:5)",1143316,2379548,3384070,3083031,4644125,1176777,4629757,3530584,2270321,1885470,1871207,822184,2487542,248733,380341,677494,431525,755243,800363,439236,723715
"CL(72:6)",1.5e+07,1.2e+07,1.1e+07,1.2e+07,1.5e+07,6978437,1.7e+07,1.4e+07,9729805,8478276,8331739,4420720,9283938,2719645,2701246,4629104,3583632,4998588,5175227,5535075,4448380
"CL(72:7)",3.4e+07,2.7e+07,2.6e+07,2.7e+07,3.6e+07,1.7e+07,3.3e+07,3.4e+07,2.2e+07,2e+07,2e+07,9687342,2.1e+07,6871705,7556560,1.1e+07,1.2e+07,1.4e+07,1.4e+07,1.6e+07,1.2e+07
"CL(72:8)",4.8e+07,4.8e+07,4.5e+07,5e+07,5.2e+07,2.6e+07,5.6e+07,5.8e+07,3.7e+07,3.7e+07,3.4e+07,1.7e+07,3.7e+07,1.2e+07,1.6e+07,2.3e+07,2.3e+07,2.6e+07,2.8e+07,3.1e+07,2.2e+07
"CL(74:10)",5282773,5650493,4859048,5174713,7601954,4534593,7022689,7529584,4340131,4624100,4350604,1954633,4499322,1659407,1521766,2341527,3141700,2462579,2930862,3471760,2448643
"CL(74:11)",6751139,7072731,6238615,6870667,7592028,3629886,7964773,8227116,5238364,5583143,5054526,2546476,5416826,2100744,2230713,3685229,3455215,3792281,4048349,4739051,3581921
"CL(74:7)",2845754,2079023,2280260,2084542,2906636,1773320,2782581,2679814,1961835,1925188,1181107,585209,1817486,407907,576992,705782,407903,646794,905042,781623,752087
"CL(74:8)",4968492,2341243,4130217,3264959,5569102,2093072,4803249,4091130,2375697,2859494,1804841,975413,2573658,583496,973038,1162264,1252080,1137723,2094840,1916230,1536314
"CL(74:9)",3376411,2844609,3344437,2826987,4018818,1882850,4062954,4072082,2580020,1968350,1439176,1068955,2186882,804409,592059,655370,1280484,893747,1190408,1304725,1063046
"DG(26:0)",9967758,7534982,3.4e+07,2.4e+07,3.2e+07,1e+08,1.8e+07,9.9e+07,3.2e+07,3.2e+07,3.3e+07,3.2e+07,3.4e+07,7.3e+07,7.3e+07,1.1e+07,8.7e+07,6097398,7520535,7404563,1.8e+07
"DG(28:0)",6.6e+08,6.9e+08,1.12e+09,1e+09,1.03e+09,1.75e+09,8.6e+08,1.74e+09,1.07e+09,9.9e+08,9.9e+08,1e+09,1.08e+09,1.39e+09,1.43e+09,6.6e+08,1.55e+09,5.8e+08,5e+08,5.7e+08,7.6e+08
"DG(28:1)",1.7e+08,1.5e+08,3e+08,3.7e+08,2.9e+08,4.8e+08,2.4e+08,5e+08,3.2e+08,3.2e+08,3.1e+08,2.7e+08,3.3e+08,4.2e+08,5.2e+08,2.5e+08,4e+08,1.5e+08,1.5e+08,1.8e+08,2.1e+08
"DG(30:1)",9.2e+08,1.01e+09,1e+09,9.4e+08,1.02e+09,1.2e+09,9.1e+08,1.3e+09,1.1e+09,1.06e+09,9e+08,1.04e+09,1.14e+09,1.07e+09,1.21e+09,8.8e+08,1.19e+09,9.3e+08,8.5e+08,7.7e+08,8.6e+08
"DG(31:1)",4.2e+07,5.3e+07,5.8e+07,5.4e+07,6.9e+07,5.2e+07,6.6e+07,5.2e+07,6.4e+07,6.4e+07,6.9e+07,6.8e+07,5.4e+07,7.3e+07,8.1e+07,6.5e+07,7.5e+07,5.1e+07,5e+07,7.1e+07,7e+07
"DG(32:1)",7.97e+08,4.25e+08,4.76e+08,5.05e+08,4.85e+08,4.8e+08,4.71e+08,7.22e+08,8.44e+08,5.35e+08,4.64e+08,4.64e+08,4.92e+08,4.23e+08,449104027,828493662,5.33e+08,519883473,4.92e+08,499450214,5.41e+08
