"","p.log","fc.log"
"AcCa(14:0)",2.62740406021882,0.76792
"AcCa(16:0)",1.96233851656469,0.7675
"AcCa(18:0)",4.74697336190189,1.2179
"AcCa(18:1)",2.61127344382922,1.3988
"AcCa(18:2)",2.37300464224139,1.3713
"Cer(d16:0+pO/26:2)",1.70335939023836,0.56413
"Cer(d18:1/25:1)",1.77167551496885,0.34209
"Cer(d50:2+pO)",7.19838110030559,1.2558
"Cer(d52:2+pO)",6.08893969932598,1.2136
"Cer(d18:0+pO/34:3)",6.67226392837922,1.4419
"Cer(d52:4+hO)",6.42164212859565,1.7364
"Cer(d56:2+pO)",6.43555126708313,1.2231
"Cer(d18:0+pO/38:3)",7.21393309707587,1.4199
"Cer(d18:1+hO/38:3)",6.70998808658738,1.8874
"Cer(d57:2+pO)",6.89005583668683,1.3886
"Cer(d18:0+pO/39:3)",7.27167658903366,1.3117
"Cer(d58:2+pO)",7.36094792606063,1.4103
"Cer(d18:0+pO/40:3)",4.95894444523069,1.5665
"Cer(d18:0+pO/40:4)",5.60565343014944,1.3241
"Cer(d59:2+pO)",5.22363377148532,1.0958
"Cer(d59:3+hO)",6.65707513300148,1.3221
"Cer(d59:4+hO)",6.80667229361449,1.5733
"Cer(d60:2+pO)",5.12421996202157,1.0775
"Cer(d60:3+hO)",6.28179892016646,1.3934
"Cer(d60:4+hO)",7.38313677120801,1.5699
"Cer(d60:5+hO)",6.12586410867001,1.628
"Cer(d14:0/19:1)",1.35079686995779,0.40345
"Cer(d34:0)",0.514806748492299,0.2337
"Cer(d16:0/23:1)",2.26751126910638,0.57489
"Cer(d18:2/21:0)",1.86846336504184,0.46458
"Cer(d18:0+pO/22:0)",4.09307407244712,0.88965
"Cer(d18:1/22:2)",2.19453914802251,0.61583
"Cer(d18:0+pO/24:0)",2.04388807255685,1.076
"Cer(d18:0+pO/24:1)",2.46736866979462,0.52792
"Cer(d18:1/16:0+O)",2.38008040050832,0.74899
"Cer(d18:1/16:1)",3.16232425813039,0.8354
"Cer(d18:1/17:0)",2.52454659649861,0.7155
"Cer(d18:0/18:0)",2.31528456784002,0.63441
"Cer(d18:1/22:1)",1.22442431579445,1.0774
"Cer(d18:0/24:1)",1.22551262781598,0.34599
"Cer(d18:1/14:0)",0.495730164299917,0.20113
"Cer(d17:1/16:0)",1.53503600805072,0.45077
"Cer(d18:0/16:0)",1.6693928851971,0.54265
"CerG1(d42:1+pO)",3.48759100404433,0.93868
"CerG1(d30:2)",0.773105877379968,0.23516
"CerG1(d32:1)",0.352756078678843,0.4598
"CerG1(d32:2)",0.413587006101523,0.46034
"CerG1(d18:1/16:0)",0.265992609927202,0.14132
"CerG1(d34:2)",0.583762432271679,0.62544
"CerG1(d18:1/18:0)",3.30123506777388,0.88899
"CerG1(d36:3)",0.292996506706393,0.35066
"CerG1(d36:4)",0.182112288243893,-0.053771
"CerG1(d18:1/20:0)",3.59801724101084,0.855
"CerG1(d18:1/20:0+O)",3.62440711529307,0.93742
"CerG1(d18:1/20:1)",4.70026060755496,1.004
"CerG1(d38:3)",0.222375343285433,0.21477
"CerG1(d38:4)",0.274263832222555,0.30126
"CerG1(d18:1/22:0)",3.49095665492961,0.85277
"CerG1(d18:1/22:0+O)",3.94071916761549,0.95718
"CerG1(d18:1/22:1)",3.91968922961628,0.89579
"CerG1(d18:1/23:0)",2.72526170418016,0.83863
"CerG1(d18:1/23:0+O)",3.75592921699882,0.80016
"CerG1(d18:0/24:0)",2.95150913588649,0.82872
"CerG1(d18:0/24:0+O)",3.54583076533349,0.80242
"CerG1(d18:1/24:0)",2.89414430669976,0.7853
"CerG1(d18:1/24:0+O)",3.15466155319002,0.85931
"CerG1(d18:0+pO/24:2)",4.86142704985735,1.0693
"CerG1(d18:1/24:2)",3.35101881206727,0.82059
"CerG2(d37:4+pO)",3.4388174725975,0.62464
"CL(18:2/18:1/16:0/18:1)",4.77034003147126,2.9885
"CL(18:2/18:2/16:0/18:1)",5.13485307566172,2.6414
"CL(18:2/18:2/18:2/16:0)",4.68180564746261,1.719
"CL(18:2/18:2/18:2/16:1)",4.2794484884557,1.0016
"CL(18:1/16:0/16:0/18:1)",5.48805767040317,2.3052
"CL(18:4/18:2/18:2/18:2)",4.04900134440406,0.92684
"CL(18:2/18:1/18:1/18:1)",3.72325386765429,2.4273
"CL(18:2/18:1/18:1/18:2)",5.50472889569737,1.6076
"CL(18:2/18:2/18:2/18:1)",5.2535924664131,1.3246
"CL(18:2/18:2/18:2/18:2)",4.59694361173353,1.0814
"CL(20:5/18:1/18:2/18:2)",5.15927488114464,1.2542
"CL(20:5/18:2/18:2/18:2)",4.17615347099056,0.97578
"CL(18:2/16:0/16:0/18:1)",5.09191781759826,2.6233
"CL(20:2/18:2/18:2/18:1)",7.4859927799926,1.9063
"CL(20:2/18:2/18:2/18:2)",4.04248429894577,1.5527
"CL(18:2/18:1/20:4/18:2)",5.90103782701271,1.7635
"Co(Q8)",2.8544963359767,0.52325
"DG(14:0/18:2)",1.77129383269142,0.58272
"DG(32:3e)",1.22832035372489,-0.26984
"DG(16:0/18:1)",3.79114532258968,1.1234
"DG(34:2e)",0.282629412659159,0.11704
"DG(16:1/18:2)",1.27524794486687,0.52645
"DG(16:1/18:3)",3.36759913186872,0.63656
"DG(35:1e)",0.638636896154283,0.18133
"DG(35:1p)",0.509025496767576,-0.13002
"DG(18:0/18:1)",4.58645904822831,1.1417
"DG(36:1p)",1.25646350094665,0.36123
"DG(18:1/18:1)",3.35444174727512,1.0681
"DG(36:2e)",0.0544858024963958,-0.040077
"DG(18:0/20:4)",8.00029200340927,1.428
"DG(36:4p)",0.338182630151961,0.27623
"DG(18:3/18:3)",1.97404941034787,-0.73038
"DG(38:1e)",0.544286489703653,-0.25389
"DG(20:1/18:1)",5.11859938600329,1.1104
