"","Count (COLD1)","Count (COLD2)","Count (COLD3)","Count (COLD4)","Count (RT1)","Count (RT2)","Count (RT3)","Count (RT4)","Count (RT5)"
"Cfd",317332.073949562,573860.46961157,764070.688277159,271466.145412496,1038419.51526681,1982808.9471378,619823.619532565,263721.250868968,295451.269689932
"Fabp4",500612.48801372,333069.107054855,31779.7506251721,644751.287832985,45540.254921302,67449.1027378203,506538.388329764,350425.084802786,244802.503121553
"Scd1",566369.346035347,245559.592627285,417270.937043496,1989221.12137361,109425.61630874,214541.913632645,821554.984644201,293994.85106287,414554.498694922
"Fasn",432835.08339699,336827.912382985,982486.919531232,352250.186194715,710405.260309888,587603.558477484,242557.665381482,229649.593284298,110186.586760471
"Car3",289164.575481175,457105.176522657,209606.603947195,355090.120682793,169117.810503918,496939.947953316,477094.318725558,323741.491674767,345920.316099918
"Gsn",211110.337393476,458074.5447277,290874.016018305,116949.849834789,303334.590001287,1004811.44206396,301035.502927579,90363.6973131659,181474.794677018
"Gpd1",165525.433020941,236911.886909672,362476.734996526,176613.879954991,95092.3621513017,159123.740056452,77409.9614302005,49880.4450448415,35240.9159713503
"Pnpla2",127884.578954962,280320.155074961,264191.99729608,74103.4014263676,154514.668100258,433491.498519663,129949.988698287,62108.3371321904,36680.2537311178
"Lpl",78707.3192889473,46153.1423905189,15870.6275834331,402769.20751414,12602.4264471141,13993.5957898484,119892.03020371,158778.844658814,174912.644156719
"H2-D1",120297.720744707,162367.672224552,229051.476507889,81858.819567478,261351.858140217,328577.914350891,136161.047891284,46709.5758597465,72414.6118917422
"Rplp1",70896.5008169381,123483.289251703,209081.665879386,18526.402658126,249834.194875793,175828.857564403,44107.8569886946,88239.1542145319,30341.9651625031
"Eef2",108208.770849247,162218.96232946,202160.649087581,43840.5911697091,253854.383500976,221553.920383359,75736.2047534501,103224.852068228,53677.9971328848
"Rplp0",65689.016044526,101157.778132665,145816.129947015,22572.5636965659,196156.653024979,137483.71096005,36551.9677125352,84916.4234784266,38538.1502808287
