,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
DG 16:0,1611200256,812816128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226137,4210634,6277872,5352150,3218649,0
DG 16:0,63233,619083,0,0,343353,0,0,0,0,0,0,543455,0,0,539002,9608795,747642048,2481410048,2544357632,2972078336,1337157120,68589736
DG 16:0,8849750,7902149,0,10672,747441,0,353350,710199,893889,834348,1439427,1265604,1270462,686288,152287,0,442118,91042,208855,289922,17199,11753
DG 16:0,1447804,1277704,0,5743458,19672184,0,9572428,16975046,33058926,16060119,32729194,27091146,33344476,32342962,20447188,0,13464526,20486178,23391942,30726188,15851015,13982366
DG 16:0,18655344,15852223,0,999247,2894130,0,2019264,3354047,5258248,2885170,5725204,5115240,5646848,4958116,2811762,0,2283695,3562123,4274115,4449262,2761990,2562130
DG 16:0,65018,206227,0,983270,8837344,0,3009206,5826039,9419689,5152974,11595952,9475166,10311335,12261924,6803068,0,7543232,7927038,10899845,11116246,6744368,1318765
DG 17:0,65512,354274,0,1648863,6153151,0,524318,1591754,9433507,7485164,8204154,9960820,14135754,8836727,9196161,0,3388375,1738574,3829914,6093804,4535762,4366990
DG 17:0,14232042,19116046,0,154049,567140,0,416701,1416830,2905228,4396496,3040876,3119710,4771096,804846,1002358,0,1798685,190297,1379825,2415238,780956,173945
DG 17:0,50351,180648,360413,22637334,51160056,0,18134850,41014812,57466604,98740632,101482824,109700328,93366872,35665668,41153060,0,40756244,20433214,49220976,47859964,37875452,17764592
DG 17:0,22240500,29074826,0,17769,118496,0,0,111818,1778457,1772858,1122335,1117497,1050621,1323202,177769,0,283709,145453,978660,315331,336730,22419
DG 17:0,0,125727,0,7441824,38707632,0,10206774,27760766,60017452,68982912,84467184,103768176,69398008,55156352,39657760,0,33335672,29364708,67045160,64166188,41036400,21801838
DG 18:0,0,0,0,2294293,15850262,0,2262420,9976335,16246372,17844102,27405482,23064226,25002506,10781703,9716629,0,13750739,2082549,10992267,17413462,8830072,6813548
DG 19:0,0,70196,0,17524216,36516756,0,14765498,33148334,42811784,32650532,68963880,46036460,58532516,31249574,23240148,0,36452920,18267456,37093508,47236176,32723636,17616578
DG 19:0,0,0,0,13551129,30985026,0,10253955,26408990,34468760,24693682,50336472,35794164,41935756,23019672,20404368,206120,8033080,16277872,29246544,32072632,23661072,11491419
DG 19:0,14761,15078,0,13551129,30985026,0,10253955,26408990,34468760,24693682,50336472,35794164,41935752,23019674,20404368,206120,25881348,16277873,29246544,32072632,23661070,11491419
