,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,B,B,,
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,SXY_FDUhhuang_164_pos,SXY_FDUhhuang_165_pos,SXY_FDUhhuang_166_pos,SXY_FDUhhuang_167_pos,SXY_FDUhhuang_170_pos,SXY_FDUhhuang_181_pos,1,1
2779,2.269,381.25964,DG 17:0,[M+Na]+,adduct linked to 3118_[M+NH4]+,0.5,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,5.3,75,100,139.63,SXY_FDUhhuang_167_pos,381.25964:400663 382.26299:123608 383.26635:58814,102.12437:202 105.07137:202 107.08544:202 109.05711:40 109.06297:202 109.09813:121 117.08262:40 119.0826:162 121.06094:640 121.09644:81 123.07425:121 123.11627:121 131.08304:121 131.09106:121 135.11441:121 143.08163:81 145.09052:81 147.07936:81 147.12019:121 159.07379:40 161.10075:40 161.13103:121 163.10652:121 165.12469:1732 173.0999:40 175.10638:81 177.13004:121 179.1071:81 181.14046:81 191.14561:162 261.22009:1074 279.2348:81 289.21243:3522 291.19354:40 307.2269:121 363.25375:202 381.2157:201 381.27869:121,992,11962,379183,4721010,2834,2346979,1243826.663,1931711.572
2780,3.21,381.25992,DG 17:0,[M+Na]+,,0.167,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,10.2,75,100,23.29,SXY_FDUhhuang_167_pos,381.25992:40719 382.26327:5648 383.26663:3632,103.129:121 107.05339:40 109.06284:81 110.38092:35 126.03149:40 156.0397:35 165.11729:81 165.13713:161 173.1274:35 185.13829:35 191.13765:81 213.13034:35 261.21527:40 274.93091:35 289.21927:202 296.49799:35 317.16818:81 381.25363:81,549,0,3039,374119,0,210632,98056.49347,159153.8985
3516,9.689,423.32132,DG 20:0,[M+Na]+,found in higher mz's MsMs_5892; found in higher mz's MsMs_4756,0.333,TRUE,3.36,423.30811,C23H44O5,DG,TWGSXYKALSAVMI-UHFFFAOYNA-N,CCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.8,88,75,100,750.26,SXY_FDUhhuang_181_pos,423.31122:391173 424.31457:198452 425.31793:58301,105.08006:81 109.09819:81 121.09805:81 123.11012:40 123.1179:81 147.11858:81 149.12808:81 163.14603:40 165.09233:202 171.11241:40 173.13506:40 190.09402:40 271.22226:40 290.10071:35 299.19547:35 322.21271:81 340.21774:162 353.24405:81 405.34399:81 421.96271:40 421.99152:121 423.2662:161 423.33838:20367,42667,24660,90184,24064782,43639,4116259,4730365.105,9610532.376
3518,11.388,423.32227,DG 20:0,[M+Na]+,similar chromatogram in higher mz_19444; similar chromatogram in higher mz_22937,0.667,TRUE,3.36,423.30811,C23H44O5,DG,TWGSXYKALSAVMI-UHFFFAOYNA-N,CCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.7,69.3,75,100,61.1,SXY_FDUhhuang_166_pos,423.31213:47669 424.31548:10853 425.31884:2835,125.99685:35 176.09123:40 351.23096:81 377.24197:40 407.26483:81 407.27332:202 423.3103:4104,313857,285348,443590,608273,347090,756030,459031.5677,186810.8678
3806,2.827,437.31424,DG 21:0,[M+Na]+,,0.167,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,86.2,100,7.5,75,100,13.47,SXY_FDUhhuang_164_pos,437.31424:19911 438.31759:6152 439.32095:684,186.05588:35 207.10764:81 271.27301:81 290.18427:40 308.19894:665 308.23099:40 374.23621:121 392.2532:316 437.17703:81 437.32663:121,201452,93212,48577,53915,179329,66403,107147.959,66666.4996
3752,9.415,435.31775,DG 21:1,[M+Na]+,found in higher mz's MsMs_8158,1,TRUE,3.15,435.30811,C24H44O5,DG,QCAXDFJIMSZAGM-CLFYSBASNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,95.9,99.8,15.6,75,100,113.55,SXY_FDUhhuang_170_pos,435.31363:76900 436.31698:403985 437.32034:149326,111.11642:35 147.11169:35 149.01839:162 155.08276:40 195.10475:35 319.25452:35 348.25351:81 390.09579:35 435.32037:40,1020101,495393,254624,2033832,631042,901891,889480.3854,624803.063
4265,8.782,463.33047,DG 23:1,[M+Na]+,found in higher mz's MsMs_18649,0.333,TRUE,3.66,463.33939,C26H48O5,DG,CWOXQNVXDIVEKF-KHPPLWFENA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,97.6,99.9,26.9,75,100,7.81,SXY_FDUhhuang_181_pos,463.33417:28862 464.33752:5590 465.34088:3510,102.12717:121 105.06557:40 113.04092:35 123.01818:40 149.05258:40 156.09413:35 195.11276:35 208.07362:121 219.16499:35 225.09642:81 225.12799:81 234.16457:35 303.83795:35 324.99081:81 329.22531:35 342.00772:81 344.24246:35 360.01495:81 360.06021:81 376.25772:40 403.34082:35 430.06076:40 430.06949:121 463.24554:40 463.33914:306 463.35727:121,3988,342,19730,473294,283,236350,122330.9538,195184.1846
4266,9.282,463.33401,DG 23:1,[M+Na]+,,0.5,TRUE,3.66,463.33939,C26H48O5,DG,CWOXQNVXDIVEKF-KHPPLWFENA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.8,57,75,100,6.51,SXY_FDUhhuang_181_pos,463.33401:21732 464.33736:4002 465.34072:7340,105.06556:40 111.62841:35 133.09991:40 137.05681:35 144.08002:81 145.09888:81 165.08673:40 165.14621:81 175.11555:35 184.07481:40 207.07919:40 221.82712:35 296.17932:35 301.17844:81 323.26578:35 332.26123:35 342.01025:359 360.0202:40 395.39032:40 413.31305:35 427.33621:40 445.33621:40 463.20923:40 463.30887:320 463.34509:1173 463.36322:159 463.40549:201,77884,14679,51858,31884,9809,252703,73136.06462,91486.6569
4267,5.531,463.33719,DG 23:1,[M+Na]+,found in higher mz's MsMs_4274,0.833,TRUE,3.66,463.33939,C26H48O5,DG,CWOXQNVXDIVEKF-KHPPLWFENA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,31.5,75,100,11.67,SXY_FDUhhuang_164_pos,463.34216:8449 464.34551:13429 465.34887:4119,124.07835:35 149.04213:81 175.10611:40 181.10051:81 292.29529:35 340.99631:40 342.02032:121 360.02786:81 382.28674:35 463.3024:202,72498,20364,131543,178377,79851,503955,164431.2308,174878.9962
