,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,B,B,B,B,B,C,C,C,C,D,D,D,D,,
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,SXY_FDUhhuang_191_pos,SXY_FDUhhuang_197_pos,SXY_FDUhhuang_221_pos,SXY_FDUhhuang_270_pos,SXY_FDUhhuang_283_pos,SXY_FDUhhuang_428_pos,SXY_FDUhhuang_429_pos,SXY_FDUhhuang_430_pos,SXY_FDUhhuang_433_pos,SXY_FDUhhuang_439_pos,SXY_FDUhhuang_444_pos,SXY_FDUhhuang_445_pos,SXY_FDUhhuang_450_pos,SXY_FDUhhuang_454_pos,SXY_FDUhhuang_461_pos,SXY_FDUhhuang_464_pos,SXY_FDUhhuang_472_pos,1,1
4359,2.771,367.2366,DG 16:0,[M+Na]+,,0.647,TRUE,2.41,367.24548,C19H36O5,DG,ZQBULZYTDGUSSK-UHFFFAOYNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,87.7,100,6.9,75,100,3.93,SXY_FDUhhuang_444_pos,367.2366:16412 368.23995:1923 369.24331:1923,117.0545:40 131.0806:40 146.09338:40 146.09677:40 152.11415:40 152.12454:40 163.07692:35 175.07571:40 176.13719:202 181.16211:35 190.08905:943 198.0582:35 210.89285:35 240.87421:35 247.18979:35 263.04498:35 269.13641:35 292.19135:35 294.18021:202 302.92786:81 321.20224:40 322.17596:81 352.19125:35 367.2309:121,81684,84833,43852,78338,16942,54976,80780,122150,75298,45609,82277,71125,64803,59533,62385,54861,63303,67220.65097,22498.30419
4360,9.5,367.23666,DG 16:0,[M+Na]+,ion correlated with 5866; ion correlated with 1651; ion correlated with 11101; ion correlated with 7704; ion correlated with 7999; ion correlated with 7744; ion correlated with 10067; ion correlated with 11188; ion correlated with 2693; ion correlated with 3964; ion correlated with 6344; ion correlated with 3572; ion correlated with 5078; ion correlated with 6804; ion correlated with 2027; ion correlated with 2383; ion correlated with 3108; ion correlated with 7900; ion correlated with 3413; ion correlated with 4578; ion correlated with 7042; ion correlated with 3706; adduct linked to 3680_[M+H]+,0.059,TRUE,2.41,367.24548,C19H36O5,DG,ZQBULZYTDGUSSK-UHFFFAOYNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,87.9,99.7,8.2,75,100,18.27,SXY_FDUhhuang_444_pos,367.23666:74724 368.24001:53092 369.24337:91770,105.0675:162 107.08445:347 109.09418:80 109.09859:2224 111.12853:162 113.02054:35 119.08001:81 121.10154:161 123.11518:1782 125.13602:81 129.06282:81 133.06648:81 135.11162:121 137.09679:81 147.08154:162 149.12677:161 151.0499:40 151.14301:162 159.12735:81 163.11238:40 163.14821:162 165.08731:121 173.09669:81 177.16039:81 179.08881:81 189.12471:81 193.19189:81 200.12025:40 203.17004:81 205.19461:81 207.20297:40 215.09343:81 219.21751:121 235.16013:40 239.10034:81 253.09305:40 255.13249:121 257.12839:81 266.10883:81 268.11957:121 281.12784:121 282.13074:81 283.15903:121 285.16196:81 295.14276:81 296.15344:121 297.15616:81 309.15564:121 311.20627:161 317.31638:162 323.18069:81 349.24808:162 352.18256:81 367.21393:199 367.2435:989 367.30264:8446,6,208,1112,27406,2105,711395,15618,4253,9115,5122,943207,912,439,11294,106922,1001,1800,108347.8812,274868.9776
4365,2.261,367.25031,DG 16:0,[M+Na]+,,0.118,TRUE,2.41,367.24548,C19H36O5,DG,ZQBULZYTDGUSSK-UHFFFAOYNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,98.4,100,28.1,75,100,15.98,SXY_FDUhhuang_439_pos,367.25031:36492 368.25366:33961 369.25702:34448,107.04778:40 119.05827:40 125.0667:35 130.13736:81 133.10023:40 135.11304:40 151.11702:40 167.10858:35 171.08162:40 177.11937:40 188.9744:35 207.12651:40 209.12604:81 258.13327:35 275.17209:40 293.19244:40 307.19644:35 332.23251:40 332.24274:40 367.21283:81 367.27197:81,46762,357188,30792,567771,38735,192958,212188,227436,42982,504267,123228,20464,65162,189776,392910,57441,36005,182709.708,175362.1168
5031,14.392,381.25284,DG 17:0,[M+Na]+,ion correlated with 19404; similar chromatogram in higher mz_6567; similar chromatogram in higher mz_7284; similar chromatogram in higher mz_11141; similar chromatogram in higher mz_7784; similar chromatogram in higher mz_11197; similar chromatogram in higher mz_18098,0.059,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,90.7,99.3,23.1,75,100,5.09,SXY_FDUhhuang_428_pos,381.25284:40152 382.25619:19976 383.25955:38541,105.06852:81 117.0661:40 119.07822:81 129.07068:35 133.0923:40 145.09279:40 145.24997:81 161.08022:40 169.09885:81 176.15039:35 182.1001:40 183.1105:121 195.11029:81 205.09518:40 208.12387:40 213.12608:40 225.15942:40 227.18054:81 234.12163:40 241.16496:40 251.17033:40 273.23618:35 293.12921:35 309.14127:40 323.1561:40 339.1976:40 348.27451:35 363.28751:40 366.2803:35 381.23132:671 381.31351:525 381.33817:201 381.39844:121,279,1085,281,10980,899,589369,31369,997,30258,253,130597,987,3767,30986,97525,2432,3972,55061.05221,142610.3355
5036,6.025,381.26019,DG 17:0,[M+Na]+,,0.118,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,19,75,100,10.87,SXY_FDUhhuang_428_pos,381.26074:34770 382.26409:7608 383.26745:56734,103.13042:81 105.03389:40 109.09808:40 118.98473:40 121.09346:35 123.13197:81 149.1302:35 157.09189:81 165.12178:81 181.0923:35 196.1225:35 210.0629:35 220.11884:40 227.33257:35 235.13991:40 255.07362:35 265.19833:35 289.21271:40 289.21509:81 317.3241:35 349.18842:40 381.13504:40 381.21994:202 381.2446:121 381.32404:517,860,1044,3218,28708,1634,252079,54328,27318,28470,2583,1007286,722,3190,58746,865285,5783,2406,137862.427,307473.404
5037,2.474,381.26068,DG 17:0,[M+Na]+,,0.176,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,9.5,75,100,55.67,SXY_FDUhhuang_444_pos,381.26068:1088922 382.26403:116377 383.26739:86507,105.06911:689 105.08494:81 107.08463:202 109.0636:2215 115.04905:40 117.06809:121 119.08173:162 121.06315:582 121.1002:121 123.07959:81 125.07032:202 130.07541:40 131.08372:162 133.06184:81 136.5965:81 141.08913:81 145.09799:162 147.11241:121 149.10989:121 151.1467:81 157.10258:40 161.13356:81 163.10907:452 165.12724:5368 165.14166:387 171.11308:81 175.11644:81 179.14168:81 182.09973:40 183.11392:81 187.14891:81 191.14449:946 205.15074:81 209.1545:81 213.16212:40 233.14485:81 243.2093:121 251.15779:81 251.23117:162 259.16635:81 261.21872:663 261.255:80 263.06757:35 271.19531:81 289.21814:5318 290.16843:81 307.22293:346 336.25317:81 363.25476:121 376.27798:162 381.26328:1325,5412,0,0,305565,110,1088053,143714,111751,208691,0,12604509,3430,0,17863,1051228,0,0,914136.9268,3032398.224
5038,5.409,381.26138,DG 17:0,[M+Na]+,similar chromatogram in higher mz_41574,0.235,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,16.7,75,100,13.25,SXY_FDUhhuang_444_pos,381.26138:89182 382.26473:12043 383.26809:31903,103.13263:81 109.06072:121 109.11494:81 119.09557:81 127.0502:35 131.09984:81 137.09708:81 142.08072:40 159.08168:35 161.13007:81 163.14856:40 165.12372:606 169.09874:81 180.74127:35 191.12906:40 191.14651:81 193.16695:35 204.04723:35 211.14754:35 235.05952:40 237.1288:40 247.14563:40 261.15536:40 261.25287:81 267.10809:40 289.19202:40 289.2135:294 300.1994:40 305.21991:40 307.20831:40 313.17496:35 331.23288:35 336.23276:81 351.01538:35 364.33322:81 381.20868:121 381.22238:359 381.2388:201,6495,96627,438,52433,41,776329,109012,10614,65257,248,782876,0,1361,14173,923439,11140,152,167684.4073,318102.1849
5039,6.715,381.26315,DG 17:0,[M+Na]+,ion correlated with 22148; ion correlated with 23347; ion correlated with 20919; ion correlated with 24447; ion correlated with 26233; ion correlated with 28259; ion correlated with 26169; ion correlated with 3881; ion correlated with 25805; ion correlated with 29259; ion correlated with 30212; ion correlated with 16577; ion correlated with 25845; ion correlated with 26268; ion correlated with 3634; ion correlated with 1566; ion correlated with 15816; found in higher mz's MsMs_26268; found in higher mz's MsMs_26233; found in higher mz's MsMs_24447; found in higher mz's MsMs_24441; found in higher mz's MsMs_24418; found in higher mz's MsMs_22148,0.471,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,32,75,100,11.02,SXY_FDUhhuang_444_pos,381.26315:270709 382.2665:68514 383.26986:42786,102.12205:121 107.0845:81 115.06849:40 142.07883:40 145.09782:81 165.11986:81 179.08328:81 184.0032:35 190.09065:81 192.08801:40 195.03899:81 207.11424:81 208.11075:40 233.12103:40 234.06442:81 236.11206:81 276.07742:35 289.21542:121 305.23904:81 307.21765:121 331.24258:81 337.25165:81 363.24634:121 381.22726:1091 381.28204:200 381.33682:850,126363,35582,124954,59462,57758,100397,63109,31393,67410,137482,2822409,129201,194233,150469,124244,144460,103580,263088.6866,661042.4228
5040,2.261,381.26355,DG 17:0,[M+Na]+,adduct linked to 5854_[M+NH4]+; found in higher mz's MsMs_10426; found in higher mz's MsMs_7656; adduct linked to 6045_[M+Na]+; found in higher mz's MsMs_5887; found in higher mz's MsMs_11224; found in higher mz's MsMs_11229,0.588,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,65.3,75,100,86.38,SXY_FDUhhuang_270_pos,381.25955:202475 382.2629:80424 383.26626:121787,103.12998:81 107.05151:81 118.07081:40 118.07996:81 125.055:81 131.09055:81 149.10698:81 213.0934:81 215.15849:40 252.16263:35 275.15445:40 293.16458:81 345.22479:121 349.29504:40 363.2139:1456 381.1503:80 381.18863:179 381.22424:11777,26845,26915,2566,2507728,1885,5512097,4034883,1938546,510224,14034,9275426,4168,5887,1114359,10444587,37796,16661,2086741.544,3347688.351
