"lipidName","SXY_FDUhhuang_191_pos","SXY_FDUhhuang_197_pos","SXY_FDUhhuang_221_pos","SXY_FDUhhuang_270_pos","SXY_FDUhhuang_283_pos","SXY_FDUhhuang_428_pos","SXY_FDUhhuang_429_pos","SXY_FDUhhuang_430_pos","SXY_FDUhhuang_433_pos","SXY_FDUhhuang_439_pos","SXY_FDUhhuang_444_pos","SXY_FDUhhuang_445_pos","SXY_FDUhhuang_450_pos","SXY_FDUhhuang_454_pos","SXY_FDUhhuang_461_pos","SXY_FDUhhuang_464_pos","SXY_FDUhhuang_472_pos"
"DG 18:0",21578,2392,3551,1347026,24337,92848,481655,169292,74713,3049,66391,6903,2178,227775,61578,22417,10483
"DG 24:2|DG 8:0_16:2",7842,7521,3986,352414,10802,610615,287999,120137,26741,12804,551828,6377,4954,740195,444194,4976,6283
"DG 26:2",4450572,4255544,1702383,6013222,621511,2202846,10122259,11410475,9950663,2264968,13637027,2111786,2866352,1939514,3063948,1726833,3060220
"DG 26:4",956,4083,4553,27255,960,407611,40151,23425,34763,5586,413017,1841,3458,231248,159151,3555,853
"DG 28:1|DG 10:0_18:1",998,5490,2248,232714,3186,74968,116683,474548,120288,8623,35807,764,334,203850,72960,381,722
"DG 30:0|DG 14:0_16:0",517653,501528,185869,501294,261353,276525,1003418,771672,774591,142099,675573,86653,108587,250556,988813,60029,228235
"DG 32:1|DG 14:0_18:1",558389,1565751,56837,1158943,175667,6131950,1637430,3226180,3482054,361242,1570572,24131,8945,1940867,4371222,512825,50254
"DG 32:1|DG 16:0_16:1",126019,322825,21004,234731,102882,6870200,345969,3359209,3304108,73639,9907906,22883,81021,1856026,925880,465190,238107
"DG 32:2|DG 14:0_18:2",160132,295991,32761,536301,28276,5115664,523826,636403,850080,7750,8939408,1150,11701,1289728,4464124,46497,16059
"DG 32:3|DG 14:0_18:3",849,4423,1154,17102,1459,1013478,5167,7834,16150,26,1105623,689,1046,48710,352952,2979,859
"DG 32:8",76826,148003,97441,411585,91135,260963,543458,118177,115000,90524,11178924,102331,259086,216418,145546,92710,80392
"DG 34:2|DG 16:1_18:1",430971,731515,73814,1779653,200504,1181192,2043989,4856264,3379393,330213,1366797,12457,75054,357561,1131860,1555466,361006
"DG 34:4|DG 16:2_18:2",NA,5131,NA,11168,NA,936903,19604,43440,30342,NA,1375319,1370,NA,60936,363758,NA,NA
"DG 34:5",38257,121397,50311,118680,196111,69120,141841,414048,102335,55377,131880,264715,32486,45819,112261,33639,159106
