,DGAT1i+2i,DGAT1i+2i,DGAT1i+2i,DGAT1i,DGAT1i,DGAT1i,DGAT2i,DGAT2i,DGAT2i,OA,OA,OA
Metabolite.name,1i_2i_01,1i_2i_02,1i_2i_03,1i_01,1i_02,1i_03,2i_01,2i_02,2i_03,OA_01,OA_02,OA_03
MG 16:2,18922328,23824800,25143566,14704553,16983678,15310928,22557632,23738578,22702480,25450460,23086052,25204472
MG 18:5,10225831,21077102,47899284,5464282,2083644,3800458,24449260,27916196,34183612,69738688,39804808,57627696
SM 8:1;2O/2:0,5402737,6387818,4256508,5097192,5914674,6015850,7477694,7450948,5322180,8935969,6594428,8970468
DG 16:0,17158328,19625430,19537616,16858766,18313582,16594654,19088108,18153618,19486090,18205744,18279004,17901344
MG 18:2,16391183,100432504,79178016,31081004,12408617,20485040,59126244,209981776,52004428,51096252,216165312,123562848
MG 18:1,13785979,13790648,11725970,12302716,11526300,10908943,15184559,11908419,13568688,15063899,14292707,12532818
LPC 8:0-SN1,2468397,1307920,1324598,2571279,2915686,3127154,0,0,4788,403,0,0
SM 10:0;2O,93100944,97551936,92174368,89514488,101486544,112383560,9694363,9850289,9768654,11294891,10214591,9498765
DG 18:0,19659804,18147422,17878448,15099019,17544532,20556158,17290300,18746132,19395352,19608948,22300290,18396952
MG 20:4,2924567,1788117,1830756,2282298,1933785,2435652,750779,1755305,2238194,1102103,2091142,1244429
MG 20:2,30825786,33730224,32144596,35979812,36809260,45586536,18956914,22637176,21971390,18875764,24211778,16114650
SM 12:1;2O,2875220,2010061,1633010,3607431,6401572,4187042,1144904,3182567,176229,1259001,1464679,3572394
SM 8:1;2O/6:0,1455399,18541656,12145776,13980318,3041613,3872988,36608468,79482096,21907550,14757740,56867136,53727972
DG 20:0,3160566,3981964,4367508,3214399,3498839,4120500,3784636,4406333,3945949,4719036,4931338,3469068
MG 22:3,682535808,824244672,755063104,680259520,677696832,811662528,270117952,335134400,337070048,290143008,357268032,225636032
MG 22:2,28227446,34181316,31203316,35833308,37843644,40894056,21348414,23369636,19980202,21309602,23236630,16114271
SM 12:2;2O/4:0,39074256,43663776,44910660,38362608,42893976,47291428,42563520,52528120,43573192,45170708,48537780,46638532
SM 14:0;2O/2:0,9437260,14113630,22978102,4824672,6506728,5862860,17289032,15434408,17531934,23343146,21952888,6789530
DG 24:3,812550144,1052185152,894688192,924239808,1106583040,905896192,1361942528,1464268288,1237190912,1695201920,1591692800,1888516992
DG 24:1,5523616,6442222,8807866,5545408,4102682,2292599,6112167,8476443,8150710,8314124,10299637,12456914
PS 12:0,3096591,2149610,1171721,2559615,2253593,3281951,2305714,2204886,1433334,1226447,2639883,1895083
MG 26:4,13577242,56560244,62931152,10076234,8212542,4432734,41410508,37590536,28834890,98569760,48458404,52145176
PG 2:0_12:0,35907976,28637864,35036640,26015028,28939236,31952812,21043956,29100192,27467160,30675788,21552182,22326816
LPC 16:4-SN1,1115038,5305904,3659211,191110,246379,162210,5510899,5058000,4918462,9511792,7457982,7802452
LPC 16:1/0:0,15742748,61927712,23159222,16034884,19779330,21400582,19861682,22129410,21281470,20517180,22790148,22664304
LPC 16:0/0:0,107923464,378066688,144141040,101962440,114656008,136536448,181859712,185154544,186124560,181033952,190575744,198123792
DG 26:4,67164056,78777792,77900648,59509332,64677544,64564872,163317872,157564112,159255920,178054240,175753232,180207184
DG 26:3,8633930,9486455,10129903,7984798,9107790,8374402,20706082,19576124,19147474,21731684,21567834,22319776
DG 26:2,34029680,30525020,31507632,32522916,36270756,37170988,83689536,89724792,95042112,86212528,83198256,87573184
DG 26:1,6579510,3199207,43946772,3535382,3171078,3969874,6515588,4549249,4122316,6734506,6674029,2247578
SM 20:0;2O,5131136,5231014,6603938,4603167,6186461,6873434,5727424,4866308,4762708,5486043,5566592,5555544
PS 2:0_14:1,2600955,6893822,7702916,1734779,1841068,1075597,4377822,4073000,3854921,9122924,4929244,4688896
TG 26:0|TG 8:0_8:0_10:0,4312330,23922674,18568396,5404937,3935692,2171552,26978202,15698075,12289206,40937532,13937389,16124206
LPC 18:2/0:0,4567418,31041532,5316874,3317381,1941602,2272411,6262074,6315823,4233130,6291418,6487096,6462854
LPC 18:2-SN1,3367539,7228274,3640783,2543873,4437229,3118972,5511380,5323950,5622077,5129396,5120973,4880345
LPC 18:1/0:0,325671680,957177536,485628384,327106112,405108192,425822688,526615168,547528768,642111936,520191584,492666720,585505088
LPC 18:0/0:0,138045760,654547328,192259616,161309840,166236496,220071440,251799248,273345824,314241248,220587776,255097328,230663760
DG 8:0_20:2,11134211,6393047,7439873,7995282,10811059,9957852,21781872,22706626,20076314,26744736,24569276,25750814
SM 20:2;2O,3142666,9924544,13603350,1139509,898833,834070,8618718,10939655,11768263,13537246,15492266,16531990
DG 28:3,3972609,5532362,2013210,2118340,1753948,0,8827397,11234265,4467054,3633081,1609172,3104924
DG 28:2,32646150,18932202,18988208,26777816,34343924,33590196,28489262,30469754,18170742,16551189,11739333,26601140
TG 28:0|TG 8:0_10:0_10:0,3725015,17597136,14088283,4275557,3312247,1790767,21895522,12738958,10250090,34963176,12633726,11963097
DG 8:0_22:6,419298400,372366016,399428512,378494080,402934272,196953456,452867488,249742704,489402432,485200800,405318720,430747456
TG 8:0_8:0_12:0,18606876,9172402,73257136,11484689,10427973,7742998,16592014,9141769,7782570,13569683,11338548,9855273
LPC 20:1/0:0,37102564,87907864,58948200,23528936,25723558,32609668,31162440,35978036,46951240,26813768,29912492,34319116
DG 8:0_22:4,1244965,997150,2617750,1635289,330616,1906196,28912636,11497308,8842914,13900022,10899449,20207640
SM 22:3;2O,5934739,5706817,5981930,6301294,4927116,6258876,7276368,7045026,5707890,4954304,6642258,5361002
DG 30:4,3931885,4094624,4127111,3832254,4589212,4675913,4437146,3852830,3135672,4098910,4697662,4833630
SM 22:1;2O,2247488,6776096,4695692,1729934,1205740,804544,5705924,6387565,4405848,7130267,7032684,4379469
DG 30:3,8025858,4038777,32280602,4300698,3244834,2583510,7232732,3586531,2340950,5070071,7077946,4777772
SM 8:0;2O/16:3,73342936,115598200,139049920,59107972,50761924,31479190,136923456,114856776,119611800,139494752,141369280,117707184
DG 30:1,8081938,14124557,12377783,7398983,4805630,8177614,41376720,40928284,34779788,52034112,45582096,46970460
DG 30:0,1182174,13697880,1542374,131094,8110190,9160022,34076752,32587440,27066350,33471198,29150354,34017980
SM 18:0;2O/6:0,53996412,203710080,104400464,22890434,93705992,49489796,131258688,13361166,92548928,43824660,55837008,50958644
LPC 22:6/0:0,6847136,96799936,7545372,1589766,1755436,2390722,3314480,3213672,4163499,2902832,3152647,3054280
LPC 22:5/0:0,486329,78639400,713460,242993,0,507049,240664,263558,443212,0,1203038,1326844
LPC 22:5-SN1,2975677,12253384,5237010,1994672,2856821,3135132,4893358,6152260,5804121,5936387,6804366,4500860
TG 8:0_8:0_14:1,11131396,13701801,10111578,10376950,9935738,11689833,1658832,812245,687684,1257824,389724,723717
