LipidIon,LipidGroup,Class,FattyAcid,DGAT_1i_003,DGAT_1.2i_002,DGAT_1i_002,OA_001,DGAT_1.2i_003,OA_002,OA_003,DGAT_2i_002,DGAT_2i_001,DGAT_1i_001,DGAT_1.2i_001,DGAT_2i_003
Cer(d18:1_14:0)-H,Cer(d32:1)-H,Cer,(d18:1_14:0),2448556.866,2507096.755,1688735.161,1477530.588,2374609.21,1515279.855,1591902.007,1724178.514,1494780.904,1486759.011,2224299.586,1285308.994
Cer(d17:1_16:0)-H,Cer(d33:1)-H,Cer,(d17:1_16:0),963954.465,905470.477,880040.212,886165.289,810873.331,812446.465,928400.94,889230.058,915108.547,754982.726,918821.49,869773.214
Cer(d18:0_16:0)-H,Cer(d34:0)-H,Cer,(d18:0_16:0),1504894.806,1027404.131,902240.518,1223678.102,1242381.992,1142943.734,1204256.103,968093.277,451692.4605,952958.69,1112236.974,1076206.501
Cer(d18:1_16:0)-H,Cer(d34:1)-H,Cer,(d18:1_16:0),31100000,26200000,25200000,2.30E+07,23200000,21700000,22800000,25100000,25400000,23300000,22800000,20300000
Cer(d18:1_16:0)+HCOO,Cer(d34:1)+HCOO,Cer,(d18:1_16:0),1.27E+08,1.08E+08,1.03E+08,99700000,97700000,8.90E+07,97500000,1.01E+08,1.03E+08,91100000,90300000,83200000
Cer(d18:1_16:0+O)-H,Cer(d34:1+O)-H,Cer,(d18:1_16:0+O),884000.159,916230.716,902563.845,917319.205,957565.221,810527.895,719522.538,857608.53,844217.291,754375.278,755758.381,744418.945
Cer(d18:2_16:0)-H,Cer(d34:2)-H,Cer,(d18:2_16:0),2203813.548,2062866.689,1886216.3,1987949.206,1636929.525,1915760.654,2129704.368,2200546.7,2367254.379,1446267.521,1988072.078,1837401.328
Cer(d18:2_16:0)+HCOO,Cer(d34:2)+HCOO,Cer,(d18:2_16:0),8796376.625,8232127.045,7028699.655,8468315.193,6878390.356,8648306.605,8039834.41,8884356.706,8606457.522,7095271.027,7452576.04,7454087.93
Cer(d18:1_17:0)-H,Cer(d35:1)-H,Cer,(d18:1_17:0),1200316.651,1256363.088,913686.42,961526.061,1026805.752,589278.389,975555.86,1064806.353,1127006.584,861150.818,916292.881,938086.948
Cer(d18:1_18:0)-H,Cer(d36:1)-H,Cer,(d18:1_18:0),6401011.575,5278415.026,4974986.913,5879554.055,4570207.971,5573572.488,5428373.319,5577885.434,5226254.582,4455346.678,4232871.165,4649451.182
Cer(d18:1_18:0)+HCOO,Cer(d36:1)+HCOO,Cer,(d18:1_18:0),29300000,23900000,24700000,27200000,22300000,24600000,25300000,26400000,24400000,21400000,19200000,22200000
Cer(d18:1_18:1)-H,Cer(d36:2)-H,Cer,(d18:1_18:1),262647.5811,455130.9567,1120906.812,389164.7463,164453.1231,649494.08,321109.5372,156445.4037,39551.3028,143280.7944,605767.4877,239746.1073
Cer(d18:2_18:0)-H,Cer(d36:2)-H,Cer,(d18:2_18:0),105827.6892,59307.6558,89405.5869,95470.2579,87439.7046,60128.9805,40906.3863,279211.4046,228371.2188,226355.601,79895.343,52284.6411
Cer(d18:1_20:0)-H,Cer(d38:1)-H,Cer,(d18:1_20:0),1374210.111,1190343.723,1236384.947,813770.7597,1300203.848,1170320.767,1284198.995,1393055.76,1411786.088,904061.147,1067698.063,1241866.725
Cer(d16:1_22:0)-H,Cer(d38:1)-H,Cer,(d16:1_22:0),276538.337,68500.0278,78886.8816,131379.9618,99758.429,223314.4788,196316.5542,375352.123,124351.9881,91633.9644,54414.3864,142248.8685
Cer(d18:1_20:1)-H,Cer(d38:2)-H,Cer,(d18:1_20:1),341357.127,784415.426,373117.4391,498979.8201,401117.8089,385566.1014,107149.1178,365134.0971,92928.0195,600861.819,103201.1199,181147.6761
Cer(d18:1_22:0)+HCOO,Cer(d40:1)+HCOO,Cer,(d18:1_22:0),31700000,33900000,22100000,3.70E+07,31600000,35800000,36300000,39800000,37400000,22600000,23400000,35200000
Cer(d18:1_22:0)-H,Cer(d40:1)-H,Cer,(d18:1_22:0),5658520.2,6131411.483,3764753.827,7118078.808,5788098.983,6709528.868,6434818.648,6734067.014,5181387.646,3832389.694,4107752.743,6556349.377
Cer(d16:1_24:0)-H,Cer(d40:1)-H,Cer,(d16:1_24:0),61499.1099,12704.7324,59850.6702,49223.5254,35311.8237,106625.0148,68051.7789,42869.0037,116184.0537,24652.0212,11630.6826,200621.6709
Cer(d16:1_24:0)+HCOO,Cer(d40:1)+HCOO,Cer,(d16:1_24:0),290633.689,2180994.881,498797.664,2763790.393,2378539.241,1939718.704,2208718.173,1535478.705,1344395.19,354727.594,913157.377,1482262.775
