"subclass","OA_01","OA_02","OA_03","X1i_2i_01","X1i_2i_02","X1i_2i_03"
"CL(14:0)",884550.5,1623805,972422.5,1873217,1793379,1575880.5
"CL(18:3)",442275.25,811902.5,486211.25,936608.5,896689.5,787940.25
"CL(18:5)",442275.25,811902.5,486211.25,936608.5,896689.5,787940.25
"DG(10:0)",55241654,48450707,46075298.5,36806525,28321057.5,31209328.5
"DG(12:0)",95820679,94102331,96302936,42206254.5,65561117.5,40404432
"DG(14:0)",136842848.5,105406549,101212791,41741353,72215371,78943556.5
"DG(16:0)",2915684318.5,2295705740,2850287010.5,1019026035,2025675968,1930993337.5
"DG(16:1)",345340161,294125695,339317868,108181430.5,223447478.5,204556478
"DG(16:2)",49220968,35060587,27459236,23560989,30710310,29030775.5
"DG(16:3)",4256609,5240391,12363248,3523347,3499737.5,3038003
"DG(16:4)",11254438.5,14427206,44931938,4903513.5,7674503.5,44398751
"DG(18:0)",4062221051.5,3135428104.5,3771831031.5,1465995799,3127818726,3100751047.5
"DG(18:1)",14108301161.5,13211106988,15632159346.5,4667959378,6874488383.5,6107231894
"DG(18:2)",6942094501,4957846598,5928459806,2253167401,5170786210,4889542712.5
"DG(18:3)",633794536,461452064,560014496,309733872,548459576,511070920
"DG(18:5)",125353657,116029961,104287568,52242348,108770572,115739837
"DG(20:0)",235916784,174794128,191883760,65722112,188119136,199206912
"DG(20:1)",557154592,510153424,575864360,218296992,312966992,274465448
"DG(20:2)",315264520,284749123.5,263740665,99202882,221514113.5,248276939.5
"DG(20:3)",107965610,106646178.5,142374941,45108694,53072046.5,45193762
"DG(20:4)",473506256,437394256,505544432,212122976,240621088,244107472
"DG(22:0)",73582392,68680896,71664424,24054590,45105220,62880240
"DG(22:1)",85129476,92749796,79146975,53983212,61614719,38879633
"DG(22:3)",16231103,11905567,13441458,5932790.5,6250781,6445759
"DG(22:4)",207916442,187178303.5,211944929,99650762,117012426,100171101
"DG(22:5)",359325082,331169828.5,388006513,110389422.5,125271091.5,113573707
"DG(22:6)",4038235447,3566974477,3019709239,1292074434,1745988577.5,1155695500.5
"DG(24:0)",60056504,61688588,53103684,41714527,66285994,66530960
"DG(24:1)",10111483,17091280,2933007,17150086,13985850,20164560
"DG(24:2)",100487584,74300400,80969996,27739018,72799002,71517000
"DG(24:3)",1430125,2428622,1714800.5,2376194.5,1725270.5,2363341
"DG(26:0)",NA,843593.5,NA,1222493,443524.5,NA
"DG(26:1)",31107454,26696596,25420422,11135721,22718936,29285596
"DG(26:2)",40173077,35620524,35467520,19028358,37435104,40411108
"DG(26:3)",53139054,40990220,39352125,15185113.5,39291828.5,16422881
"DG(26:4)",35996560,69156176,17476298,39725084,10844970,20084588
"DG(26:5)",186811392,176932480,183326624,90097736,154124624,165737568
"DG(26:7)",118503464,108107112,88501336,71252056,52620560,68931720
"DG(28:2)",33559091,22281053.5,27179637.5,15311361,21916380.5,29541431
"DG(28:5)",623634448,522165688,681203288,464284382,743968580,574008596
"DG(28:7)",50852220,46714692,51330996,30389326,25327810,42138496
"DG(30:1)",11855951,12644616.5,16146647.5,8122401.5,2625507,1390858
"DG(30:2)",43261776,40862936,52533216,19910738,19556504,16520040
"DG(30:3)",20147520,14358154,17842202,3323617,15221165,11996003
"DG(30:4)",7000554,7318831,29104330,14840975,21298712,15992828
"DG(30:5)",5879281,6680961.5,7061267,5518988.5,5556391.5,5300150.5
"DG(30:6)",9112569,7066227.5,6658068,3415493,6596542.5,6799495
"DG(30:7)",15896940,14049186,13749964,7238692.5,13488180,13037909
"DG(30:8)",9766273,7128902.5,7851396.5,2065614.5,4782635,4038958
"DG(32:0)",62886952,66398620,59185000,23587440,47704316,66403252
"DG(32:1)",76157064,97327016,82498088,23561054,50248476,71122848
"DG(32:2)",3269609,2826185,1672413,1881235.5,630750.5,1212316.5
"DG(32:3)",17008954,14750534,13529250,5455694.5,13226231,14583462
"DG(32:7)",25255598,23330262,27135010,9076856,22075580,23334536
"DG(34:0)",3727569.5,3722717,4818126,3655617,2423028,2845216
"DG(34:1)",8910280.5,9618908.5,14271833,21120905,14320255,7783040
"DG(34:2)",10335865,12635302,16393987,7622126,4441723.5,2306944
"DG(34:4)",7568387,10111999,6437774.5,2772930,5024249,6962298
"DG(34:5)",6177173.5,4555689.5,4278965.5,4429508,5361328.5,4281429.5
"DG(34:6)",14050417,15415345,14394975,11961708,18902798,20112632
"DG(34:7)",28776842,27546170,27128300,10125317,20246572,24200160
"DG(34:9)",13069276,9826814,15374346,8204258,12528186,15530603
"DG(36:1)",6445359.5,8900032,13220747.5,10355607,7316542,2363512.5
"DG(36:2)",201503082,243894164,322138108,61151845,38423284,23671157
"DG(36:3)",4078632,4536000,5190094,439361,354693.5,111997.5
"DG(36:6)",4824661,11288681,9761405,5110777.5,1261357.5,1097704
"DG(36:7)",11352245,10147180,12144719,5575103,9463529,11240913
"DG(36:8)",86836232,84090252,82462034,30125264,51537125,56267647
"DG(36:9)",54324484,41134060,51227756,18048002,30611636,33950864
"DG(38:10)",6997829.5,9186815,32568690,1380166.5,4174766,41360748
"DG(38:2)",1421827.5,1873803.5,4155021.5,354427.5,NA,NA
"DG(38:5)",68428370,83721350,96468898,50619915,34498601,16430398
"DG(38:7)",19283368,20065963.5,18033611,14915261.5,21823656.5,18946776.5
"DG(38:8)",32057256,33990084,33573820,15915924,20078288,27810932
"DG(38:9)",15937746,18831289.5,11317538,10846852,28575238,15963270.5
"DG(40:0)",NA,378656,239030,4385685,2299104,1400140.5
"DG(40:10)",16047043,21354648,10736595,17835324,34910788,15633949
"DG(40:11)",16291777,12092695,10611207,17800510,12296061,12870915
"DG(40:3)",4337234,3525749,5649475.5,4986628.5,5547452,5248785.5
"DG(40:5)",11965410,13383322,16838443.5,11546361,6809522,3064687
"DG(40:6)",47116104,52649780,58111328,14596201,9879421,5613887.5
"DG(40:7)",43615896,41159832,41238620,28713220,48268500,53521112
"DG(42:0)",325200,NA,492052.5,2694173,1495590,565748.5
"DG(42:11)",16047043,21354648,10736595,17835324,34910788,15633949
"DG(42:12)",3488296768,3056956856,2426355717,981936756.5,1467136657.5,874457771.5
"DG(42:2)",18208452,25776878,28803404,14498314,9586264,7057409.5
"DG(42:3)",4320600,6332448,6110460,3421310,3200986.5,1194012
"DG(42:7)",14463024,29234828,11477437,24044130,34530396,37357204
"DG(42:8)",26700924,24483380,27503784,19798502,31116422,30556568
"DG(44:0)",NA,843593.5,NA,1222493,443524.5,NA
"DG(44:10)",18155270,12172962,14612035.5,9606857.5,13587800,16491189.5
"DG(44:11)",52144640,69758176,61349876,8252378.5,34076964,83327744
"DG(44:12)",129484530.5,149460133,68441815,75759172.5,72495760,83759342
"DG(44:3)",32038692,41440640,48558472,12248315,6978732,4367709.5
"DG(44:4)",6498581.5,6277181,7085137,3567589,3007866,703472.5
"DG(44:6)",51650899,50681427,42434818,36724989.5,51439579,39227393
"DG(44:7)",65462661,86114899,84529135,40843369.5,31497897,21138766.5
"DG(44:8)",12453909,13005086.5,7718149,12233273.5,14639070,13257909
"DG(8:0)",1948154530.5,1775883406,1942798481,1204477944.5,1719870630.5,1689014145.5
"FA(14:0)",4836360,4551558,5061350,1038655,2545952,2627508
"FA(14:1)",1774016,648489,NA,1140234,2512624,1995778
"FA(16:0)",243259024,236588624,269836160,121642488,183232416,166443264
"FA(16:1)",3603561,3575607,3667602,1803085,2258435,2071002
"FA(16:4)",1982268,7575810,9735491,2291688,2717818,2173212
"FA(18:0)",270245664,230245008,272842720,122649112,176951152,173745888
"FA(18:1)",187874752,149510192,174898304,67613856,87657312,89998960
"FA(18:2)",189862592,180907792,191805600,49913176,106010288,141345568
"FA(18:3)",6692176,8628194,8630219,1218899,3222140,5118996
"FA(18:4)",3698775,5669318,7528882,755580,727864,1233527
"FA(20:0)",3274726,4671060,5293832,1383226,1803298,1859285
"FA(20:1)",9786502,5429453,5880222,1426843,2902660,3795805
"FA(20:3)",2216662,1553152,1305780,882307,1190858,422200
"FA(20:4)",78911512,68853496,61224428,36599740,40269316,35600776
"FA(20:5)",6295875,5267508,5255752,4763693,3967313,4639898
"FA(22:0)",1066471,1075133,1140749,525590,770772,616614
"FA(22:1)",1061218,472446,386834,501857,1143135,484803
"FA(22:4)",2486014,1644004,2027936,1620344,2236752,1221118
"FA(22:5)",13532191,12184867,12913208,7408595,8861064,6202764
"FA(22:6)",91503792,83625856,88352216,48958108,61632052,46301656
"FA(24:0)",3258782,2183696,2731412,713164,1420074,1004347
"FA(24:1)",3862501,1981378,1848520,72060,56656,418860
"FA(24:2)",1289587,720029,499890,NA,244590,528061
"FA(24:3)",1224292,1157997,876887,47814,385558,653019
"FA(24:5)",248708,252792,262424,255650,51862,97501
"FA(24:6)",2780112,1560830,2230641,NA,514876,721010
"FA(26:0)",1949605,2002477,2777477,420752,470512,606786
"FA(26:1)",9087318,7426354,4921843,503373,3037946,3844985
"FA(26:2)",2047602,1669136,950653,574056,1137447,1300608
"FA(26:3)",3104359,1912616,2969143,501594,1503269,1402862
"FA(26:4)",575795,795080,388949,18010,215314,512302
"FA(26:5)",3763528,1004500,955708,125551,691763,429859
"FA(26:6)",2715659,280769,170284,NA,248066,1376
"FA(26:7)",148197,621295,484126,NA,NA,7820
"FA(28:0)",3390948,3578081,2273688,1095797,3233916,2067970
"FA(28:1)",8704625,9067746,8568925,3047684,8923828,7194128
"FA(28:2)",6304896,2856190,5305560,1090579,4586338,2723875
"FA(28:3)",3000093,1979204,3692029,375246,994310,2215781
"FA(28:4)",1288630,539246,3287766,94582,728280,126766
"FA(28:7)",160354016,145417280,150138832,45668180,61955924,65623804
"FA(30:0)",5608590,6023212,7602119,3048751,3162808,3646940
"FA(30:1)",18733574,9569033,10437474,4073914,9705555,6814396
"FA(30:2)",11838264,4899594,7188659,972585,7540836,4746760
"FA(30:3)",3747272,4003153,2162440,314718,1700099,2354296
"FA(30:4)",3704585,2809952,3219722,110622,297118,1224733
"FA(30:5)",3567866,1885791,1638031,701818,1603449,1342877
"FA(32:0)",4527908,5026222,5391282,4205902,4348533,5592604
"FA(32:1)",8640338,3206889,2501070,980196,6243525,3393920
"FA(32:2)",6479444,4496604,6270995,1808694,4034127,4272469
"FA(32:3)",2355333,2237942,2278804,226193,1645792,1563608
"FA(32:4)",2011661,678155,614435,205770,464776,929229
"FA(32:5)",659864,1302803,746148,24946,593880,501897
"FA(32:9)",1706083,1709616,2570384,427768,551273,488230
"FA(34:0)",6872420,7584318,6245838,7165002,6146224,6345002
"FA(34:2)",2667186,3135951,1893638,347592,965020,844708
"FA(34:5)",23109944,31260640,26369432,21507096,23703742,27369986
"FA(36:0)",5750660,8446185,9019636,6690344,5693855,8273410
"FA(36:1)",4407085,4209580,3539233,1288504,1055961,2841744
"FA(36:10)",1037649,1137039,1595790,244741,169471,479326
"FA(36:2)",4857004,2018425,2540638,1539834,2020920,1309306
"FA(36:5)",43588568,59520164,66190116,42855860,42966888,65089236
"FA(38:0)",4095425,5639864,4412058,6773717,7059010,3884204
"FA(38:2)",245717,115053,468209,431138,417744,832076
"FA(38:5)",37005624,55363404,42555980,46329844,55160556,51538628
"FA(40:0)",6316653,4738574,5377079,5939677,5086900,6205241
"FA(40:5)",150520928,122467656,115679320,90220544,104219576,79368168
"FA(40:6)",1315271,1543180,2067880,186342,1276254,840501
"FA(42:0)",8027718,4456920,5303339,5349160,4961676,4586714
"FA(42:12)",39220,15003,139848,478295,109111,229180
"FA(42:5)",115588040,84557280,83681232,56608968,78626744,52067028
"FA(42:8)",2612195,2347234,2752524,2033605,2415436,1737068
"FA(44:0)",3546166,3236060,2256411,4445114,2387246,2627614
"FA(44:1)",54127,11000,341343,NA,NA,NA
"FA(44:12)",50095,NA,51784,267228,1947,14226
"FA(44:5)",38311216,32243424,33485342,23538056,31536424,22535062
"LPA(12:0)",889792,1077767,700519,102214,303025,352701
"LPA(14:0)",9356847,10858954,9175095,1468446,4545174,3641920
"LPA(14:1)",5246926,6466782,6565249,227421,1590473,4244238
"LPA(18:1)",1632082,673677,1141119,34353,457631,4668624
"LPA(18:2)",1630375,1005179,2195656,120590,885844,1582164
