"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"Cer(14:0)",7927765.0895,11067588.7175,8255483.3175,5916264.29465,5624198.435,6142355.765
"Cer(16:0)",20613940.0250556,28780687.517275,25036858.7522444,22333341.187375,24489420.9968889,25941521.9256
"Cer(18:0)",5360764.53202857,7707074.29658571,10152010.2761143,9332122.61597143,8978702.95147143,8672163.21898571
"Cer(18:1)",974749.86538,2252294.42468,2323635.135,3601980.33114,2561250.91326,3260615.91816
"Cer(18:2)",84370.43605,363984.8025,505014.177,608539.89,548773.5425,669713.552
"Cer(20:0)",11200000,15200000,12600000,12200000,1.4e+07,18500000
"Cer(20:1)",3388827.3986,5099304.6645,3607272.32155,5815611.9845,5074373.879,5074917.2955
"Cer(20:4)",8642802.508,4693427.165,1.2e+07,16300000,10200000,7652644.301
"Cer(22:0)",16203333.8942,34441468.4846,28225805.3608,30430438.13806,40022250.5541,41278387.1796
"Cer(22:1)",18311260.6476667,22167987.8573333,19476647.5393333,18738628.6053333,21142505.255,20092334.7503333
"Cer(22:2)",924257.685,3567331.522,1443288.519,1974391.573,2669154.96,1754194.802
"Cer(24:0)",60792216.9781111,133442332.764556,145753171.026778,181151532.265889,184404413.189333,199500968.685889
"Cer(24:1)",55090622.58576,65371948.086,58729668.95456,85258685.68938,90448200.72504,84412935.9356
"Cer(24:4)",7035447.632,8563919.36,7058830.715,1127706.2,580744.005,721632.436
"Cer(26:0)",13469338.204875,25273425.023125,29286165.09075,35289757.755125,37212679.353875,31840522.09975
"Cer(26:2)",196900.2813,109984.5066,118688.583,217917.6456,980171.262,128575.2423
"Cer(26:4)",1262223.17,719774.0193,509894.2536,1748836.145,1833579.2,357210.288
"Cer(d16:0)",1.1e+07,97200000,22500000,2790465.932,76700000,93700000
"Cer(d16:1)",2259493.7152,4239927.95625,4695170.7002,2875936.294625,4711041.7953,4186073.20275
"Cer(d18:0)",10013747.8531667,12884196.4354,9680890.28966667,12203094.96206,10836471.176,11799667.5448
"Cer(d18:1)",33900544.4631053,45310052.5980684,43178720.2672211,50333141.4173105,52255071.8541579,50273889.1172895
"Cer(d18:2)",7290114.72682727,10907579.9869182,10579826.2241273,12569768.4268091,15900214.5799545,15094972.3782091
"Cer(d22:0)",559584.0756,784840.4382,531096.7542,1199703.783,1145829.479,801959.6418
"Cer(m18:0)",6326866.92655,4565032.034575,5985397.62555,8331345.74935,8103543.47695,6275179.09175
"Cer(m18:1)",10700000,16800000,15100000,1.3e+07,14100000,14500000
"Cer(m20:0)",7167409.054,7048060.386,7892227.14,8659318.876,8780697.96,7766703.146
"Cer(m22:1)",2273613.623,7235397.736,26400000,3868222.6,3591517.123,433793.7906
"Cer(t18:0)",35417356.02017,76842031.83841,79495873.8692,96618785.03209,100774301.60019,122830761.90004
"Cer(t18:1)",31707377.6475143,74786539.5312286,91579980.2101,117542564.767143,117884344.199914,102044774.724457
"Cer(t20:0)",594068.863,597943.823,706714.4,644250.243,626075.868,711166.856
"Cer(t20:1)",143594.827,211930.348,154392.006,157213.711,149044.22,160476.722
"ChE(16:1)",2046186.444,838322.661,639339.907,460391.582,167006.04,449449.561
"ChE(18:1)",72100000,42300000,21900000,10400000,15800000,23500000
"ChE(18:2)",263396.7447,94306.2912,NA,195943.9581,83292.9768,150171.91
"ChE(18:3)",10800000,9306225.915,5482437.793,4380733.742,5253259.366,6987479.341
"ChE(20:1)",1616449.854,1106225.203,338934.934,141701.205,NA,154143.608
"ChE(20:2)",47800000,6.2e+07,42800000,21100000,23400000,31400000
"ChE(20:3)",2.35e+08,2.24e+08,1.73e+08,1.08e+08,1.16e+08,1.31e+08
"ChE(20:4)",1.84e+08,4.01e+08,4.51e+08,5.35e+08,4.49e+08,4.71e+08
"ChE(20:5)",1.83e+08,1.34e+08,9.3e+07,5.2e+07,63100000,66100000
"ChE(22:3)",11600000,12600000,7660989.235,5790814.698,4993985.459,7249822.778
"ChE(22:4)",1.34e+08,78400000,53700000,22300000,25500000,29100000
"ChE(22:5)",4.1e+08,2.68e+08,1.82e+08,1.08e+08,1.24e+08,1.32e+08
"ChE(22:6)",4.94e+08,2.97e+08,2.41e+08,1.49e+08,1.83e+08,1.94e+08
"DG(10:2)",23800000,80800000,2.05e+08,1.16e+08,79200000,99700000
"DG(14:0)",6358318.49205,11994588.6585,15079622.8605,6719285.019,15117193.667,17493893.95495
"DG(16:0)",44314893.5603556,97573440.5053111,92200171.9675889,137259229.913633,108246955.486778,136729704.469
"DG(16:1)",2542497.26143333,4791155.2165,3793517.5807,5022387.769,2646688.81425,10202678.5064
"DG(18:0)",58398623.786,134647841.750364,124331314.287,170433287.794273,166390469.092,171286479.013273
"DG(18:1)",113610554.81105,170638669.664745,155685060.82152,350966342.515635,338329103.64125,386052576.788
"DG(18:2)",109244052.25615,265971947.4085,233649889.9009,363377113.5483,284374567.5277,281440000
"DG(18:3)",36994662.6361857,50188415.1911,30708426.399975,44879498.576425,37966322.982,46008192.7408125
"DG(20:0)",10043339.03375,71250000,74450000,8.8e+07,6.7e+07,75650000
"DG(20:1)",92500000,1.2e+08,1.04e+08,2.2e+08,2.14e+08,2.34e+08
"DG(20:2)",15300000,35500000,3.2e+07,54500000,41400000,48700000
"DG(20:3)",11291914.0745,13095420.182,8946670.717,24650000,22750000,31300000
"DG(20:4)",38009843.5876667,42427151.911,44798418.986,81573313.2073,75485016.6173333,88228225.4476667
"DG(20:5)",150194.7909,479309.4306,315573.3732,953852.0052,1247580.08,1428058.699
"DG(22:0)",10752649.355,24850000,25100000,32750000,22600000,25200000
"DG(22:1)",19500000,2e+07,6640239.688,24400000,23600000,28500000
"DG(22:2)",1020353.624,495568.2312,235344.5433,437954.4318,198938.046,3135303.563
"DG(22:3)",339126.8811,258667.3131,430540.1919,124408.9257,4134138.27,14400000
"DG(22:4)",21125566.0085,27112156.693,22584473.4,40498512.8125,37566031.122,44922218.514
"DG(22:5)",18188009.1151,21378078.7963333,17826428.3713333,61031887.0956667,56079098.3893333,68370209.8343333
"DG(22:6)",14631140.317,18003512.397,14027606.9441,48314745.2318,45231068.5026667,58200000
"DG(24:0)",5801492.61,1.3e+07,13100000,14200000,1.3e+07,11200000
"DG(6:0)",23800000,80800000,2.05e+08,1.16e+08,79200000,99700000
"LPC(14:0)",165670.8873,1289768.151,333055.4526,425633.0169,537501.288,370557.4752
"LPC(14:1)",2120182.674,143086.2831,1967916.755,559991.0928,2833446.179,21428.9535
"LPC(16:0)",15944086.5145,52702360.559,22677688.586,26212132.7025,27805782.3955,28934802.509
"LPC(16:1)",18291828,28150000,20038078.5955,20588979.7265,22349491.134,19868482.394
"LPC(16:2)",37791.6264,599605.114,136313.1198,58572.2658,93199.377,153015.7437
"LPC(18:0)",18088042.391,77056184.6795,24530145.327,29774140.955,34650645.6325,30685094.95
"LPC(18:1)",58900000,137950000,81350000,82050000,91950000,90800000
"LPC(18:2)",4229170.26915,7340081.6555,4779367.063,4588960.973,5144862.4835,4938220.298
"LPC(20:0)",1525247.82,1881983.297,2587259.514,2272472.792,2664686.459,1384645.24
"LPC(20:1)",9606431.156,22600000,15200000,6863703.573,7764270.962,8867587.235
"LPC(20:2)",97760.1036,707757.7143,177752.6667,127197.4572,NA,105098.731
"LPC(20:3)",NA,650680.903,NA,NA,NA,7169.555
"LPC(20:4)",11085.8748,25199.8602,79697.4372,47798.008,25790.0331,17817.477
"LPC(20:5)",NA,181786.2768,20384.6622,21045.9201,20038.104,39554.529
"LPC(22:1)",3897470.156,5263662.544,5874669.042,1261190.492,1353906.263,1432675.457
"LPC(22:4)",25106.0556,180663.6513,84574.9677,NA,7.157,NA
"LPC(22:5)",153109.223,19800000,448945.378,NA,156820.441,542542.175
"LPC(22:6)",NA,1802668.068,27631.597,152.2719,2085.2859,150.657
"LPC(26:0)",3445004.113,2915446.456,3033453,2769676.477,2741745.244,2111307.23
"LPC(28:0)",67200000,66500000,65900000,49900000,45300000,52700000
"LPC(28:1)",6274503.568,7419571.47,7912722.379,5873599.504,6471595.243,6196333.003
"LPC(30:1)",7959776.204,4693616.874,5914757.36,6106682.741,6078470.712,4786637.505
"LPC(32:0)",58300000,59900000,60300000,52100000,51400000,54800000
"LPC(32:1)",56100000,55900000,59200000,56300000,58400000,56600000
"LPC(34:0)",8101853.07,7452596.132,8329836.627,5567469.681,5204951.596,4578621.959
"LPC(34:1)",1.75e+08,1.66e+08,1.53e+08,1.66e+08,1.78e+08,1.7e+08
"LPC(36:0)",132840.1875,4213184.286,1639739.992,849003.0267,213308.2233,1312613.465
"LPE(16:0)",1153371.316,2692751.035,1993637.566,2663786.346,2969744.668,3835939.099
"LPE(16:1)",3252068.204,5680474.23,4261424.197,3791613.315,4101331.522,4193445.739
