"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"Cer(14:0)",6126775.2145,6802813.7425,5300868.76575,5916264.29465,5624198.435,6142355.765
"Cer(16:0)",26325403.7168625,26155750.72075,22629419.6986875,22333341.187375,27466023.239625,25941521.9256
"Cer(18:0)",9832810.08154286,7927804.74475714,7204279.69385714,9332122.61597143,8978702.95147143,8672163.21898571
"Cer(18:1)",1021272.81486,1695805.23676,2552715.25466,3601980.33114,2561250.91326,3260615.91816
"Cer(18:2)",117779.1315,219315.4591,376478.772,608539.89,548773.5425,669713.552
"Cer(20:0)",19200000,1.4e+07,1.2e+07,12200000,1.4e+07,18500000
"Cer(20:1)",3835267.691,3512371.2025,4307031.337,5815611.9845,5074373.879,5074917.2955
"Cer(20:4)",20700000,1.1e+07,11800000,16300000,10200000,7652644.301
"Cer(22:0)",17601107.27951,32074680.8992,27547040.3837,30430438.13806,40022250.5541,41278387.1796
"Cer(22:1)",19947571.3273333,20588433.8296667,17923856.1853333,18738628.6053333,21142505.255,20092334.7503333
"Cer(22:2)",2107166.207,235900.2153,1073446.971,1974391.573,2669154.96,1754194.802
"Cer(24:0)",52415476.6307778,110613513.810667,143164695.863889,181151532.265889,184404413.189333,199500968.685889
"Cer(24:1)",82478861.233,92510305.81592,80516469.8174,85258685.68938,90448200.72504,84412935.9356
"Cer(24:4)",1533006.461,389484.705,991546.54,1127706.2,580744.005,721632.436
"Cer(26:0)",10559563.41025,21287883.419875,26432357.727125,35289757.755125,37212679.353875,31840522.09975
"Cer(26:2)",956465.509,347885.9562,28049.3115,217917.6456,980171.262,128575.2423
"Cer(26:4)",2941210.18,1298296.443,552075.5991,1748836.145,1833579.2,357210.288
"Cer(d16:0)",1612853.532,71700000,12100000,2790465.932,76700000,93700000
"Cer(d16:1)",2620582.567775,3366261.60815,2184467.40825,2875936.294625,4711041.7953,4186073.20275
"Cer(d18:0)",12454038.1514,14169857.9448,12688680.4787,12203094.96206,12868444.8002,11799667.5448
"Cer(d18:1)",42959181.9092,47401057.3932211,44182938.5926211,50333141.4173105,52255071.8541579,50273889.1172895
"Cer(d18:2)",12747269.0715818,13289484.0828636,12864363.3877455,12569768.4268091,15900214.5799545,15094972.3782091
"Cer(d22:0)",449340.8499,1723504.513,715602.1095,1199703.783,1145829.479,801959.6418
"Cer(m18:0)",10574158.498,7563512.253925,7340665.350325,8331345.74935,8103543.47695,6275179.09175
"Cer(m18:1)",11700000,3.3e+07,13600000,1.3e+07,14100000,14500000
"Cer(m20:0)",10200000,11200000,7491471.99,8659318.876,8780697.96,7766703.146
"Cer(m22:1)",12300000,4273039.658,396555.4116,3868222.6,3591517.123,433793.7906
"Cer(t18:0)",27659250.96181,61339303.69224,83935921.6399,96618785.03209,100774301.60019,122830761.90004
"Cer(t18:1)",24506009.9866857,62107475.9432857,80750285.3222857,117542564.767143,117884344.199914,102044774.724457
"Cer(t20:0)",558975.119,818355.74,743516.437,644250.243,626075.868,711166.856
"Cer(t20:1)",151326.604,215495.515,222090.407,157213.711,149044.22,160476.722
"ChE(16:1)",451803.256,1790037.719,1621602.754,460391.582,167006.04,449449.561
"ChE(18:1)",16700000,7.4e+07,75200000,10400000,15800000,23500000
