"subclass","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"CL(14:0)",1866270,1946685.5,1988718,1873217,1793379,1575880.5,1094103,823594,1109738.5,884550.5,1623805,972422.5
"CL(18:3)",933135,973342.75,994359,936608.5,896689.5,787940.25,547051.5,411797,554869.25,442275.25,811902.5,486211.25
"CL(18:5)",933135,973342.75,994359,936608.5,896689.5,787940.25,547051.5,411797,554869.25,442275.25,811902.5,486211.25
"DG(10:0)",25773885,33800379.5,26514955.5,36806525,28321057.5,31209328.5,48736672.5,76672979,68364157,55241654,48450707,46075298.5
"DG(12:0)",31705272.5,61581664.5,27605511.5,42206254.5,65561117.5,40404432,83762145.5,119690244.5,92870868,95820679,94102331,96302936
"DG(14:0)",46568586.5,52585626.5,54691517.5,41741353,72215371,78943556.5,99983644,106841944,96563795,136842848.5,105406549,101212791
"DG(16:0)",808097501.5,893217479,914224413,1019026035,2025675968,1930993337.5,2333935662.5,2393297731.5,2017432222,2915684318.5,2295705740,2850287010.5
"DG(16:1)",417480110,396013089,346833686,108181430.5,223447478.5,204556478,279207541.5,287460305,250874551,345340161,294125695,339317868
"DG(16:2)",4709885,6375734.5,5558525,23560989,30710310,29030775.5,26822944.5,26072703.5,23134016,49220968,35060587,27459236
"DG(16:3)",7777648,6005542.5,4238577,3523347,3499737.5,3038003,4530312.5,5761065,3163943,4256609,5240391,12363248
"DG(16:4)",9351171.5,6025746.5,4389218,4903513.5,7674503.5,44398751,6196276.5,23986229,26756737,11254438.5,14427206,44931938
"DG(18:0)",1232097673.5,1240229526,1028413661.5,1465995799,3127818726,3100751047.5,3157824060,2602396092,2327176044,4062221051.5,3135428104.5,3771831031.5
"DG(18:1)",7080133629.5,8039656195.5,8242330857.5,4667959378,6874488383.5,6107231894,14045726087,13190382585,11793856272,14108301161.5,13211106988,15632159346.5
"DG(18:2)",1742312844,1748398363.5,1447136955.5,2253167401,5170786210,4889542712.5,4865770605.5,3934620861,3643625734,6942094501,4957846598,5928459806
"DG(18:3)",230188876,245883344,209939632,309733872,548459576,511070920,490599856,439430168,394636672,633794536,461452064,560014496
"DG(18:5)",35539840.5,32042462.5,17701047.5,52242348,108770572,115739837,94520901,86948211,71882273,125353657,116029961,104287568
"DG(20:0)",46367592,41089132,23285952,65722112,188119136,199206912,174416016,123893176,118674280,235916784,174794128,191883760
"DG(20:1)",223654386,253690342,268959632,218296992,312966992,274465448,512409208,493165464,437987928,557154592,510153424,575864360
"DG(20:2)",82527450,80048641,71583962,99202882,221514113.5,248276939.5,240015855,184368665,178364037.5,315264520,284749123.5,263740665
"DG(20:3)",63285894,66341284,70162827,45108694,53072046.5,45193762,117292047,105980947,92792229,107965610,106646178.5,142374941
"DG(20:4)",263858728,309540928,300586448,212122976,240621088,244107472,503067408,457119376,395885552,473506256,437394256,505544432
"DG(22:0)",14867251,12029022,9075559.5,24054590,45105220,62880240,32807603,45762774,45677212,73582392,68680896,71664424
"DG(22:1)",47879549,60805472,53639177.5,53983212,61614719,38879633,90090464,93433470,96793646,85129476,92749796,79146975
"DG(22:3)",3989061,4351351,3858807,5932790.5,6250781,6445759,11777636,16699466,15622064,16231103,11905567,13441458
"DG(22:4)",113629707,143604670,144749357.5,99650762,117012426,100171101,212709411.5,191428527.5,163094413,207916442,187178303.5,211944929
"DG(22:5)",165914421.5,196774875,210122266,110389422.5,125271091.5,113573707,331731930.5,319134187.5,271715158,359325082,331169828.5,388006513
"DG(22:6)",1296382580,1232230862,999001751.5,1292074434,1745988577.5,1155695500.5,2943141919.5,2226134672,3332362560,4038235447,3566974477,3019709239
"DG(24:0)",31350425,27690637,17276229,41714527,66285994,66530960,54550860,47031290,48476920,60056504,61688588,53103684
"DG(24:1)",6962121.5,1395411.5,5408633.5,17150086,13985850,20164560,7340622.5,9812243,12206481,10111483,17091280,2933007
"DG(24:2)",17148033.5,18518981,10062422,27739018,72799002,71517000,70787432,55893604,54738812,100487584,74300400,80969996
"DG(24:3)",1647938.5,1968604,2106578,2995327.5,1725270.5,2363341,1947595,2731115.5,2773775.5,1430125,2428622,1714800.5
"DG(26:0)",NA,NA,NA,1222493,443524.5,NA,NA,NA,NA,NA,843593.5,NA
"DG(26:1)",8029947,9250638,9984349,11135721,22718936,29285596,29432156,26318260,20299100,31107454,26696596,25420422
"DG(26:2)",12119803,25515138,8055513,19028358,37435104,40411108,38114082,27820467.5,28719379,40173077,35620524,35467520
"DG(26:3)",26246888,11355502,8413824.5,15185113.5,39291828.5,16422881,32599600,35057589,29216386,53139054,40990220,39352125
"DG(26:4)",35986900,29762650,31263612,39725084,10844970,20084588,46093340,46156240,49665160,35996560,69156176,17476298
"DG(26:5)",65067596,48520312,34402072,90097736,154124624,165737568,154966992,135584784,127212016,186811392,176932480,183326624
"DG(26:7)",34821884,26373384,31447112,71252056,52620560,68931720,55041528,129051848,128758128,118503464,108107112,88501336
"DG(28:2)",12451844.5,31741203,8945838.5,15311361,21916380.5,29541431,37233934,34306454,19838098,33559091,22281053.5,27179637.5
"DG(28:5)",404472168,402045765,413013937,464284382,743968580,574008596,531492500,509293244,639046480,623634448,522165688,681203288
"DG(28:7)",25789186,21047658,18023572,30389326,25327810,42138496,27557732,59580804,50325032,50852220,46714692,51330996
