"subclass","OA_01","OA_02","OA_03","X1i_01","X1i_02","X1i_03"
"DG(16:0)",18205744,18279004,17901344,16858766,18313582,16594654
"DG(18:0)",19608948,22300290,18396952,15099019,17544532,20556158
"DG(20:0)",4719036,4931338,3469068,3214399,3498839,4120500
"DG(24:0)",31903772,19197830,26851182,8988142,22723166,4040610
"DG(24:1)",8314124,10299637,12456914,5545408,4102682,2292599
"DG(24:3)",1695201920,1591692800,1888516992,924239808,1106583040,905896192
"DG(26:1)",6734506,6674029,2247578,3535382,3171078,3969874
"DG(26:2)",86212528,83198256,87573184,32522916,36270756,37170988
"DG(26:3)",21731684,21567834,22319776,7984798,9107790,8374402
"DG(26:4)",178054240,175753232,180207184,59509332,64677544,64564872
"DG(28:2)",43295925,36308609,52351954,34773098,45154983,43548048
"DG(28:3)",3633081,1609172,3104924,2118340,1753948,NA
"DG(30:0)",302049888,250119328,271768384,62983736,63138004,72735768
"DG(30:1)",84521112,82982000,55624542,21117581,30058122,19582221
"DG(30:2)",1174724480,582687424,897394624,182556720,55529160,53904504
"DG(30:3)",5070071,7077946,4777772,4300698,3244834,2583510
"DG(30:4)",17998932,15597111,25041270,5467543,4919828,6582109
"DG(30:6)",485200800,405318720,430747456,378494080,402934272,196953456
"DG(32:0)",304163184,223896288,288292824,71137800,62541720,52748858
"DG(32:1)",328223262,252179464,232280006,85612405,77097811,78531721
"DG(32:2)",121857808,72771384,91014400,16538379,19400962,8508162
"DG(32:3)",35322456,28668378,30312517,11266152,12460780,11930770
"DG(32:7)",8513218,10480782,24726496,15555296,12011085,8477154
"DG(34:0)",200245296,220820788,316932830,79939746,78471472,67377576
"DG(34:1)",2051566844,1528676200,1862182476,736146182,760442940,749358106
"DG(34:2)",4843508106,3519703360,4382800288,1404867360,1350319048,1102377246
"DG(34:3)",795445724,490904388,633610500,234649610,230175028,172170594
"DG(34:4)",27013146,22792204,27671684,789758,NA,1392758
"DG(34:7)",237006928,216214224,177002672,69643768,52746768,62894224
