"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"Cer(32:0)",2455530.179,3635177.435,910966.635,932528.5893,948396.87,984711.53
"Cer(32:1)",13400000,18500000,15600000,10900000,10300000,11300000
"Cer(34:0)",14038196.868,12816080.823,19944625.496,20580072.134,27376603.055,22772891.439
"Cer(34:1)",156307694.1879,201364391.446,190085389.024,139759319.513,174453351.873,168150786.768
"Cer(34:2)",7452576.04,8232127.045,6878390.356,8468315.193,8648306.605,8039834.41
"Cer(36:0)",12001993.8912,9476157.8083,11749473.9152,10734469.6549,11309715.1048,11068192.63
"Cer(36:1)",30566126.3457,44479928.4961,40819958.374,59374315.6874,56936681.5599,57318687.9744
"Cer(36:2)",4062503.4223,10193006.1981,11374016.8364,16570819.6402,12213413.6269,12689196.4587
"Cer(36:3)",831013.695,1602531.952,1241053.9762,2663331.041,1484092.857,4604481.52
"Cer(38:0)",11559584.0756,97984840.4382,23031096.7542,3990169.715,77845829.479,94501959.6418
"Cer(38:1)",13710334.767,19218976.514,15753798.787,12934915.5116,18963444.852,21570894.96
"Cer(38:2)",6669764.716,6636134.891,469367.3361,6317172.884,5555654.559,5229905.801
"Cer(38:3)",107890.0812,3562474.438,6745177.307,5314051.085,4593093.199,4919928.79
"Cer(38:4)",8642802.508,4693427.165,1.2e+07,16300000,10200000,7652644.301
"Cer(40:0)",58738492.28,107621789.855,116404254.821,137378999.937,145528699.633,150112976.836
"Cer(40:1)",94271282.895,145390311.094,170778539.241,163632012.993,170761596.883,161542511.9636
"Cer(40:2)",50653112.9288,62759740.43,54848344.7728,61393428.4469,67641003.6252,63264679.678
"Cer(40:3)",3958039.628,7071295.094,3373231.137,3490277.389,6396670.725,6131199.053
"Cer(42:0)",2.63e+08,5.82e+08,5.87e+08,7.27e+08,7.5e+08,9.64e+08
"Cer(42:1)",292061369.788,607100000,709600000,888011610.827,877700000,808300000
"Cer(42:2)",238216795.426,310700000,286500000,394200000,431900000,3.9e+08
"Cer(42:3)",33900000,36300000,32900000,52100000,6.2e+07,63800000
"Cer(42:5)",7035447.632,8563919.36,7058830.715,1127706.2,580744.005,721632.436
"Cer(44:0)",53600000,96400000,100600000,120700000,129100000,125800000
"Cer(44:1)",43604884.922,88800000,112900000,147700000,151200000,112200000
"Cer(44:2)",4250787.239,5577526.014,6828214.32,5404987.26,4826314.743,4752533.22
"Cer(44:3)",196900.2813,109984.5066,118688.583,217917.6456,980171.262,128575.2423
"Cer(44:6)",1262223.17,719774.0193,509894.2536,1748836.145,1833579.2,357210.288
"Cer(46:0)",594068.863,597943.823,706714.4,644250.243,626075.868,711166.856
"Cer(46:1)",143594.827,211930.348,154392.006,157213.711,149044.22,160476.722
"ChE(16:1)",2046186.444,838322.661,639339.907,460391.582,167006.04,449449.561
"ChE(18:1)",72100000,42300000,21900000,10400000,15800000,23500000
"ChE(18:2)",263396.7447,94306.2912,NA,195943.9581,83292.9768,150171.91
"ChE(18:3)",10800000,9306225.915,5482437.793,4380733.742,5253259.366,6987479.341
"ChE(20:1)",1616449.854,1106225.203,338934.934,141701.205,NA,154143.608
"ChE(20:2)",47800000,6.2e+07,42800000,21100000,23400000,31400000
"ChE(20:3)",2.35e+08,2.24e+08,1.73e+08,1.08e+08,1.16e+08,1.31e+08
"ChE(20:4)",1.84e+08,4.01e+08,4.51e+08,5.35e+08,4.49e+08,4.71e+08
"ChE(20:5)",1.83e+08,1.34e+08,9.3e+07,5.2e+07,63100000,66100000
"ChE(22:3)",11600000,12600000,7660989.235,5790814.698,4993985.459,7249822.778
"ChE(22:4)",1.34e+08,78400000,53700000,22300000,25500000,29100000
"ChE(22:5)",4.1e+08,2.68e+08,1.82e+08,1.08e+08,1.24e+08,1.32e+08
"ChE(22:6)",4.94e+08,2.97e+08,2.41e+08,1.49e+08,1.83e+08,1.94e+08
"DG(16:2)",23800000,80800000,2.05e+08,1.16e+08,79200000,99700000
"DG(32:0)",10700000,17600000,18300000,19700000,22300000,31100000
"DG(32:1)",17611112.555,31606345.814,34136439.098,19187002.35,34023223.254,47500000
"DG(32:3)",116636.9841,789177.317,159245.721,3438570.038,734387.334,887787.9099
"DG(34:0)",2.4e+07,36900000,40900000,39700000,51700000,74800000
"DG(34:1)",1.2e+08,2.29e+08,2.09e+08,3.25e+08,2.82e+08,3.24e+08
"DG(34:2)",2.23e+08,5.64e+08,5.31e+08,8.2e+08,5.87e+08,7.4e+08
"DG(34:3)",2577851.0102,6016123.7668,9131951.226,2453027.0384,3088335.167,20482663.878
"DG(34:4)",NA,2004564.578,770109.6228,6235751.956,1880561.558,900084.5226
"DG(36:0)",21700000,29500000,35700000,31600000,35800000,49400000
"DG(36:1)",2.42e+08,4.47e+08,4.42e+08,5.93e+08,4.42e+08,5.53e+08
"DG(36:2)",9.52e+08,1.766e+09,1.524e+09,3.25e+09,3.48e+09,3.663e+09
"DG(36:3)",150724380.128,418377081.632,420725485.005,725569140.112,458571558.645,460606832.118
"DG(36:4)",115725652.978,170621304.053,179074775.592,295430574.5719,146856466.281,78272849.841
"DG(36:5)",2.24e+08,3.42e+08,1.88e+08,2.97e+08,2.53e+08,3.22e+08
"DG(36:6)",16200000,25700000,19800000,20500000,18200000,15600000
"DG(38:1)",19600000,44900000,45900000,5.6e+07,43200000,50300000
"DG(38:2)",92986678.0675,217600000,2.07e+08,3.4e+08,304800000,3.35e+08
"DG(38:3)",23183828.149,44790840.364,37293341.434,66800000,52900000,62800000
"DG(38:4)",69400000,72400000,7.9e+07,128200000,118100000,144700000
"DG(38:5)",54800000,6.9e+07,60200000,1.53e+08,1.41e+08,1.64e+08
"DG(38:6)",1082121.7352,5090059.1386,1820995.4015,4693748.9876,5386541.633,19138688.202
"DG(40:1)",6405298.71,10500000,11800000,12500000,10700000,13800000
"DG(40:2)",34600000,59200000,45040239.688,77400000,58100000,65100000
"DG(40:3)",1020353.624,495568.2312,235344.5433,437954.4318,198938.046,3135303.563
"DG(40:4)",3790258.8981,3882980.6991,3899486.9919,5621434.5507,9166200.514,20044437.028
"DG(40:5)",49200000,61900000,51610662.521,96500000,91600000,112800000
"DG(40:6)",47425521.352,54134023.872,45846021.397,174300000,152291539.123,182400000
"DG(40:7)",39700000,48100000,38300000,1.29e+08,1.26e+08,1.51e+08
"DG(42:2)",5801492.61,1.3e+07,13100000,14200000,1.3e+07,11200000
"LPC(14:0)",165670.8873,1289768.151,333055.4526,425633.0169,537501.288,370557.4752
"LPC(14:1)",2120182.674,143086.2831,1967916.755,559991.0928,2833446.179,21428.9535
"LPC(16:0)",31888173.029,105404721.118,45355377.172,52424265.405,55611564.791,57869605.018
"LPC(16:1)",36583656,56300000,40076157.191,41177959.453,44698982.268,39736964.788
"LPC(16:2)",37791.6264,599605.114,136313.1198,58572.2658,93199.377,153015.7437
"LPC(18:0)",36176084.782,154112369.359,49060290.654,59548281.91,69301291.265,61370189.9
"LPC(18:1)",117800000,275900000,162700000,164100000,183900000,181600000
"LPC(18:2)",8458340.5383,14680163.311,9558734.126,9177921.946,10289724.967,9876440.596
"LPC(20:0)",1525247.82,1881983.297,2587259.514,2272472.792,2664686.459,1384645.24
"LPC(20:1)",9606431.156,22600000,15200000,6863703.573,7764270.962,8867587.235
"LPC(20:2)",97760.1036,707757.7143,177752.6667,127197.4572,NA,105098.731
"LPC(20:3)",NA,650680.903,NA,NA,NA,7169.555
"LPC(20:4)",11085.8748,25199.8602,79697.4372,47798.008,25790.0331,17817.477
"LPC(20:5)",NA,181786.2768,20384.6622,21045.9201,20038.104,39554.529
"LPC(22:1)",3897470.156,5263662.544,5874669.042,1261190.492,1353906.263,1432675.457
"LPC(22:4)",25106.0556,180663.6513,84574.9677,NA,7.157,NA
"LPC(22:5)",153109.223,19800000,448945.378,NA,156820.441,542542.175
"LPC(22:6)",NA,1802668.068,27631.597,152.2719,2085.2859,150.657
"LPC(26:0)",3445004.113,2915446.456,3033453,2769676.477,2741745.244,2111307.23
"LPC(28:0)",67200000,66500000,65900000,49900000,45300000,52700000
"LPC(28:1)",6274503.568,7419571.47,7912722.379,5873599.504,6471595.243,6196333.003
"LPC(30:1)",7959776.204,4693616.874,5914757.36,6106682.741,6078470.712,4786637.505
"LPC(32:0)",58300000,59900000,60300000,52100000,51400000,54800000
"LPC(32:1)",56100000,55900000,59200000,56300000,58400000,56600000
"LPC(34:0)",8101853.07,7452596.132,8329836.627,5567469.681,5204951.596,4578621.959
"LPC(34:1)",1.75e+08,1.66e+08,1.53e+08,1.66e+08,1.78e+08,1.7e+08
"LPC(36:0)",132840.1875,4213184.286,1639739.992,849003.0267,213308.2233,1312613.465
"LPE(16:0)",1153371.316,2692751.035,1993637.566,2663786.346,2969744.668,3835939.099
"LPE(16:1)",3252068.204,5680474.23,4261424.197,3791613.315,4101331.522,4193445.739
"LPE(18:0)",6616811.164,11400000,8172863.923,14700000,1.4e+07,16800000
"LPE(18:1)",13708689.684,25589004.009,18725734.053,18503801.867,18389353.343,22853698.166
"LPE(18:2)",2757876.818,5165939.824,3296718.737,3309259.809,4116631.272,4183748.503
"LPE(20:1)",5728067.92,7269739.043,5963391.502,5390672.95,6762463.811,6315720.863
"LPE(20:4)",1942785.23,3911584.334,4480161.361,4013023.057,3933099.584,4388494.598
"LPE(20:5)",225325.049,369481.7637,261996.2424,334328.462,353299.811,499795.867
"LPE(22:1)",7434.1353,266946.406,274207.641,276974.127,468175.891,363705.096
"LPE(22:5)",1059560.085,14044.3707,473108.534,1013596.629,1234257.272,64142.0451
"LPE(22:6)",1882218.596,3396948.831,2803551.085,2816093.736,2593182.592,3296944.087
"LPG(18:1)",584533.876,1096828.461,595351.843,450285.59,568956.285,547577.317
"LPI(18:0)",59004.3,623864.31,387869.2173,111165.3978,297876.06,158074.2864
"LPI(18:1)",10889.6778,2069.2854,14433.7377,4908.7803,289052.633,1628.1282
"PA(36:1)",854367.377,1377878.969,1054172.511,1402152.234,1183747.738,1439106.964
"PA(36:2)",99819.3174,167839.9299,230768.0232,66742.3293,180837.961,136824.076
"PA(38:1)",478571.298,582248.1696,350212.464,86442.5061,565188.3594,1031238.9
"PC(28:0)",1870104.904,1425538.818,1384128.814,1148323.302,1041279.627,1777984.946
"PC(28:1)",693751.8195,13200000,1.3e+07,440541.5496,963320.6088,615205.8393
"PC(30:0)",38700000,38100000,40600000,44400000,4.7e+07,40900000
"PC(30:1)",41372334.314,45992890.729,42600590.89,31290856.105,31563403.273,32715946.05
"PC(30:2)",1162519.519,1673828.127,1080006.791,500625.958,1420513.79,706572.56
"PC(32:0)",265400000,291600000,256600000,324200000,290200000,3.26e+08
"PC(32:1)",206200000,212600000,199100000,204800000,299946770.037,3.01e+08
"PC(32:2)",54556835.453,65286450.768,50005298.633,25542779.878,33588219.963,33222688.536
"PC(32:3)",1190722.827,1190207.816,15494.769,703753.488,960621.755,13912.1421
"PC(32:4)",617749.778,668012.332,685222.3278,478222.878,399254.131,345206.355
"PC(32:5)",2181038.57,521628.0588,1456206.451,3422592.079,707563.7526,7762914.633
"PC(34:0)",153200000,185500000,191300000,178900000,170800000,168700000
"PC(34:1)",1150798830.333,1200896652.235,1026241666.985,1196918438.0822,1242544056.9636,1360025401.049
"PC(34:2)",591627641.686,636276953.855,575888450.025,402928330.054,416125091.448,444438329.728
"PC(34:3)",14995026.471,14505737.928,16281696.436,6883834.2417,12840354.207,8845481.782
"PC(34:4)",1091691.715,1033743.902,1112956.569,1226581.745,1112543.419,1097183.5596
"PC(34:5)",578550.533,902672.181,859523.86,900132.973,927483.441,763489.187
"PC(34:6)",8303599.5782,11728505.7819,9623333.8507,12736428.0358,13096868.1604,14032888.1321
"PC(34:7)",487063.7676,2424150.949,3257053.711,1321026.348,1950529.424,24281.919
"PC(36:0)",13409074.91,18442390.472,17803793.361,16199463.152,15293198.922,15703236.516
"PC(36:1)",241055766.0977,247188232.3903,298277418.638,221361781.8685,277342310.591,269780674.54
"PC(36:2)",362436541.5233,340851539.6392,279690411.422,298602703.4721,310921967.87,307412636.297
"PC(36:3)",181281996.666,179121676.147,167589347.777,145202152.365,166127481.211,157849599.263
"PC(36:4)",26840666.843,28739100.279,27716124.07,39072503.425,45556638.885,39380649.594
"PC(36:5)",53237864.827,51373039.221,45934261.226,61567905.261,58454428.218,52377439.084
"PC(36:6)",14211155.493,14717967.236,12527280.627,15114168.6962,13310563.0803,14018407.7487
"PC(36:7)",18700000,22900000,21600000,23300000,27600000,22300000
"PC(38:1)",7717135.8334,10239399.48,7402666.9135,7977173.458,9336175.149,8862029.726
"PC(38:2)",280644423.7913,303209558.348,251245248.5017,116655295.5164,120375162.5522,119074512.815
"PC(38:3)",32808638.982,35424929.556,32249107.156,16244312.857,17887884.694,20700000
"PC(38:4)",158114220.825,168098816.4798,154754362.625,117998750.2872,132821679.1969,135569833.0888
"PC(38:5)",186994646.4555,195128702.88,175866418.128,138098484.3646,142298021.4861,142821389.0537
"PC(38:6)",49477199.2468,52059420.26,49837995.126,51888100.4162,56530817.4145,53266323.934
"PC(38:7)",18490022.942,19821309.792,15326923.789,20909687.493,21411628.363,20833097.697
"PC(38:8)",11327.1564,136601.0724,37306.6956,227018.2995,105128.757,198601.794
"PC(40:1)",363964.3232,1031871.9754,1322186.0387,911140.999,950387.244,644200.2965
"PC(40:2)",17200000,21100000,20200000,4213216.814,5328099.014,5033436.778
"PC(40:3)",2263751.69,2793855.718,2332284.11,799716.195,41956.2516,946302.181
"PC(40:4)",11266279.0811,16700229.154,13078143.1823,10006360.2323,11635062.933,11923132.0031
"PC(40:5)",75056643.0424,72944712.803,67605479.5493,19496078.512,16439861.3758,21995813.1936
"PC(40:6)",97448118.816,105297869.195,102103896.943,60186219.968,63303373.144,60435649.49
"PC(40:7)",146148849.8886,137920131.0576,131508697.8742,47408148.7513,54043310.951,56720294.9657
"PC(40:8)",11071369.175,10876365.058,8099016.734,6859172.41,8231041.177,7669255.96
"PC(40:9)",2492399.414,1450280.095,2337457.501,3723018.747,6245450.237,5434815.199
"PC(42:10)",2321595.097,2775656.191,2428859.162,1677498.658,1834571.956,1659216.156
"PC(42:2)",264851.809,322556.296,413736.4728,86649.6612,150567.1992,11984.1624
"PC(42:3)",429857.702,63270.0645,363328.893,102908.179,58899.8,29982.308
"PC(42:5)",976884.674,1760675.411,1744810.497,1310272.238,1973057.709,2049584.504
"PC(42:6)",2928851.994,3732081.559,2868179.786,3556516.402,3993622.634,3896187.797
"PC(42:7)",119040.282,387938.653,241617.389,632680.033,405049.046,349124.548
"PC(42:9)",920415.61,1348857.076,775820.933,844315.894,936119.162,1135718.904
"PC(44:10)",24124.5384,332420.96,214301.8173,72282.9552,153048.7527,29907.4749
"PC(44:11)",324221.34,310174.3245,244091.94,314083.46,185766.767,169050.193
"PC(44:12)",422906.734,449676.117,499312.788,302412.644,475300.402,29079.8502
"PE(28:1)",636381.187,711896.066,608520.822,749755.677,607954.573,702902.011
"PE(30:0)",4965774.402,7105544.9719,5477878.6343,5822603.214,4959317.1507,5417762.658
"PE(30:1)",1843.4925,385112.047,2895.372,1768.164,26002.302,2880.3423
"PE(30:2)",1117190.65,1282722.85,1112486.258,424532.492,910172.679,886174.948
"PE(32:0)",121880511.434,170955091.027,135565243.036,148228703.024,158501433.341,152276530.839
"PE(32:1)",131829986.5509,146701427.4793,155834451.6767,134800970.7481,209249864.9159,187899010.6363
"PE(32:2)",7588025.631,8436859.106,8748730.0693,9361173.2317,5006224.6634,8484762.7309
"PE(32:4)",3643439.397,4593868.681,4260575.453,2669935.103,2836595.648,2704935.161
"PE(32:5)",1362757.34,1510080.719,1659720.801,990412.347,575463.9891,840461.629
"PE(34:0)",69432302.732,104664430.595,68263963.84,71423606.985,80055269.199,89574848.869
"PE(34:1)",1286702510.468,2087172133.87,1573630180.942,2021611403.745,2209030054.826,2124563858.2948
"PE(34:2)",191837604.9005,345791222.5045,267212126.0087,403820054.873,350350311.5421,441986944.9663
"PE(34:3)",8499781.3706,10845378.933,9420882.197,12069625.446,9465856.99,11127360.177
"PE(34:4)",8448761.7093,12776343.191,12778343.158,9785775.8556,10061452.2647,10557837.7856
"PE(34:5)",3088139.476,4088280.059,3539657.494,2986225.153,2961925.588,3320222.459
"PE(34:6)",1838431.875,2565818.1366,2529602.933,1749116.792,1560637,1555329.43
"PE(34:7)",106738.801,167237.643,130770.846,117185.563,99305.099,77209.137
"PE(36:0)",27281278.156,44945305.951,29201476.271,37047346.969,36746691.655,39739261.323
"PE(36:1)",1213307359.368,1781156776.8806,1339832940.668,1327475164.231,1620438853.642,1579874008.43
"PE(36:2)",3896032748.0975,8431973661.9367,6528028942.1031,6213755388.273,7545541977.9308,7452965253.932
