"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"Cer(32:0)",1053550.429,2005627.485,796278.0675,932528.5893,948396.87,984711.53
"Cer(32:1)",11200000,11600000,9805459.464,10900000,10300000,11300000
"Cer(34:0)",17023299.724,16131548.796,17768269.824,20580072.134,26700000,22772891.439
"Cer(34:1)",174324131.639,171306595.751,147605925.736,139759319.513,174453351.873,168150786.768
"Cer(34:2)",8606457.522,8884356.706,7454087.93,8468315.193,8648306.605,8039834.41
"Cer(36:0)",16349002.28,13725009.0167,9640473.7073,10734469.6549,11309715.1048,11068192.63
"Cer(36:1)",50194269.3631,48607958.1834,48352392.159,59374315.6874,56936681.5599,57318687.9744
"Cer(36:2)",4548648.9904,8068344.7831,10401809.5764,16570819.6402,12213413.6269,12689196.4587
"Cer(36:3)",979672.2746,937938.6741,2646732.81,2663331.041,1484092.857,4604481.52
"Cer(38:0)",2062194.3819,73423504.513,12815602.1095,3990169.715,77845829.479,94501959.6418
"Cer(38:1)",20048507.8581,19021620.388,16310399.514,12934915.5116,18963444.852,21570894.96
"Cer(38:2)",5991685.711,4457433.288,5725216.61,6317172.884,5555654.559,5229905.801
"Cer(38:3)",1678849.671,2567309.117,2888846.064,5314051.085,4593093.199,4919928.79
"Cer(38:4)",20700000,1.1e+07,11800000,16300000,10200000,7652644.301
"Cer(40:0)",57530591.565,96952006.754,114561903.641,137378999.937,145528699.633,150112976.836
"Cer(40:1)",125763515.03,147081700.213,138876918.8686,163632012.993,170761596.883,161542511.9636
"Cer(40:2)",59794306.165,63651529.0796,58182349.087,61393428.4469,67641003.6252,63264679.678
"Cer(40:3)",6249880.189,4301201.7043,4345015.527,3490277.389,6396670.725,6131199.053
"Cer(42:0)",202600000,4.64e+08,6.33e+08,7.27e+08,7.5e+08,9.64e+08
"Cer(42:1)",261695121.058,525456418.26,638562858.257,888011610.827,877700000,808300000
"Cer(42:2)",362794894.487,408186145.591,365100000,394200000,431900000,3.9e+08
"Cer(42:3)",63600000,65500000,55500000,52100000,6.2e+07,63800000
"Cer(42:5)",1533006.461,389484.705,991546.54,1127706.2,580744.005,721632.436
"Cer(44:0)",38900000,81100000,112800000,120700000,129100000,125800000
"Cer(44:1)",33748653.864,7.6e+07,89504588.379,147700000,151200000,112200000
"Cer(44:2)",3022430.637,5412797.844,5425808.337,5404987.26,4826314.743,4752533.22
"Cer(44:3)",956465.509,347885.9562,28049.3115,217917.6456,980171.262,128575.2423
"Cer(44:6)",2941210.18,1298296.443,552075.5991,1748836.145,1833579.2,357210.288
"Cer(46:0)",558975.119,818355.74,743516.437,644250.243,626075.868,711166.856
"Cer(46:1)",151326.604,215495.515,222090.407,157213.711,149044.22,160476.722
"ChE(16:1)",451803.256,1790037.719,1621602.754,460391.582,167006.04,449449.561
"ChE(18:1)",16700000,7.4e+07,75200000,10400000,15800000,23500000
"ChE(18:2)",75419.973,209559.6414,120060.8964,195943.9581,83292.9768,150171.91
"ChE(18:3)",4924042.876,12200000,10600000,4380733.742,5253259.366,6987479.341
"ChE(20:1)",188584.553,1975794.914,1600991.605,141701.205,NA,154143.608
