"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","DGAT_1i_001","DGAT_1i_002","DGAT_1i_003","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"Cer(32:0)",2455530.179,3635177.435,910966.635,1634739.173,2326190.514,1903170.426,1053550.429,2005627.485,796278.0675,932528.5893,948396.87,984711.53
"Cer(32:1)",13400000,18500000,15600000,11100000,12200000,14500000,11200000,11600000,9805459.464,10900000,10300000,11300000
"Cer(34:0)",14038196.868,12816080.823,19944625.496,13206366.3808,14019581.1786,13135605.61,17023299.724,16131548.796,17768269.824,20580072.134,27376603.055,22772891.439
"Cer(34:1)",156307694.1879,201364391.446,190085389.024,145697840.177,156079842.329,164318014.326,174324131.639,171306595.751,147605925.736,139759319.513,174453351.873,168150786.768
"Cer(34:2)",7452576.04,8232127.045,6878390.356,7095271.027,7028699.655,8796376.625,8606457.522,8884356.706,7454087.93,8468315.193,8648306.605,8039834.41
"Cer(36:0)",12001993.8912,9476157.8083,11749473.9152,13451851.3191,13417762.0284,18911360.8662,16349002.28,13725009.0167,9640473.7073,10734469.6549,11309715.1048,11068192.63
"Cer(36:1)",30566126.3457,44479928.4961,40819958.374,34375752.2486,38654578.6634,40108508.273,50194269.3631,48607958.1834,48352392.159,59374315.6874,56936681.5599,57318687.9744
"Cer(36:2)",4062503.4223,10193006.1981,11374016.8364,2371592.3538,2100023.1399,962009.1325,4548648.9904,8068344.7831,10401809.5764,16570819.6402,12213413.6269,12689196.4587
"Cer(36:3)",831013.695,1602531.952,1241053.9762,17526.768,13927.31,2024.9316,979672.2746,937938.6741,2646732.81,2663331.041,1484092.857,4604481.52
"Cer(38:0)",11559584.0756,97984840.4382,23031096.7542,1814069.7023,693538.7616,23666073.086,2062194.3819,73423504.513,12815602.1095,3990169.715,77845829.479,94501959.6418
"Cer(38:1)",13710334.767,19218976.514,15753798.787,14713966.413,16516148.319,19841968.677,20048507.8581,19021620.388,16310399.514,12934915.5116,18963444.852,21570894.96
"Cer(38:2)",6669764.716,6636134.891,469367.3361,5658322.277,6369151.507,5663508.44,5991685.711,4457433.288,5725216.61,6317172.884,5555654.559,5229905.801
"Cer(38:3)",107890.0812,3562474.438,6745177.307,145732.137,48860.4429,49906.4064,1678849.671,2567309.117,2888846.064,5314051.085,4593093.199,4919928.79
