"","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"MG 16:2",14704553,16983678,15310928,18922328,23824800,25143566,22557632,23738578,22702480,25450460,23086052,25204472
"MG 18:5",5464282,2083644,3800458,10225831,21077102,47899284,24449260,27916196,34183612,69738688,39804808,57627696
"SM 8:1;2O/2:0",5097192,5914674,6015850,5402737,6387818,4256508,7477694,7450948,5322180,8935969,6594428,8970468
"DG 16:0",16858766,18313582,16594654,17158328,19625430,19537616,19088108,18153618,19486090,18205744,18279004,17901344
"MG 18:2",31081004,12408617,20485040,16391183,100432504,79178016,59126244,209981776,52004428,51096252,216165312,123562848
"MG 18:1",12302716,11526300,10908943,13785979,13790648,11725970,15184559,11908419,13568688,15063899,14292707,12532818
"LPC 8:0-SN1",2571279,2915686,3127154,2468397,1307920,1324598,80.6,80.6,4788,403,80.6,80.6
"SM 10:0;2O",89514488,101486544,112383560,93100944,97551936,92174368,9694363,9850289,9768654,11294891,10214591,9498765
"DG 18:0",15099019,17544532,20556158,19659804,18147422,17878448,17290300,18746132,19395352,19608948,22300290,18396952
"MG 20:4",2282298,1933785,2435652,2924567,1788117,1830756,750779,1755305,2238194,1102103,2091142,1244429
"MG 20:2",35979812,36809260,45586536,30825786,33730224,32144596,18956914,22637176,21971390,18875764,24211778,16114650
"SM 12:1;2O",3607431,6401572,4187042,2875220,2010061,1633010,1144904,3182567,176229,1259001,1464679,3572394
"SM 8:1;2O/6:0",13980318,3041613,3872988,1455399,18541656,12145776,36608468,79482096,21907550,14757740,56867136,53727972
"DG 20:0",3214399,3498839,4120500,3160566,3981964,4367508,3784636,4406333,3945949,4719036,4931338,3469068
"MG 22:3",680259520,677696832,811662528,682535808,824244672,755063104,270117952,335134400,337070048,290143008,357268032,225636032
"MG 22:2",35833308,37843644,40894056,28227446,34181316,31203316,21348414,23369636,19980202,21309602,23236630,16114271
"SM 12:2;2O/4:0",38362608,42893976,47291428,39074256,43663776,44910660,42563520,52528120,43573192,45170708,48537780,46638532
"SM 14:0;2O/2:0",4824672,6506728,5862860,9437260,14113630,22978102,17289032,15434408,17531934,23343146,21952888,6789530
