,,,,,OA,OA,OA,DGAT1i,DGAT1i,DGAT1i,DGAT1+2i,DGAT1+2i,DGAT1+2i,DGAT2i,DGAT2i,DGAT2i
ID,RT,m/z,Type,Metabolite name,Aml 12_1,Aml 12_2,Aml 12_3,Aml 12_1i-1,Aml 12_1i-2,Aml 12_1i-3,Aml 12_1-2i-1,Aml 12_1-2i-2,Aml 12_1-2i-3,Aml 12_2i-1,Aml 12_2i-2,Aml 12_2i-3
1,16.09393,792.5687,[M+NH4]+,BMP 36:2|BMP 18:1_18:1,1179000,1371000,1187000,1256000,1136000,1205000,1414000,1336000,1593000,868300,1248000,1226000
2,14.59183,814.553,[M+NH4]+,BMP 38:5|BMP 18:1_20:4,31920,40470,40980,55430,42750,54670,79810,79850,86030,30260,39370,34910
3,14.26602,838.5526,[M+NH4]+,BMP 40:7|BMP 18:1_22:6,139000,70710,66380,103600,90680,109500,176200,153400,142000,68030,75990,77780
4,12.79273,860.5398,[M+NH4]+,BMP 42:10|BMP 20:4_22:6,13610,7198,3082,13030,13580,10340,34230,30030,22520,6432,7590,8278
5,12.92023,886.5531,[M+NH4]+,BMP 44:11|BMP 22:5_22:6,30560,46900,43520,46020,37330,55730,31560,55810,55980,68960,95120,47740
6,12.45242,884.543,[M+NH4]+,BMP 44:12|BMP 22:6_22:6,28940,26450,19810,37590,27700,38180,71600,68340,51880,11150,18870,23490
7,6.347683,426.3566,[M]+,CAR 18:1,621000,104000,95830,84410,114400,105700,235100,177300,86970,108400,118300,107900
8,27.13462,664.6003,[M+NH4]+,CE 18:3,61570,63360,60940,73670,54220,61300,51630,52570,53660,44760,54510,41830
9,27.85142,692.6263,[M+NH4]+,CE 20:3,139900,77180,70870,81750,77650,66850,38750,57490,35390,42250,60670,52170
10,27.22062,690.6113,[M+NH4]+,CE 20:4,223000,280700,247900,233800,259400,287600,112000,149600,129800,107100,216100,191800
11,26.66097,688.5993,[M+NH4]+,CE 20:5,80750,82270,90200,95000,101800,105300,47000,56910,43050,40460,70770,60600
12,27.95125,718.6391,[M+NH4]+,CE 22:4,37740,41060,42220,35290,40120,39470,19560,24800,20170,11740,31350,24670
13,27.32095,716.6338,[M+NH4]+,CE 22:5,117800,143300,154300,144100,169300,167900,60110,93270,82230,70210,125200,110500
14,26.8623,714.6154,[M+NH4]+,CE 22:6,195300,193100,198700,223300,211500,236900,110700,125500,116500,98980,168700,134000
15,18.12035,538.5167,[M+H]+,Cer 34:1;2O|Cer 18:1;2O/16:0,1636000,1605000,1319000,1989000,1442000,1493000,2190000,1989000,2406000,1637000,1506000,1704000
16,16.59108,562.5145,[M+H]+,Cer 36:3;2O|Cer 18:2;2O/18:1,23020,19540,21100,35050,23720,18350,31240,35640,28630,15470,11520,15390
17,17.06305,562.5179,[M+H]+,Cer 36:3;2O|Cer 18:2;2O/18:1,172000,13630,11230,4976,25250,N/A,82890,N/A,8834,26800,27010,10040
18,23.16595,634.6082,[M+H]+,Cer 41:2;2O|Cer 18:2;2O/23:0,110400,106300,80010,214200,183600,94750,138300,228200,126000,92070,154600,87280
19,23.46695,684.6492,[M+H]+,Cer 42:0;4O|Cer 18:0;3O/24:0;(2OH),3342000,258400,106000,222900,125800,224800,392400,443600,147600,92260,128400,95290
20,24.08475,650.6487,[M+H]+,Cer 42:1;2O|Cer 18:1;2O/24:0,491300,535600,432700,620000,314100,521000,523100,483000,500700,292300,379000,406500
21,23.10863,682.6348,[M+H]+,Cer 42:1;4O|Cer 18:1;3O/24:0;(2OH),856600,94590,38780,84830,57430,71170,174100,122900,42420,38530,56350,38690
22,23.29495,648.6289,[M+H]+,Cer 42:2;2O|Cer 18:1;2O/24:1,1193000,1233000,937900,1081000,687100,765800,707100,670000,703400,849000,982100,944300
23,23.58193,648.6289,[M+H]+,Cer 42:2;2O|Cer 18:2;2O/24:0,737400,769000,678800,921200,709200,739400,1052000,1092000,1060000,679200,813800,776800
24,22.42082,646.6079,[M+H]+,Cer 42:3;2O|Cer 18:2;2O/24:1,1030000,1095000,832200,883400,709500,694100,1029000,1045000,983800,895100,1035000,1020000
25,23.39528,674.6395,[M+H]+,Cer 44:3;2O|Cer 18:2;2O/26:1,82410,75860,59780,80940,66820,69300,73820,91480,67190,58680,69140,68260
26,21.89018,586.5439,[M+NH4]+,DG 32:0|DG 16:0_16:0,413800,222600,174700,46530,39060,39620,49780,35790,40120,44490,50950,52900
27,19.7876,584.5265,[M+NH4]+,DG 32:1|DG 14:0_18:1,197200,185100,154100,136100,113600,137700,81350,77220,87410,106600,160000,125400
28,23.1373,614.574,[M+NH4]+,DG 34:0|DG 16:0_18:0,2573000,1428000,937700,228900,205600,203800,159900,188700,152800,169200,153600,128300
29,21.90452,612.5547,[M+NH4]+,DG 34:1|DG 16:0_18:1,964300,933000,876900,673200,522100,618000,608300,578100,592800,552900,846800,871100
30,20.10042,610.538,[M+NH4]+,DG 34:2|DG 16:1_18:1,449500,501200,417000,489200,429400,469600,340300,352100,372400,298900,444400,470000
31,23.15162,642.6005,[M+NH4]+,DG 36:0|DG 18:0_18:0,3079000,1873000,1276000,297800,299200,304200,288000,309000,248800,215900,225200,247000
32,23.88393,642.6002,[M+NH4]+,DG 36:0|DG 18:0_18:0,685000,473500,355200,110800,100700,112400,102200,114700,92020,90280,108000,81610
33,23.18028,640.5888,[M+NH4]+,DG 36:1|DG 18:0_18:1,593900,691200,589800,476700,396000,461800,480400,540400,516900,364100,559700,493200
34,21.91885,638.5726,[M+NH4]+,DG 36:2|DG 18:1_18:1,9455000,10050000,8953000,8490000,7568000,8578000,7623000,7838000,7574000,6522000,10480000,10270000
35,23.10863,666.6021,[M+NH4]+,DG 38:2|DG 18:1_20:1,448800,654500,564700,340000,340800,364100,305500,349800,336300,334100,609900,452500
36,22.24867,664.5872,[M+NH4]+,DG 38:3|DG 18:1_20:2,215600,238900,253300,167700,144000,151000,85050,90400,53180,158800,264000,275600
37,21.97618,662.5707,[M+NH4]+,DG 38:4|DG 18:0_20:4,55930,90150,69420,44450,37860,47330,27300,32740,26550,34930,67080,60880
38,23.84093,694.6321,[M+NH4]+,DG 40:2|DG 18:1_22:1,121400,154500,124400,85360,89440,97880,84140,89890,83540,90500,141400,128100
39,19.2033,684.5469,[M+NH4]+,DG 40:7|DG 18:1_22:6,61640,83320,64960,58290,57800,58740,45010,50530,54570,38770,69500,70760
40,22.63548,716.6199,[M+NH4]+,DG 42:5|DG 18:1_24:4,36790,48320,35970,34550,30240,32680,53300,58490,62790,28640,42430,37870
41,16.40642,556.5298,[M+NH4]+,DG O-31:1|DG O-15:0_16:1,390700,175500,138800,10800,16590,9578,5717,7738,12780,12640,13450,10170
42,13.31688,556.5255,[M+NH4]+,DG O-31:1|DG O-17:0_14:1,220100,95090,70560,4786,N/A,6294,6769,N/A,N/A,9332,4735,N/A
43,23.07997,598.5826,[M+NH4]+,DG O-34:1|DG O-18:1_16:0,297800,268000,138000,122900,75520,254500,122100,154600,207800,112800,149200,136600
44,23.07997,624.5955,[M+NH4]+,DG O-36:2|DG O-18:1_18:1,561200,521200,490300,455800,374900,426000,189500,145400,168000,288300,515600,470400
45,17.86202,780.6314,[M+H]+,DGCC 36:2|DGCC 18:1_18:1,1413000,1283000,1266000,1218000,1094000,1175000,1104000,1210000,1152000,1205000,1147000,1156000
46,19.0603,764.6313,[M+H]+,DGTS 36:2|DGTS 18:1_18:1,64740,63760,77180,68120,67900,58040,71830,69490,67390,67720,34170,59870
47,16.1366,862.6301,[M+H]+,Hex2Cer 34:1;2O|Hex2Cer 18:1;2O/16:0,410400,389400,274400,509000,276500,348400,284700,246300,286700,226100,245400,355900
48,22.24867,946.7178,[M+H]+,Hex2Cer 40:1;2O|Hex2Cer 18:1;2O/22:0,181400,168400,129700,260900,122900,170700,111900,115100,151700,122000,122800,178800
49,23.26628,974.7526,[M+H]+,Hex2Cer 42:1;2O|Hex2Cer 18:1;2O/24:0,306800,265800,210500,340000,184600,298600,231100,192100,265200,160000,166500,223100
50,16.66273,700.571,[M+H]+,HexCer 34:1;2O|HexCer 18:1;2O/16:0,777900,752800,520100,1047000,596100,703600,1145000,948000,1203000,517500,546400,706800
51,22.63548,784.6686,[M+H]+,HexCer 40:1;2O|HexCer 18:1;2O/22:0,303600,360300,276000,445100,264900,292700,364000,304900,397200,200900,227400,252900
52,23.15162,798.6804,[M+H]+,HexCer 41:1;2O,103600,98750,64580,108500,70230,71930,108400,90870,118300,58270,65170,77850
53,23.52428,812.6967,[M+H]+,HexCer 42:1;2O|HexCer 18:1;2O/24:0,497200,444300,351700,616700,311600,415800,492400,512800,627800,283900,326900,349200
54,22.46398,810.6797,[M+H]+,HexCer 42:2;2O|HexCer 18:1;2O/24:1,428100,476200,315000,486400,272500,301300,367400,347100,370300,268500,308700,405200
55,22.87913,810.6839,[M+H]+,HexCer 42:2;2O|HexCer 18:2;2O/24:0,401900,453400,281000,448800,266800,386500,341300,332900,350000,261900,308400,395000
56,23.39528,872.7202,[M+H]+,HexCer 44:1;4O,188100,14640,N/A,17400,N/A,11760,48310,30270,N/A,N/A,12290,N/A
57,23.35228,838.712,[M+H]+,HexCer 44:2;2O,N/A,12890,32820,43650,7037,10730,16260,31750,17020,9096,10080,489.4
58,5.960866,496.3382,[M+H]+,LPC 16:0,908500,1429000,1224000,1027000,1244000,1346000,1658000,1749000,1616000,842900,1248000,1515000
59,6.448017,496.341,[M+H]+,LPC 16:0,106300,165900,147900,131900,145700,152900,176200,187800,187300,103300,142000,170700
60,7.578467,510.3522,[M+H]+,LPC 17:0,69370,105200,93430,79070,102600,101400,110300,182200,120000,63300,84290,150500
61,8.190434,524.369,[M+H]+,LPC 18:0,1974000,2532000,2232000,1895000,2161000,2583000,2779000,3000000,3051000,1438000,1961000,2523000
62,8.617416,524.3659,[M+H]+,LPC 18:0/0:0,187100,222600,176200,164800,183700,215100,230800,249100,230100,128600,171100,209800
63,6.362017,522.3524,[M+H]+,LPC 18:1,657300,886800,748300,614800,729800,818800,1045000,1005000,1066000,771200,854800,968400
64,6.792,522.3551,[M+H]+,LPC 18:1/0:0,254700,308900,326400,228700,256100,267000,341500,366800,342600,369100,371300,435000
65,10.66583,552.4075,[M+H]+,LPC 20:0/0:0,46160,43180,50170,43680,48830,57840,64480,74720,68630,33400,41680,51620
66,8.617416,546.3533,[M+H]+,LPC 20:3,41730,61690,51190,80430,90000,132100,156200,154300,172300,56340,97740,122900
67,6.792,544.3368,[M+H]+,LPC 20:4,41370,54800,56030,41210,44250,60010,40830,37050,40490,25700,38270,44310
68,4.945917,570.3536,[M+H]+,LPC 22:5,53780,75330,85070,52220,89760,72020,68700,59340,59710,49120,47630,41990
69,4.658933,568.334,[M+H]+,LPC 22:6,42120,51090,34480,64410,51160,49220,34280,37570,54140,29340,60290,76530
70,8.846583,482.3185,[M+H]+,LPE 18:0,93220,54040,51850,32380,29260,32560,41560,43060,45420,33290,28630,41980
71,6.648684,480.3043,[M+H]+,LPE 18:1,64820,79810,75810,85160,82870,130300,49460,46370,41650,49250,56110,56840
72,4.90275,502.2919,[M+H]+,LPE 20:4,92040,124300,105800,93190,97280,124300,64130,55960,55560,61580,69990,77270
73,5.1754,528.3133,[M+H]+,LPE 22:5,45770,67450,70380,51090,53560,90370,43980,34420,32040,27230,34360,34080
74,4.615933,526.2923,[M+H]+,LPE 22:6,73340,102100,87170,119700,104000,146500,72080,63440,56390,57980,65800,70090
75,10.87933,376.3438,[M+NH4]+,MG 18:0,111000,45300,24780,16930,8997,8414,25590,8756,7491,24320,8930,10970
76,10.11187,428.3832,[M+NH4]+,MG 22:2,67660,43150,45520,56480,54830,81320,71990,63330,65790,62930,62280,80860
77,21.56237,802.6356,[M+NH4]+,MGDG 36:1|MGDG 18:0_18:1,37760,54830,39050,58770,44080,55850,55180,53220,56810,40380,51650,36320
78,6.46235,524.3332,[M+H]+,PC 17:0,15940,31350,31600,45700,45050,59050,45430,45580,55220,24910,31300,40050
79,16.19377,706.5323,[M+H]+,PC 30:0,1743000,1792000,1603000,1634000,1229000,1374000,1202000,1015000,1217000,1336000,1472000,1510000
80,17.14905,720.5527,[M+H]+,PC 31:0,695600,929900,727100,756300,607400,671500,724300,708000,821700,482400,706200,797900
81,17.09172,716.5213,[M+H]+,PC 31:2,580300,705100,661100,621800,592500,614400,420800,409700,480000,517300,591000,659300
82,18.20652,734.5657,[M+H]+,PC 32:0|PC 16:0_16:0,6357000,6273000,5408000,5987000,4374000,4882000,5906000,4959000,6089000,4786000,5131000,5428000
83,16.33542,732.5531,[M+H]+,PC 32:1|PC 14:0_18:1,9095000,9154000,8148000,7806000,6984000,7665000,6215000,6199000,6917000,6560000,7458000,7519000
84,18.80315,748.5827,[M+H]+,PC 33:0,186500,173400,400300,305800,137600,163600,168600,195700,201100,93180,215900,160300
85,19.28897,748.587,[M+H]+,PC 33:0,149400,204800,171600,216600,160100,182400,180900,191600,229800,150600,155700,191200
86,17.31955,746.5651,[M+H]+,PC 33:1,2341000,2690000,2253000,3049000,2239000,2741000,2927000,2827000,2898000,2276000,2965000,2870000
87,15.78228,744.548,[M+H]+,PC 33:2,8442000,10040000,8777000,9644000,8239000,9032000,7658000,7756000,7980000,8966000,11100000,10490000
88,20.38442,762.6036,[M+H]+,PC 34:0,1361000,1380000,1057000,1685000,956000,1156000,1233000,1130000,1469000,954700,1017000,1175000
89,18.30567,760.5831,[M+H]+,PC 34:1|PC 16:0_18:1,54940000,55900000,49810000,47250000,39960000,42840000,47480000,48840000,53920000,45370000,48580000,48590000
90,16.6769,758.5698,[M+H]+,PC 34:2|PC 16:1_18:1,16070000,17370000,15620000,21060000,17040000,19670000,19250000,21150000,21250000,13620000,11030000,14010000
91,16.0231,756.5507,[M+H]+,PC 34:3,936800,1161000,809500,1295000,1103000,1046000,718100,779500,877300,729200,760800,766800
92,18.88915,774.5967,[M+H]+,PC 35:1,905600,1174000,955700,910800,827400,1056000,1350000,1371000,1349000,802600,1010000,1005000
93,19.41762,774.5941,[M+H]+,PC 35:1,520600,805900,637100,672200,585600,674300,867800,855100,1013000,610900,683900,648800
94,17.46287,772.5802,[M+H]+,PC 35:2,1044000,1552000,1173000,1035000,977800,1214000,946700,1164000,1343000,1088000,1317000,1289000
95,16.32125,770.5678,[M+H]+,PC 35:3,147800,N/A,108600,160200,122500,89740,127600,132200,151000,N/A,153600,159900
96,15.58395,768.559,[M+H]+,PC 35:4,2813000,2954000,2607000,2243000,1859000,2158000,2050000,2003000,2001000,2192000,2767000,2715000
97,22.306,790.6318,[M+H]+,PC 36:0,110600,119400,85050,147800,80300,103600,103700,89430,109700,68070,87530,109600
98,20.4984,788.6138,[M+H]+,PC 36:1|PC 18:0_18:1,9815000,10930000,9032000,9602000,7693000,8590000,11900000,12020000,13330000,7861000,9256000,9584000
99,18.43367,786.599,[M+H]+,PC 36:2|PC 18:1_18:1,171900000,175900000,159000000,164200000,145600000,153100000,169000000,174000000,191200000,159300000,167100000,160100000
100,16.9484,784.5852,[M+H]+,PC 36:3|PC 18:1_18:2,4238000,4813000,5607000,3134000,3161000,2918000,3374000,3273000,3576000,5353000,4214000,4137000
101,16.51992,782.5636,[M+H]+,PC 36:4|PC 16:0_20:4,2585000,2731000,2310000,1719000,1655000,1937000,1764000,1740000,2319000,1651000,1848000,1873000
102,15.34297,780.5563,[M+H]+,PC 36:5,134000,163400,57990,81510,117700,124700,247000,186300,264800,132600,115200,138900
103,14.23768,778.5391,[M+H]+,PC 36:6,26220,12410,13460,12550,9698,11230,16160,11770,14700,11130,9400,8904
104,19.37495,800.6111,[M+H]+,PC 37:2,327000,295300,290700,268700,192300,158200,236700,290200,326500,206400,301600,291400
105,22.24867,816.6557,[M+H]+,PC 38:1,209300,197500,121600,159600,105900,180700,211000,221000,220000,147500,182900,77640
106,22.44967,816.6477,[M+H]+,PC 38:1,396300,342700,280200,221400,186500,201500,224900,217800,217000,242400,312400,318000
107,20.41308,814.6293,[M+H]+,PC 38:2|PC 18:1_20:1,2510000,3236000,2642000,2097000,1604000,1639000,1993000,1889000,2046000,2157000,2751000,2711000
108,19.43195,812.6089,[M+H]+,PC 38:3,1211000,1512000,1232000,1412000,847400,632000,853900,857700,960200,1355000,1358000,1277000
109,18.00552,810.5995,[M+H]+,PC 38:4,1548000,1567000,1369000,1176000,1047000,1201000,1125000,1181000,1248000,1175000,1271000,1298000
110,18.60365,832.5791,[M+Na]+,PC 38:4,1126000,1209000,970700,970700,789800,889300,1206000,1216000,1338000,866700,870900,962800
111,18.57532,810.5961,[M+H]+,PC 38:4|PC 18:0_20:4,1209000,1275000,1052000,850600,651400,841600,922800,963500,933700,904700,1057000,1068000
