"lipidName","Aml.12_1","Aml.12_2","Aml.12_3","Aml.12_1i.1","Aml.12_1i.2","Aml.12_1i.3","Aml.12_1.2i.1","Aml.12_1.2i.2","Aml.12_1.2i.3","Aml.12_2i.1","Aml.12_2i.2","Aml.12_2i.3"
"BMP 36:2|BMP 18:1_18:1",1179000,1371000,1187000,1256000,1136000,1205000,1414000,1336000,1593000,868300,1248000,1226000
"BMP 38:5|BMP 18:1_20:4",31920,40470,40980,55430,42750,54670,79810,79850,86030,30260,39370,34910
"BMP 40:7|BMP 18:1_22:6",139000,70710,66380,103600,90680,109500,176200,153400,142000,68030,75990,77780
"BMP 42:10|BMP 20:4_22:6",13610,7198,3082,13030,13580,10340,34230,30030,22520,6432,7590,8278
"BMP 44:11|BMP 22:5_22:6",30560,46900,43520,46020,37330,55730,31560,55810,55980,68960,95120,47740
"BMP 44:12|BMP 22:6_22:6",28940,26450,19810,37590,27700,38180,71600,68340,51880,11150,18870,23490
"CAR 18:1",621000,104000,95830,84410,114400,105700,235100,177300,86970,108400,118300,107900
"CE 18:3",61570,63360,60940,73670,54220,61300,51630,52570,53660,44760,54510,41830
"CE 20:3",139900,77180,70870,81750,77650,66850,38750,57490,35390,42250,60670,52170
"CE 20:4",223000,280700,247900,233800,259400,287600,112000,149600,129800,107100,216100,191800
"CE 20:5",80750,82270,90200,95000,101800,105300,47000,56910,43050,40460,70770,60600
"CE 22:4",37740,41060,42220,35290,40120,39470,19560,24800,20170,11740,31350,24670
"CE 22:5",117800,143300,154300,144100,169300,167900,60110,93270,82230,70210,125200,110500
"CE 22:6",195300,193100,198700,223300,211500,236900,110700,125500,116500,98980,168700,134000
"Cer 34:1;2O|Cer 18:1;2O/16:0",1636000,1605000,1319000,1989000,1442000,1493000,2190000,1989000,2406000,1637000,1506000,1704000
"Cer 42:0;4O|Cer 18:0;3O/24:0;(2OH)",3342000,258400,106000,222900,125800,224800,392400,443600,147600,92260,128400,95290
"Cer 42:1;2O|Cer 18:1;2O/24:0",491300,535600,432700,620000,314100,521000,523100,483000,500700,292300,379000,406500
"Cer 42:1;4O|Cer 18:1;3O/24:0;(2OH)",856600,94590,38780,84830,57430,71170,174100,122900,42420,38530,56350,38690
"Cer 42:2;2O|Cer 18:1;2O/24:1",1193000,1233000,937900,1081000,687100,765800,707100,670000,703400,849000,982100,944300
"Cer 42:2;2O|Cer 18:2;2O/24:0",737400,769000,678800,921200,709200,739400,1052000,1092000,1060000,679200,813800,776800
"Cer 42:3;2O|Cer 18:2;2O/24:1",1030000,1095000,832200,883400,709500,694100,1029000,1045000,983800,895100,1035000,1020000
"Cer 44:3;2O|Cer 18:2;2O/26:1",82410,75860,59780,80940,66820,69300,73820,91480,67190,58680,69140,68260
"DG 32:0|DG 16:0_16:0",413800,222600,174700,46530,39060,39620,49780,35790,40120,44490,50950,52900
"DG 32:1|DG 14:0_18:1",197200,185100,154100,136100,113600,137700,81350,77220,87410,106600,160000,125400
"DG 34:0|DG 16:0_18:0",2573000,1428000,937700,228900,205600,203800,159900,188700,152800,169200,153600,128300
"DG 34:1|DG 16:0_18:1",964300,933000,876900,673200,522100,618000,608300,578100,592800,552900,846800,871100
"DG 34:2|DG 16:1_18:1",449500,501200,417000,489200,429400,469600,340300,352100,372400,298900,444400,470000
"DG 36:1|DG 18:0_18:1",593900,691200,589800,476700,396000,461800,480400,540400,516900,364100,559700,493200
"DG 36:2|DG 18:1_18:1",9455000,10050000,8953000,8490000,7568000,8578000,7623000,7838000,7574000,6522000,10480000,10270000
"DG 38:2|DG 18:1_20:1",448800,654500,564700,340000,340800,364100,305500,349800,336300,334100,609900,452500
