LipidIon,LipidGroup,Class,FattyAcid,FA1,FA2,COS7OA_3,COS7OA_2,COS7OA_1,COSOADGAT1i_3,COSOADGAT1i_2,COSOADGAT1i_1,COSOADGAT2i_3,COSOADGAT2i_2,COSOADGAT2i_1,COS7OADGAT1+2i_3,COS7OADGAT1+2i_2,COS7OADGAT1+2i_1
Cer(d28:0)+H,Cer(d28:0)+H,Cer,(d28:0),(d28:0),,9296072.884,8113669.37,1.94E+07,1.53E+07,1.11E+07,6949586.005,1.13E+07,1.39E+07,1.74E+07,2.41E+07,1.09E+07,1.43E+07
Cer(d30:0)+H,Cer(d30:0)+H,Cer,(d30:0),(d30:0),,7809081.688,6673209.545,1.39E+07,1.15E+07,8567149.461,5430359.719,7827686.961,1.01E+07,1.23E+07,1.98E+07,7971844.479,9475264.231
Cer(d30:0)+H,Cer(d30:0)+H,Cer,(d30:0),(d30:0),,7953968.87,6837045.672,1.47E+07,1.29E+07,8513927.335,6053213.475,8217585.857,1.04E+07,1.39E+07,1.96E+07,9094334.373,1.01E+07
Cer(d32:0)+H,Cer(d32:0)+H,Cer,(d32:0),(d32:0),,6.53E+07,5.47E+07,1.13E+08,8.70E+07,7.42E+07,4.79E+07,5.47E+07,8.34E+07,9.11E+07,1.45E+08,6.08E+07,6.93E+07
Cer(d32:0)+H,Cer(d32:0)+H,Cer,(d32:0),(d32:0),,6526320.493,6752325.227,1.21E+07,9967571.344,9074643.242,5430769.967,6261948.665,8664674.561,1.10E+07,1.78E+07,6851502.988,8247775.618
Cer(d18:1_14:0)+H,Cer(d32:1)+H,Cer,(d18:1_14:0),(d18:1),(14:0),1.98E+07,1.17E+07,1.41E+07,2.97E+07,6.07E+07,2.47E+07,2.78E+07,2.16E+07,1.14E+07,5.60E+07,2.03E+07,4.32E+07
Cer(d18:1_15:0)+H,Cer(d33:1)+H,Cer,(d18:1_15:0),(d18:1),(15:0),2.37E+07,1.45E+07,2.04E+07,2.82E+07,3.98E+07,2.32E+07,2.87E+07,2.48E+07,1.39E+07,3.89E+07,2.01E+07,4.10E+07
Cer(d34:0)+H,Cer(d34:0)+H,Cer,(d34:0),(d34:0),,3.07E+07,2.00E+07,4.69E+07,3.35E+07,2.68E+07,1.83E+07,2.12E+07,3.25E+07,3.30E+07,4.93E+07,2.12E+07,2.83E+07
Cer(d34:0)+H,Cer(d34:0)+H,Cer,(d34:0),(d34:0),,6.02E+07,4.69E+07,9.29E+07,7.51E+07,6.42E+07,4.24E+07,4.86E+07,7.29E+07,6.90E+07,1.14E+08,4.69E+07,6.32E+07
Cer(d18:0_16:0)+H,Cer(d34:0)+H,Cer,(d18:0_16:0),(d18:0),(16:0),191761.398,462353.792,574402.516,1053798.212,2648486.279,641049.264,828052.152,537196.797,213321.9396,1600548.326,1642541.105,3980791.042
