reaction_id,Pathway,lmp_id,gene_name,species_long,gene_symbol,R_lipid,P_lipid
R-HSA-193385,Hydrolysis of choloyl-CoA to cholate and CoASH,LMP002714,acyl-CoA thioesterase 8,Homo sapiens,ACOT8,choloyl-CoA,cholate
R-HSA-2066779,Conversion of DHA-CoA to docosahexaenoic acid (DHA),LMP002714,acyl-CoA thioesterase 8,Homo sapiens,ACOT8,FA(22:6)-CoA,FA(22:6)
R-HSA-390304,acetyl-CoA + H2O => acetate + CoASH,LMP002714,acyl-CoA thioesterase 8,Homo sapiens,ACOT8,FA(2:0)-CoA,FA(2:0)
R-HSA-5690042,"Peroxisomal ACOT4,6,8 hydrolyse MCFA-CoA, LCFA-CoA",LMP002714,acyl-CoA thioesterase 8,Homo sapiens,ACOT8,LCFA-CoA(C12-C18),LCFA(C12-C18)
R-HSA-429698,"PRKD1,2,3 phosphorylates COL4A3BP-2",LMP005071,"collagen, type IV, alpha 3 (Goodpasture antigen) binding protein",Homo sapiens,COL4A3BP,CERT,monophospho-CERT
R-HSA-1482533,2-acyl LPC is acylated to PC by LPCAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,2-acyl LPC,PC
R-HSA-1482533,2-acyl LPC is acylated to PC by LPCAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,acyl-CoA,CoA
R-HSA-1482547,1-acyl LPC is acylated to PC by LPCAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,1-acyl LPC,PC
R-HSA-1482547,1-acyl LPC is acylated to PC by LPCAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,acyl-CoA,CoA
R-HSA-1482636,1-acyl LPS is acylated to PS by LPSAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,1-acyl LPS,PS
R-HSA-1482636,1-acyl LPS is acylated to PS by LPSAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,acyl-CoA,CoA
R-HSA-1482646,2-acyl LPE is acylated to PE by LPEAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,2-acyl LPE,PE
R-HSA-1482646,2-acyl LPE is acylated to PE by LPEAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,acyl-CoA,CoA
R-HSA-1482667,1-acyl LPE is acylated to PE by LPEAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,1-acyl LPE,PE
R-HSA-1482667,1-acyl LPE is acylated to PE by LPEAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,acyl-CoA,CoA
R-HSA-1482691,2-acyl LPS is acylated to PS by LPSAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,2-acyl LPS,PS
R-HSA-1482691,2-acyl LPS is acylated to PS by LPSAT,LMP006804,lysophosphatidylcholine acyltransferase 3,Homo sapiens,LPCAT3,acyl-CoA,CoA
R-HSA-5362518,"RDH10,16,DHRS9,RDHE2 oxidise atROL to atRAL",LMP000071,dehydrogenase/reductase (SDR family) member 9,Homo sapiens,DHRS9,all-trans-retinol (atROL),all-trans-retinal (atRAL)
R-HSA-2162194,COQ9 dimer:COQ7:Fe2+ hydroxylates DMQ10H2 to DeMQ10H2,LMP001090,"coenzyme Q7 homolog, ubiquinone (yeast)",Homo sapiens,COQ7,2-decaprenyl-6-methoxy-3-methylhydroquinone,3-demethylubiquinol-10
R-HSA-176606,"Adenosine 3',5'-bisphosphate (PAP) + H2O => AMP + orthophosphate",LMP000727,"3'(2'), 5'-bisphosphate nucleotidase 1",Homo sapiens,BPNT1,PAP,AMP
R-HSA-1482961,CDP-Cho and DAG are converted to PC by CEPT1 at the ER membrane,LMP002380,choline/ethanolamine phosphotransferase 1,Homo sapiens,CEPT1,DAG,PC
R-HSA-1482961,CDP-Cho and DAG are converted to PC by CEPT1 at the ER membrane,LMP002380,choline/ethanolamine phosphotransferase 1,Homo sapiens,CEPT1,CDP-choline,CMP
R-HSA-1482962,CDP-ETA and DAG are converted to PE by CEPT1/EPT1,LMP002380,choline/ethanolamine phosphotransferase 1,Homo sapiens,CEPT1,DAG,PE
R-HSA-1482962,CDP-ETA and DAG are converted to PE by CEPT1/EPT1,LMP002380,choline/ethanolamine phosphotransferase 1,Homo sapiens,CEPT1,CDP-ethanolamine,CMP
R-HSA-1483121,PA is converted to CDP-DAG by CDS1,LMP000649,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,Homo sapiens,CDS1,PA,CDP-DAG
R-HSA-1483121,PA is converted to CDP-DAG by CDS1,LMP000649,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,Homo sapiens,CDS1,CTP,PPi
R-HSA-1483174,PE is methylated to PC by PEMT,LMP002703,phosphatidylethanolamine N-methyltransferase,Homo sapiens,PEMT,PE,PC
R-HSA-1483174,PE is methylated to PC by PEMT,LMP002703,phosphatidylethanolamine N-methyltransferase,Homo sapiens,PEMT,AdoMet,AdoHcy
R-HSA-1482976,CDP-DAG is converted to PI by CDIPT,LMP002715,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,Homo sapiens,CDIPT,CDP-DAG,PI
