,,,,,OA,OA,OA,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i,OADGAT1i,OADGAT1i,OADGAT2i,OADGAT2i,OADGAT2i
ID,RT,m/z,Type,Metabolite name,cos7_1,cos7_2,cos7_3,cos_1-2i-1,cos_1-2i-2,cos_1-2i-3,cos7_1i-1,cos7_1i-2,cos7_1i-3,cos7_2i-1,cos7_2i-2,cos7_2i-3
1,16.09393,792.5687,[M+NH4]+,BMP 36:2|BMP 18:1_18:1,931400,1302000,1337000,1049000,1010000,931000,734300,1373000,859000,996100,409600,1116000
2,14.59183,814.553,[M+NH4]+,BMP 38:5|BMP 18:1_20:4,18430,25590,20480,17330,14550,15650,17630,24120,20620,11380,9995,15300
3,14.26602,838.5526,[M+NH4]+,BMP 40:7|BMP 18:1_22:6,86100,102900,68540,89680,60160,54240,65210,56110,54670,59070,85610,68320
4,12.79273,860.5398,[M+NH4]+,BMP 42:10|BMP 20:4_22:6,17880,23340,17190,1219,1185,N/A,22050,31340,18350,10150,3148,995.4
5,12.92023,886.5531,[M+NH4]+,BMP 44:11|BMP 22:5_22:6,15600,10710,10960,24280,22500,18490,6584,16250,7839,8623,23510,17610
6,12.45242,884.543,[M+NH4]+,BMP 44:12|BMP 22:6_22:6,71480,98830,77300,71800,70010,85420,80270,100400,84130,41400,54840,63530
7,6.347683,426.3566,[M]+,CAR 18:1,239600,140200,123900,416400,165100,126100,333500,94200,78750,124800,393700,128700
8,27.13462,664.6003,[M+NH4]+,CE 18:3,1812,2694,4287,2952,2567,919,N/A,10170,N/A,2444,N/A,2412
9,27.85142,692.6263,[M+NH4]+,CE 20:3,117100,146500,131800,96050,85460,102600,N/A,76930,74000,57030,N/A,132400
10,27.22062,690.6113,[M+NH4]+,CE 20:4,210500,286800,255500,214100,172000,233500,147400,169900,128600,166100,16420,275400
11,26.66097,688.5993,[M+NH4]+,CE 20:5,69670,70590,75050,72070,55570,76270,40870,56030,39190,60960,10290,79180
12,27.95125,718.6391,[M+NH4]+,CE 22:4,40860,52070,52050,47700,2515,816,26240,38000,1330,26680,2633,56370
13,27.32095,716.6338,[M+NH4]+,CE 22:5,206400,256300,246000,299800,164600,250700,155800,174500,161800,139700,14730,261500
14,26.8623,714.6154,[M+NH4]+,CE 22:6,405700,477300,422600,453500,307000,460000,298500,348000,292800,259800,43220,474900
15,18.12035,538.5167,[M+H]+,Cer 34:1;2O|Cer 18:1;2O/16:0,185400,240100,200100,197900,217000,236100,230300,284600,238000,145300,139400,199300
16,16.59108,562.5145,[M+H]+,Cer 36:3;2O|Cer 18:2;2O/18:1,6455,9149,4728,15080,9856,10370,8257,13070,11110,3743,5858,569.2
17,17.06305,562.5179,[M+H]+,Cer 36:3;2O|Cer 18:2;2O/18:1,18560,17480,3915,47630,6942,N/A,29240,N/A,9713,19570,60490,14650
18,23.16595,634.6082,[M+H]+,Cer 41:2;2O|Cer 18:2;2O/23:0,N/A,N/A,20750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,23.46695,684.6492,[M+H]+,Cer 42:0;4O|Cer 18:0;3O/24:0;(2OH),315000,155800,138300,1086000,121000,88970,565000,117800,101400,161500,627300,153700
20,24.08475,650.6487,[M+H]+,Cer 42:1;2O|Cer 18:1;2O/24:0,148700,221200,218400,130100,126100,193700,147300,190400,163400,143500,71740,206100
21,23.10863,682.6348,[M+H]+,Cer 42:1;4O|Cer 18:1;3O/24:0;(2OH),119300,73180,69490,1776,2617,44420,221600,53190,46460,64990,281700,45750
22,23.29495,648.6289,[M+H]+,Cer 42:2;2O|Cer 18:1;2O/24:1,531200,771900,684400,382100,367900,443100,513700,540700,424800,408200,344300,597400
23,23.58193,648.6289,[M+H]+,Cer 42:2;2O|Cer 18:2;2O/24:0,31260,79340,76320,52340,46040,46220,37780,67130,54160,95290,72020,78410
24,22.42082,646.6079,[M+H]+,Cer 42:3;2O|Cer 18:2;2O/24:1,57340,99200,93540,75850,61380,73120,61440,72090,51990,60470,62340,81370
25,23.39528,674.6395,[M+H]+,Cer 44:3;2O|Cer 18:2;2O/26:1,26320,39650,42520,26630,29070,23740,25790,2145,24660,29480,35940,40470
26,21.89018,586.5439,[M+NH4]+,DG 32:0|DG 16:0_16:0,46910,46310,45220,58280,40630,42170,41600,53100,136700,35630,35870,31580
27,19.7876,584.5265,[M+NH4]+,DG 32:1|DG 14:0_18:1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,23.1373,614.574,[M+NH4]+,DG 34:0|DG 16:0_18:0,230400,178300,207500,217100,183300,161500,222300,189000,943000,163200,153000,140800
29,21.90452,612.5547,[M+NH4]+,DG 34:1|DG 16:0_18:1,100000,124500,113200,129800,113000,129500,110500,127300,117500,71740,62790,91640
30,20.10042,610.538,[M+NH4]+,DG 34:2|DG 16:1_18:1,30200,N/A,52880,53430,36770,N/A,N/A,N/A,N/A,21720,32030,N/A
31,23.15162,642.6005,[M+NH4]+,DG 36:0|DG 18:0_18:0,265600,269700,279000,298600,228800,279900,292800,304000,1134000,246300,238400,218000
32,23.88393,642.6002,[M+NH4]+,DG 36:0|DG 18:0_18:0,92720,94580,97550,107400,98280,90730,77850,103200,317300,113000,81790,89010
33,23.18028,640.5888,[M+NH4]+,DG 36:1|DG 18:0_18:1,326400,421000,425600,331800,249900,315500,190600,12440,205400,299200,306400,455500
34,21.91885,638.5726,[M+NH4]+,DG 36:2|DG 18:1_18:1,772900,1062000,1001000,1142000,984800,1176000,797500,1155000,917300,555400,671700,894600
35,23.10863,666.6021,[M+NH4]+,DG 38:2|DG 18:1_20:1,133800,140300,182700,220300,152200,189700,119800,174900,164000,117200,89740,111000
36,22.24867,664.5872,[M+NH4]+,DG 38:3|DG 18:1_20:2,N/A,37450,30930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,21.97618,662.5707,[M+NH4]+,DG 38:4|DG 18:0_20:4,140300,202800,191400,111700,84370,119100,55850,76130,57040,129600,140000,211500
38,23.84093,694.6321,[M+NH4]+,DG 40:2|DG 18:1_22:1,25480,49330,46290,43950,50980,61580,38400,48020,37630,33570,23960,41070
39,19.2033,684.5469,[M+NH4]+,DG 40:7|DG 18:1_22:6,39620,58040,47920,35350,26470,35030,24660,30960,20720,28270,34940,44160
40,22.63548,716.6199,[M+NH4]+,DG 42:5|DG 18:1_24:4,26780,33560,26980,72860,70010,76670,39600,64490,40110,21290,22660,26340
41,16.40642,556.5298,[M+NH4]+,DG O-31:1|DG O-15:0_16:1,34140,30310,24990,35720,17430,15630,17440,28570,137100,15290,15420,20340
42,13.31688,556.5255,[M+NH4]+,DG O-31:1|DG O-17:0_14:1,N/A,N/A,N/A,16820,7178,N/A,N/A,23130,N/A,10120,N/A,N/A
43,23.07997,598.5826,[M+NH4]+,DG O-34:1|DG O-18:1_16:0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,23.07997,624.5955,[M+NH4]+,DG O-36:2|DG O-18:1_18:1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,17.86202,780.6314,[M+H]+,DGCC 36:2|DGCC 18:1_18:1,1088000,1211000,1160000,867200,1108000,1033000,776100,1158000,863500,901200,1195000,926600
46,19.0603,764.6313,[M+H]+,DGTS 36:2|DGTS 18:1_18:1,67360,100300,84070,12080,56660,86960,68670,74650,59820,56690,71430,105600
