"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3"
"Cer(14:0)",28200000,23400000,39600000,86400000,40600000,1.12e+08
"Cer(15:0)",20400000,14500000,23700000,4.1e+07,20100000,38900000
"Cer(16:0)",458560545.053,354910298.6642,560125542.365,996865538.155,467862192.582,1292524682.982
"Cer(16:1)",NA,NA,NA,1942831.676,NA,267469.887
"Cer(17:0)",14486530.324,11315931.411,16338841.662,28200000,13671363.64,34400000
"Cer(18:0)",65019201.493,39410536.931,63643213.191,89539928.053,44791445.454,130570384.319
"Cer(18:1)",19975415.069,28535473.749,30803045.688,105417835.407,63823782.872,151474220.889
"Cer(18:2)",0.069,NA,NA,NA,11066.479,NA
"Cer(19:0)",3850354.364,5910016.236,9474699.106,4402168.57,4536263.909,6818075.285
"Cer(20:0)",29600000,12159297.054,14961416.227,20300000,8588171.307,20177208.471
"Cer(20:1)",1489957.363,395425.2516,2050247.413,4183887.553,1698480.527,3959881.701
"Cer(22:0)",227373255.122,116289312.803,162053800.247,156956661.182,88933169.782,247384393.396
"Cer(22:1)",27400000,30400000,47400000,61400000,2.8e+07,88800000
"Cer(23:0)",46749694.376,27791797.832,37257354.753,40982707.742,22497028.602,30964063.321
"Cer(24:0)",336797124.823,323931860.368,358767450.27,317901621.385,222700000,809439275.93
"Cer(24:1)",957798916.827,1124400497.216,1638600000,959665569.717,461408268.436,1081816929.491
"Cer(24:3)",742041.807,865048.5237,2360090.459,5533319.453,2052019.666,3614585.583
"Cer(24:4)",1053394.235,953309.061,2216853.837,24484079.312,11062466.037,58800000
"Cer(24:5)",354816.703,623451.222,1121031.323,18900000,8422256.621,26700000
"Cer(25:0)",10355380.3012,12729199.8959,14711506.973,9303555.2446,36329375.994,22726217.8
"Cer(25:1)",2547096.072,4243257.91,4762409.927,2196681.083,2426383.461,3945847.016
"Cer(26:0)",25854746.4676,31681515.1753,18404456.37,17833321.6182,23392963.206,67308587.863
"Cer(26:1)",18456715.4164,18350712.1101,25067878.6494,15423974.5902,9319625.7218,6691161.4647
"Cer(26:2)",1701200.684,2880342.2417,3560105.755,2094873.14,1951698.554,2885662.021
"Cer(26:4)",264333.333,233828.8164,400234.0458,5011394.862,2371577.33,4179154.373
"Cer(26:5)",515621.579,678803.685,858063.23,7924076.451,3381982.024,9393584.224
"Cer(d15:0)",2466781.631,4982096.622,6237411.278,5570749.865,3044857.032,4953108.397
"Cer(d15:1)",25822.5432,49218.1569,92281.338,131220.6426,165006.307,23775.435
"Cer(d17:1)",10700000,11700000,18800000,15400000,6240246.647,12100000
"Cer(d18:0)",89576455.295,71262766.871,106042603.821,159016779.959,95432220.001,176572456.274
"Cer(d18:1)",927542783.933,841815772.1821,1243684237.6498,1239965471.849,605314682.271,1493337871.527
"Cer(d18:2)",101568026.642,98432713.726,139253295.654,147615925.244,70262071.896,190023438.279
"Cer(d20:1)",5540682.853,6793064.688,12303003.665,11904935.597,4364766.832,4707843.315
"Cer(d20:2)",16200000,23300000,35800000,17500000,6436291.952,5843313.694
"Cer(m17:0)",3850354.364,5910016.236,9474699.106,4402168.57,4536263.909,6818075.285
"Cer(m18:1)",16799130.693,17168075.997,27078632.654,26800000,13316784.897,35800000
"Cer(t17:0)",38511401.197,32700539.184,54163048.845,72970002.335,67431115.836,61954078.116
"Cer(t17:1)",1141687.698,694843.602,3182523.644,679866.6167,8986052.228,1078991.391
"Cer(t18:0)",968215264.0854,922170710.0426,1241169693.6134,1154044811.5052,618291017.0528,1861421023.8527
"Cer(t18:1)",98889781.4036,124213228.7443,143535212.434,146682667.1165,77788079.027,393846727.171
"Cer(t20:0)",2318169.143,2196870.105,1621597.789,3679425.894,2052312.78,2324526.479
"Cer(t20:1)",16200000,23200000,35800000,17500000,6269813.537,4936156.801
"ChE(0:0)",29400000,334519.8615,919964.724,4073663.559,1916397.897,743979.423
"ChE(20:4)",26900000,26500000,36900000,29500000,12800000,20700000
"ChE(20:5)",14900000,1.3e+07,17300000,15900000,7710759.938,17700000
"ChE(22:5)",20500000,18100000,28900000,20900000,10400000,20300000
"ChE(22:6)",50300000,53600000,62100000,8.7e+07,44200000,1e+08
"DG(15:0)",3802109.155,898972.4955,1571688.961,3017949.939,1589806.7255,6850000
"DG(16:0)",578126805.3505,80497636.604,219405872.15715,137613819.052,79223939.5945,329300000
"DG(16:1)",55950000,4448236.7145,6980440.1695,10706855.023,4442019.8665,13458444.98125
"DG(17:0)",9991289.043,4614660.5864,9287706.6745,7598210.6025,3943358.084,18562391.1795
"DG(17:1)",3667042.1635,1683450.3575,2611683.7395,3976249.322,2275575.2335,7500000
"DG(18:0)",751015973.439,377005746.0149,1802040087.211,486685142.132,220708556.995,1327712198.213
"DG(18:1)",1859635499.934,1132761306.2635,1686696060.8475,3448793977.5435,1748649534.3158,6662862556.37725
"DG(18:2)",31673097.11,27157735.0465,38785286.78415,170798517.09595,29875571.06335,938100000
"DG(18:3)",3118550.4635,3630151.061,3622213.556,5687398.724,2587927.1298,157700000
"DG(19:0)",3590330.935,2393801.733,3241155.014,2651342.83,1492785.0345,3918098.039
"DG(19:1)",2495074.186,1861512.5415,2511682.8125,5100000,2434966.1385,8450000
"DG(20:0)",13437750.5935,6297968.988,19887941.0965,10250745.03165,5000315.72485,59857198.322
"DG(20:1)",53350000,68400000,106450000,196800000,108500000,283500000
"DG(20:3)",16950000,15950000,19550000,40650000,21325683.6775,83800000
"DG(20:4)",82335115.8105,75047668.816,108441619.153,144300000,72874875.963,357650000
"DG(20:5)",1335843.459,1148665.8895,1065238.5475,7250000,4098732.424,13550000
"DG(22:0)",NA,1084.815,NA,307304.4573,21222.8265,13950000
"DG(22:1)",13400000,15250000,23600000,5.8e+07,28550000,71500000
"DG(22:3)",877774.6235,711743.571,1174051.13,7850000,3897170.1605,16150000
"DG(22:4)",13611972.1395,9905758.904,16645725.5725,74193059.7075,35653205.2475,161292608.7115
"DG(22:5)",17400000,13305056.3885,20050000,54450000,25136449.3805,117300000
"DG(22:6)",28042147.416,26623691.0675,40150000,73402340.1865,34407728.589,154650000
"DG(24:1)",3985417.4355,5850000,10300000,7e+06,2625779.763,3536013.357
"LPC(14:0)",6866427.247,2700369.782,3487795.143,5090550.249,2686395.707,359088.661
"LPC(15:0)",19800000,1322679.5,5292046.003,3301307.454,1674071.045,3078265.233
"LPC(16:0)",3504100000,113197562.602,857200000,215571317.619,113375891.064,219467682.487
"LPC(16:1)",38600000,16508432.255,26585960.689,22389268.5594,11397415.9378,23376315.6944
"LPC(17:0)",48400000,7664175.588,19600000,18600000,10200000,1.8e+07
"LPC(18:0)",1845300000,159567343.958,606760095.636,369287189.775,216588044.465,412408301.676
"LPC(18:1)",182500000,107100000,169700000,3.55e+08,190100000,415900000
"LPC(18:2)",6611794.1184,3406580.9016,5125913.1802,8587796.52,3161116.9335,9262537.365
"LPC(19:0)",1.4e+07,3860077.967,7805784.704,8586596.902,5145776.125,13800000
"LPC(20:0)",23394001.0175,5664056.0285,10631664.2708,13985932.7,7264017.29,17215867.446
"LPC(20:1)",14853315.716,8673534.166,14040499.765,19599809.528,9737483.914,19457646.224
"LPC(20:3)",1312410.633,3444089.492,3826492.708,9657205.77,4327025.408,9412542.283
"LPC(20:4)",22800000,16200000,24700000,42700000,18600000,46900000
"LPC(20:5)",1448935.512,1397053.967,2253985.359,7260174.128,2019554.761,5342064.976
"LPC(22:0)",21700000,1475201.96,6529739.978,3986901.904,2169977.741,3986900.603
"LPC(22:1)",4454805.026,2177717.086,4408972.899,6513600.944,2956577.538,10500000
"LPC(22:5)",2774369.803,8601664.357,1190663.938,25600000,10400000,22700000
"LPC(22:6)",4902186.712,7629013.119,1110321.799,21700000,10800000,20700000
"LPC(24:0)",25456.665,73890.7227,115302.583,6895398.982,NA,66549.3117
"LPC(24:1)",1547213.741,274432.681,2220872.487,2315267.205,847756.157,526214.895
"LPC(28:0)",23600000,14800000,22300000,41900000,16500000,40100000
"LPC(28:1)",5017172.86,1182092.526,2134919.242,1835393.262,667961.074,1817067.19
"LPC(32:1)",21500000,18500000,31100000,43100000,16300000,33700000
"LPC(34:1)",74700000,60600000,1.24e+08,1.31e+08,5.4e+07,1.11e+08
"LPE(16:0)",6045390.745,3806722.206,7289170.34,11900000,5100960.073,9681520.972
"LPE(16:1)",1744984.123,3314493.505,3794483.105,2155747.241,1746615.031,2694601.857
"LPE(18:0)",30900000,5075462.623,13900000,14100000,7348037.652,11800000
"LPE(18:1)",20400000,17300000,30300000,57300000,27400000,60700000
"LPE(20:3)",3714.1548,938877.99,1223416.306,128852.3619,453137.4,792819.948
"LPE(20:4)",1.7e+07,35400000,40800000,21200000,17500000,29700000
"LPE(20:5)",1400551.999,2927832.743,3314195.851,1528026.517,1340332.099,2262937.618
"LPE(22:4)",4442302.269,3777701.69,6613896.389,9982764.377,3901541.518,10400000
"LPE(22:5)",17500000,14200000,25200000,36600000,1.6e+07,38500000
"LPE(22:6)",6145012.201,13300000,14400000,8323001.832,6495197.689,11300000
"LPG(16:0)",19704.449,14874.427,3595.4055,2130380.903,15117.231,25966.0992
"LPG(18:1)",26659.7568,1128754.562,950915.62,3920391.75,626886.366,892420.724
"MG(18:0)",8873594.144,1045044.923,7509021.918,1601736.958,700567.759,3444438.105
"MG(18:3)",100045.02,1362702.67,62134.7313,390572.354,178419.1683,80300000
"PC(10:0)",2402520.1255,380882.949,1495079.5955,NA,5630.5041,83570.1635
"PC(10:1)",20400000,16050000,26200000,35150000,18050000,35100000
"PC(10:4)",19550000,20350000,21050000,8300000,15950000,1608118.865
"PC(12:0)",8005072.6435,6880452.0872,10578875.89775,11160479.1989,5243649.95375,18923347.96135
"PC(12:1)",13500000,15750000,27050000,21700000,8350000,18800000
"PC(13:0)",378500000,329800000,510800000,549600000,272550000,579500000
"PC(14:0)",58497179.432,86157895.3585,100069930.13435,76906497.75575,58433730.10085,96125367.6554
"PC(14:1)",194100000,142300000,232700000,259550000,105100000,3.24e+08
"PC(15:0)",1360352971.312,1898975485.654,2143100000,1725426186.0425,1352696308.324,2028916370.565
"PC(16:0)",3619622472.533,4913574437.20435,5809491141.78235,4220149876.07,3310822144.1156,4949316340.179
"PC(16:1)",574710500.464,915037500.24235,1102190757.31035,704799931.9763,618818701.6025,939504114.9435
"PC(17:0)",131200000,1.26e+08,173500000,157050000,92250000,2.03e+08
