"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"Cer(14:0)",28200000,23400000,39600000,22800000,43200000,55600000
"Cer(15:0)",20400000,14500000,23700000,13900000,24800000,28700000
"Cer(16:0)",458560545.053,354910298.6642,560125542.365,336398653.028,618685636.21,707366644.774
"Cer(17:0)",14486530.324,11315931.411,16338841.662,10942677.615,2e+07,24600000
"Cer(18:0)",65019201.493,39410536.931,63643213.191,40788929.948,68849996.43,76310767.419
"Cer(18:1)",19975415.069,28535473.749,30803045.688,31937527.372,41919304.427,39876635.005
"Cer(18:2)",0.069,NA,NA,NA,355346.851,NA
"Cer(19:0)",3850354.364,5910016.236,9474699.106,4525063.592,3706111.438,6327493.369
"Cer(20:0)",29600000,12159297.054,14961416.227,8682772.192,18318610.24,16961220.998
"Cer(20:1)",1489957.363,395425.2516,2050247.413,1232859.975,1665816.711,1222709.641
"Cer(22:0)",227373255.122,116289312.803,162053800.247,107388705.733,168401975.774,179589342.26
"Cer(22:1)",27400000,30400000,47400000,27800000,50800000,58200000
"Cer(23:0)",46749694.376,27791797.832,37257354.753,27262083.538,88200000,37547810.811
"Cer(24:0)",336797124.823,323931860.368,358767450.27,266619589.744,503790279.323,445546368.572
"Cer(24:1)",957798916.827,1124400497.216,1638600000,1074949980.949,1778127576.881,1985500000
"Cer(24:3)",742041.807,865048.5237,2360090.459,1148901.119,2287969.857,2411671.092
"Cer(24:4)",1053394.235,953309.061,2216853.837,945114.181,2394008,2369230.316
"Cer(24:5)",354816.703,623451.222,1121031.323,641270.264,1110858.679,1606346.024
"Cer(25:0)",10355380.3012,12729199.8959,14711506.973,43141572.909,398739561.15,6327424.198
"Cer(25:1)",2547096.072,4243257.91,4762409.927,1737935.102,3721773.223,2377085.102
"Cer(26:0)",25854746.4676,31681515.1753,18404456.37,22446072.5769,65540026.284,18525844.8919
"Cer(26:1)",18456715.4164,18350712.1101,25067878.6494,17482599.3711,29568553.613,32523161.7414
"Cer(26:2)",1701200.684,2880342.2417,3560105.755,1944125.006,6794538.043,1876503.96
"Cer(26:4)",264333.333,233828.8164,400234.0458,239213.0292,849296.657,700303.797
"Cer(26:5)",515621.579,678803.685,858063.23,603583.066,888148.059,1101715.142
"Cer(d15:0)",2466781.631,4982096.622,6237411.278,5550165.637,8812065.016,5967913.052
"Cer(d15:1)",25822.5432,49218.1569,92281.338,100521.029,3697796.676,NA
"Cer(d17:1)",10700000,11700000,18800000,11700000,20300000,21400000
"Cer(d18:0)",89576455.295,71262766.871,106042603.821,66528640.402,101117246.115,109250484.29
"Cer(d18:1)",927542783.933,841815772.1821,1243684237.6498,805274704.4822,1364747331.897,1533368758.63
"Cer(d18:2)",101568026.642,98432713.726,139253295.654,99236314.117,153089827.222,165099541.735
"Cer(d20:1)",5540682.853,6793064.688,12303003.665,6532126.846,11747482.437,12785669.79
"Cer(d20:2)",16200000,23300000,35800000,19800000,34900000,40100000
"Cer(m17:0)",3850354.364,5910016.236,9474699.106,4525063.592,3706111.438,6327493.369
"Cer(m18:1)",16799130.693,17168075.997,27078632.654,16684939.106,28295792.187,36422328.063
"Cer(t17:0)",38511401.197,32700539.184,54163048.845,77694538.775,517700000,58518089.235
"Cer(t17:1)",1141687.698,694843.602,3182523.644,11228249.31,122862510.791,373992.3119
"Cer(t18:0)",968215264.0854,922170710.0426,1241169693.6134,813887767.5111,1367131906.955,1521711826.3874
"Cer(t18:1)",98889781.4036,124213228.7443,143535212.434,103558593.5399,163090196.872,177819594.795
"Cer(t20:0)",2318169.143,2196870.105,1621597.789,2457605.963,3717120.244,2722587.455
"Cer(t20:1)",16200000,23200000,35800000,20800000,37800000,41300000
"ChE(0:0)",29400000,334519.8615,919964.724,NA,294591.572,1160729.03
"ChE(20:4)",26900000,26500000,36900000,33600000,5.5e+07,61400000
"ChE(20:5)",14900000,1.3e+07,17300000,17700000,22300000,28300000
"ChE(22:5)",20500000,18100000,28900000,20900000,35100000,43500000
"ChE(22:6)",50300000,53600000,62100000,60800000,72900000,84400000
"DG(15:0)",3802109.155,898972.4955,1571688.961,881457.5515,1677174.7715,1976327.4425
"DG(16:0)",578126805.3505,80497636.604,219405872.15715,80110159.722,104056975.914,116747777.9817
"DG(16:1)",55950000,4448236.7145,6980440.1695,5966152.058,11289228.3135,20933252.9005
"DG(17:0)",9991289.043,4614660.5864,9287706.6745,4552068.992,5991238.22625,7050509.2081
