"subclass","cos_1-2i-1","cos_1-2i-2","cos_1-2i-3","cos7_1","cos7_2","cos7_3"
"Cer(16:0)",197900,217000,236100,185400,240100,200100
"Cer(18:1)",47630,6942,NA,18560,17480,3915
"Cer(24:0)",1270216,295757,373310,614260,529520,502510
"Cer(24:1)",457950,429280,516220,588540,871100,777940
"Cer(26:1)",26630,29070,23740,26320,39650,42520
"Cer(d18:1)",710100,711000,872900,865300,1233200,1102900
"Cer(d18:2)",202450,143432,143080,133480,235670,216295
"Cer(t18:0)",1086000,121000,88970,315000,155800,138300
"Cer(t18:1)",1776,2617,44420,119300,73180,69490
"DG(14:1)",8410,3589,NA,NA,NA,NA
"DG(15:0)",17860,8715,7815,17070,15155,12495
"DG(16:0)",231730,188780,187670,212110,197710,205570
"DG(16:1)",44575,27100,7815,32170,15155,38935
"DG(17:0)",8410,3589,NA,NA,NA,NA
"DG(18:0)",628900,487585,577950,614150,670750,691250
"DG(18:1)",1585745,1334465,1579990,1114040,1494090,1464250
"DG(20:1)",110150,76100,94850,66900,70150,91350
"DG(20:2)",NA,NA,NA,NA,18725,15465
"DG(20:4)",55850,42185,59550,70150,101400,95700
"DG(22:1)",21975,25490,30790,12740,24665,23145
"DG(22:6)",17675,13235,17515,19810,29020,23960
"DG(24:4)",36430,35005,38335,13390,16780,13490
"FA(16:0)",290700,215500,186000,214000,222800,212700
"FA(18:0)",280400,313100,316700,259000,320800,329000
"FA(18:1)",176900,133600,130300,121800,131500,111700
"FA(18:2)",172000,65780,42170,80110,61570,42370
"FA(40:5)",657200,549200,600700,597200,635200,719800
"FA(42:5)",456500,525100,471600,371300,444200,527100
"FA(44:5)",164300,151700,156900,131900,161100,162000
"LPC(16:0)",542064,416455,510654,352354,450457,409376
"LPC(17:0)",38410,30500,32600,24240,35020,27470
"LPC(18:0)",855100,717700,836000,648500,926000,794900
"LPC(18:1)",361000,315700,345800,290700,358300,312100
"LPC(20:0)",58200,53500,33630,46490,58170,56670
"LPC(20:3)",54410,40630,39850,30520,39960,32960
"LPC(20:4)",294800,217600,175600,118000,168300,153500
"LPC(22:5)",37810,26130,33430,41550,51130,44810
"LPC(22:6)",31490,19530,39480,59810,51410,39420
"LPE(16:1)",9726,9815,11060,14920,18320,16870
"LPE(18:0)",22730,21740,23270,20650,27160,26370
"LPE(18:1)",97180,81920,90090,54870,75610,84890
"LPE(20:4)",435000,309700,352500,135900,305100,256100
"LPE(22:5)",163700,124100,109000,84620,107500,89370
"LPE(22:6)",94570,71670,75890,72180,89520,94750
"MG(18:0)",14940,16230,1703,37160,15480,11460
"MG(22:2)",43450,61830,58040,66790,68100,51890
"PC(14:0)",1201560.5,1144528.5,1220700,1127650,1366545,1135140
"PC(15:0)",97850,92250,107200,141800,116000,108550
"PC(16:0)",19143675,19077900,19787070,19965270,25402090,21484385
"PC(16:1)",2139405.5,2026924.5,2151354,2249280,2686095,2449055
"PC(16:2)",11065,20190,12885,8955,20740,4528
"PC(16:3)",12825,12555,13280,9155,9380,9900
"PC(17:0)",82500,81750,80650,75600,96150,98200
"PC(17:1)",43330,27260,29425,49620,40780,41845
"PC(18:0)",3814485,3695300,3872385,3916335,5253570,4658895
"PC(18:1)",84949072.54,82451190.75,86709106.5,86823592.15,111513891.5,95577342.1
"PC(18:2)",1353410,1386330,1316215,1763730,2368435,2428295
"PC(19:1)",17185,17250,18310,20120,26575,22065
"PC(20:1)",1090000,983500,1067000,787500,1128000,1022500
"PC(20:3)",1048750,895150,968750,494050,623550,628650
"PC(20:4)",2307130,2293050,2478270,2671905,3251370,2773485
"PC(20:5)",41930,34055,44615,31170,26620,35325
"PC(22:1)",49655,48930,53850,19865,23210,24270
"PC(22:4)",118800,113350,127350,40655,57100,48745
"PC(22:5)",158950,162015,173025,119190,150730,136140
"PC(22:6)",219260,213752.5,225180,192775,234045,229845
"PC(24:4)",27.54,308.25,301.5,67.15,566.5,434.1
"PC(24:5)",82750,88050,89950,61100,77000,77900
"PE(15:1)",7315,13330,7235,8440,22320,13080
"PE(16:0)",1547436.5,1879856.5,1904396,2332940,2525595,2610467
"PE(16:1)",712690.5,832945,869775,939565,1199380,1039598
"PE(17:0)",110895,62475,118540,132650,146560,138730
"PE(17:1)",35210,32920,43115,42380,53550,42200
"PE(18:0)",2194925,2122511.55,2182435,2756740.55,3681619.5,3335215
"PE(18:1)",4738804,5016626.55,5250439.5,6590452.55,8795369.5,8277410
"PE(18:2)",684860,701370,758650,865875,1086650,1036750
"PE(19:1)",27425,29230,33065,25540,30435,32940
"PE(20:1)",82795,77557,85939.5,93035,116035,115280
"PE(20:3)",42984,40555,47554.5,59327,79395,67950
"PE(20:4)",3060545,3034480,3179050,3751580,4828270,4340575
"PE(20:5)",63055,75075,76020,72990,99940,93950
"PE(22:1)",22955,28060,28045,36675,47970,39715
"PE(22:4)",136952,195091.5,228721,376850,337455,188785
"PE(22:5)",1135665,1071630,1125985,1227840,1614370,1430280
"PE(22:6)",989115,982422,1072964.5,1466195,1933930,1770555
"PE(24:0)",6585,9105,10130,8130,13105,12240
"PG(18:1)",211805,201300,210700,296155,364360,352185
"PG(18:2)",6430,6875,6835,11400,14625,7140
"PG(20:4)",64860,66645,69665,52065,65725,61795
"PG(20:5)",6820,6050,7665,7525,8625,6645
"PG(22:4)",7565,6585,8225,6445,8680,7720
"PG(22:5)",30025,31635,36530,36140,40135,31455
"PG(22:6)",322885,326130,373540,393720,468730,410670
"PI(18:0)",241650,173800,114450,171350,292600,217400
"PI(18:1)",417700,305300,224150,125790,169715,134650
"PI(20:4)",364250,282600,195300,202090,329515,248350
"SM(16:0)",2465500,2425800,2460800,2348500,3209500,3047600
"SM(24:1)",833830,845810,809260,1354780,1858670,1743930
"SM(25:0)",119900,79500,112700,134400,191000,189600
"SM(26:2)",84040,76480,84080,208200,293300,243400
"SM(d18:0)",42030,38310,43960,63780,90670,84930
"SM(d18:1)",3096840,3090980,3064380,3636200,4933300,4704400
"SM(d18:2)",364400,298300,358500,345900,528500,435200
"TG(13:0)",63333.3333333333,76800,63600,25696.6666666667,19010,50933.3333333333
"TG(14:0)",815913.333333333,710172,844594.033333333,1027735.86666667,1372679.66666667,1362423.33333333
"TG(14:1)",128366.666666667,113340,141026.666666667,170203.333333333,228720,192326.666666667
"TG(15:0)",323356.666666667,365946.666666667,371940,402585,500383.333333333,532940.333333333
"TG(15:1)",9786.66666666667,7160,252.5,7963.33333333333,2191,8900
"TG(16:0)",2853976,3078649.93333333,3523417.06666667,4144607.33333333,5072153.83333333,5205958.13333333
"TG(16:1)",847473.666666667,665864.666666667,865272.833333333,2441176,3200305.66666667,3061338
"TG(16:2)",21292,16466.6666666667,24969.3333333333,114706.666666667,41687.3333333333,344366.666666667
"TG(16:3)",15555.3333333333,9024.66666666667,18680.3333333333,45729.3333333333,63308,52231
"TG(17:0)",209816.666666667,182113.333333333,202993.333333333,515663.333333333,588176.666666667,650333.333333333
"TG(17:1)",216013.333333333,165803,248901.366666667,543342.8,807066.666666667,800366.666666667
"TG(18:0)",995848.666666667,784212.666666667,1096320.83333333,3623429,4706946.66666667,4692033.66666667
"TG(18:1)",31611782.3333333,22005501.5333333,31117988.3666667,140567776.2,177445651.666667,168197940.933333
"TG(18:2)",776123.333333333,555360,787043.333333333,3150946.66666667,3918400,3937066.66666667
"TG(18:3)",347333.333333333,262133.333333333,319366.666666667,819666.666666667,987000,1048666.66666667
"TG(19:1)",145223.333333333,72396.6666666667,95388.6666666667,403233.333333333,553100,459330
