"subclass","cos7_1","cos7_2","cos7_2i-1","cos7_2i-2","cos7_2i-3","cos7_3"
"Cer(16:0)",185400,240100,145300,139400,199300,200100
"Cer(18:1)",18560,17480,19570,60490,14650,3915
"Cer(24:0)",614260,529520,465280,1052760,483960,502510
"Cer(24:1)",588540,871100,468670,406640,678770,777940
"Cer(26:1)",26320,39650,29480,35940,40470,42520
"Cer(d18:1)",865300,1233200,697000,555440,1002800,1102900
"Cer(d18:2)",133480,235670,204810,230790,214900,216295
"Cer(t18:0)",315000,155800,161500,627300,153700,138300
"Cer(t18:1)",119300,73180,64990,281700,45750,69490
"DG(15:0)",17070,15155,7645,7710,10170,12495
"DG(16:0)",212110,197710,153100,143765,147800,205570
"DG(16:1)",32170,15155,18505,23725,10170,38935
"DG(18:0)",614150,670750,542300,538100,621900,691250
"DG(18:1)",1114040,1494090,851895,957960,1279455,1464250
"DG(20:1)",66900,70150,58600,44870,55500,91350
"DG(20:2)",NA,18725,NA,NA,NA,15465
"DG(20:4)",70150,101400,64800,70000,105750,95700
"DG(22:1)",12740,24665,16785,11980,20535,23145
"DG(22:6)",19810,29020,14135,17470,22080,23960
"DG(24:4)",13390,16780,10645,11330,13170,13490
"FA(16:0)",214000,222800,206700,297600,199600,212700
"FA(18:0)",259000,320800,248000,350100,270700,329000
"FA(18:1)",121800,131500,125000,134700,144400,111700
"FA(18:2)",80110,61570,53020,167300,48200,42370
"FA(40:5)",597200,635200,534100,724300,974100,719800
"FA(42:5)",371300,444200,389000,453100,680800,527100
"FA(44:5)",131900,161100,126600,183700,249500,162000
"LPC(16:0)",352354,450457,271912,323212,531455,409376
"LPC(17:0)",24240,35020,19930,23800,43880,27470
"LPC(18:0)",648500,926000,460400,604100,924500,794900
"LPC(18:1)",290700,358300,221400,212800,375200,312100
"LPC(20:0)",46490,58170,33900,39060,59360,56670
"LPC(20:3)",30520,39960,16860,28300,43540,32960
"LPC(20:4)",118000,168300,162200,123700,192900,153500
"LPC(22:5)",41550,51130,26160,18710,50880,44810
"LPC(22:6)",59810,51410,28950,13300,36110,39420
"LPE(16:1)",14920,18320,9092,9954,11860,16870
"LPE(18:0)",20650,27160,18500,24850,24040,26370
"LPE(18:1)",54870,75610,54800,63130,83840,84890
"LPE(20:4)",135900,305100,202500,167300,338000,256100
"LPE(22:5)",84620,107500,58800,63760,120600,89370
"LPE(22:6)",72180,89520,37230,59470,97330,94750
"MG(18:0)",37160,15480,21690,9200,8972,11460
"MG(22:2)",66790,68100,51380,61650,56390,51890
"PC(14:0)",1127650,1366545,818060.5,895332.5,1268840,1135140
"PC(15:0)",141800,116000,80700,74550,110850,108550
"PC(16:0)",19965270,25402090,16340310,16209995,22906005,21484385
"PC(16:1)",2249280,2686095,1684595.5,1728597.5,2573447,2449055
"PC(16:2)",8955,20740,6750,6195,4335.5,4528
"PC(16:3)",9155,9380,6960,6415,10815,9900
"PC(17:0)",75600,96150,75900,73300,97500,98200
"PC(17:1)",49620,40780,27665,36165,41375,41845
"PC(18:0)",3916335,5253570,3007290,3061200,4538180,4658895
"PC(18:1)",86823592.15,111513891.5,71514970.75,69017683.95,100775605.5,95577342.1
"PC(18:2)",1763730,2368435,1570470,1212195,2534925,2428295
"PC(19:1)",20120,26575,15875,14705,21010,22065
"PC(20:1)",787500,1128000,590000,571000,66100,1022500
"PC(20:3)",494050,623550,349700,439550,558050,628650
"PC(20:4)",2671905,3251370,2152780,2015475,2859350,2773485
"PC(20:5)",31170,26620,28435,24655,26195,35325
"PC(22:1)",19865,23210,14930,13685,22820,24270
"PC(22:4)",40655,57100,38775,32350,48445,48745
"PC(22:5)",119190,150730,91370,86765,140715,136140
"PC(22:6)",192775,234045,165415,149835,237950,229845
"PC(24:4)",67.15,566.5,300.75,363.95,1245,434.1
"PC(24:5)",61100,77000,53750,52700,65100,77900
"PE(15:1)",8440,22320,5860,5655,18795,13080
"PE(16:0)",2332940,2525595,1642707.95,1893300,2343530,2610467
"PE(16:1)",939565,1199380,810650,750609.5,1142830,1039598
"PE(17:0)",132650,146560,100365,117365,131620,138730
"PE(17:1)",42380,53550,36290,33690,54200,42200
"PE(18:0)",2756740.55,3681619.5,2070896,2474730.85,3136282.5,3335215
"PE(18:1)",6590452.55,8795369.5,5042866,6288885.85,7496651,8277410
"PE(18:2)",865875,1086650,730880,723015,926005,1036750
"PE(19:1)",25540,30435,29095,37825,31625,32940
"PE(20:1)",93035,116035,86605,100690,109380,115280
"PE(20:3)",59327,79395,60745,63255,81705,67950
"PE(20:4)",3751580,4828270,2943832.95,3070095,4322460,4340575
"PE(20:5)",72990,99940,64060,68755,92010,93950
"PE(22:1)",36675,47970,26485,28290,40500,39715
"PE(22:4)",376850,337455,189705,152634.5,231515,188785
"PE(22:5)",1227840,1614370,933260,1031705,1264100,1430280
"PE(22:6)",1466195,1933930,1117435,1270670,1580083.5,1770555
"PE(24:0)",8130,13105,9260,14940,16230,12240
"PG(18:1)",296155,364360,228877.5,226702.5,317880,352185
"PG(18:2)",11400,14625,5895,5795,7345,7140
"PG(20:4)",52065,65725,40930,39345,56885,61795
"PG(20:5)",7525,8625,5430,4838.5,7395,6645
"PG(22:4)",6445,8680,4827.5,4474,7560,7720
"PG(22:5)",36140,40135,21065,20100,30755,31455
"PG(22:6)",393720,468730,225470,219850,338960,410670
"PI(18:0)",171350,292600,123050,635500,266750,217400
"PI(18:1)",125790,169715,98015,119170,166215,134650
"PI(20:4)",202090,329515,150765,714200,302565,248350
"SM(16:0)",2348500,3209500,2109200,2518000,2838900,3047600
"SM(24:1)",1354780,1858670,1146300,1229920,1683300,1743930
"SM(25:0)",134400,191000,90700,145800,132700,189600
"SM(26:2)",208200,293300,145000,147400,196300,243400
"SM(d18:0)",63780,90670,55300,62920,84300,84930
"SM(d18:1)",3636200,4933300,3195000,3635400,4377300,4704400
"SM(d18:2)",345900,528500,240900,342800,389600,435200
"TG(13:0)",25696.6666666667,19010,62100,64766.6666666667,48533.3333333333,50933.3333333333
"TG(14:0)",1027735.86666667,1372679.66666667,920883.666666667,402437.333333333,1201564,1362423.33333333
"TG(14:1)",170203.333333333,228720,158540,82903.3333333333,203066.666666667,192326.666666667
"TG(15:0)",402585,500383.333333333,387149.333333333,252506.666666667,379303.333333333,532940.333333333
"TG(15:1)",7963.33333333333,2191,382.666666666667,7620,522.666666666667,8900
"TG(16:0)",4144607.33333333,5072153.83333333,3414572.93333333,863006.033333333,4880446,5205958.13333333
