"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"Cer(14:0)",28200000,23400000,39600000,86400000,40600000,1.12e+08,49400000,121400000,59400000,22800000,43200000,55600000
"Cer(15:0)",20400000,14500000,23700000,4.1e+07,20100000,38900000,23200000,39800000,28200000,13900000,24800000,28700000
"Cer(16:0)",458560545.053,354910298.6642,560125542.365,996865538.155,467862192.582,1292524682.982,574861176.586,1396022785.564,688866357.9666,336398653.028,618685636.21,707366644.774
"Cer(16:1)",NA,NA,NA,1942831.676,NA,267469.887,NA,NA,NA,NA,509497.708,NA
"Cer(17:0)",14486530.324,11315931.411,16338841.662,28200000,13671363.64,34400000,14539364.791,38400000,16560148.877,10942677.615,2e+07,24600000
"Cer(18:0)",65019201.493,39410536.931,63643213.191,89539928.053,44791445.454,130570384.319,53831587.382,136943689.487,63028787.857,40788929.948,68849996.43,76310767.419
"Cer(18:1)",19975415.069,28535473.749,30803045.688,105417835.407,63823782.872,151474220.889,80775199.853,148598755.048,83965546.761,31937527.372,41919304.427,39876635.005
"Cer(18:2)",0.069,NA,NA,NA,11066.479,NA,NA,NA,1467007.009,NA,355346.851,NA
"Cer(19:0)",3850354.364,5910016.236,9474699.106,4402168.57,4536263.909,6818075.285,5723323.091,5567783.629,4141841.097,4525063.592,3706111.438,6327493.369
"Cer(20:0)",29600000,12159297.054,14961416.227,20300000,8588171.307,20177208.471,12834447.472,18608827.786,13511858.536,8682772.192,18318610.24,16961220.998
"Cer(20:1)",1489957.363,395425.2516,2050247.413,4183887.553,1698480.527,3959881.701,2424096.18,4544070.248,2625202.296,1232859.975,1665816.711,1222709.641
"Cer(22:0)",227373255.122,116289312.803,162053800.247,156956661.182,88933169.782,247384393.396,122755238.135,236993261.083,121324812.86,107388705.733,168401975.774,179589342.26
"Cer(22:1)",27400000,30400000,47400000,61400000,2.8e+07,88800000,35800000,75400000,3.9e+07,27800000,50800000,58200000
"Cer(23:0)",46749694.376,27791797.832,37257354.753,40982707.742,22497028.602,30964063.321,23072107.584,19858896.113,64600000,27262083.538,88200000,37547810.811
"Cer(24:0)",336797124.823,323931860.368,358767450.27,317901621.385,222700000,809439275.93,301764708.027,816427981.246,326415349.264,266619589.744,503790279.323,445546368.572
"Cer(24:1)",957798916.827,1124400497.216,1638600000,959665569.717,461408268.436,1081816929.491,639469400.036,977730135.777,636360747.111,1074949980.949,1778127576.881,1985500000
"Cer(24:3)",742041.807,865048.5237,2360090.459,5533319.453,2052019.666,3614585.583,2682306.313,3910082.724,3669941.331,1148901.119,2287969.857,2411671.092
"Cer(24:4)",1053394.235,953309.061,2216853.837,24484079.312,11062466.037,58800000,12138720.42,49200000,14043962.1376,945114.181,2394008,2369230.316
"Cer(24:5)",354816.703,623451.222,1121031.323,18900000,8422256.621,26700000,9902318.122,29300000,11800000,641270.264,1110858.679,1606346.024
"Cer(25:0)",10355380.3012,12729199.8959,14711506.973,9303555.2446,36329375.994,22726217.8,12942421.4675,40691111.301,366757830.57,43141572.909,398739561.15,6327424.198
"Cer(25:1)",2547096.072,4243257.91,4762409.927,2196681.083,2426383.461,3945847.016,3287636.915,1500162.671,4124480.221,1737935.102,3721773.223,2377085.102
"Cer(26:0)",25854746.4676,31681515.1753,18404456.37,17833321.6182,23392963.206,67308587.863,37838654.083,79370301.2088,61380519.651,22446072.5769,65540026.284,18525844.8919
"Cer(26:1)",18456715.4164,18350712.1101,25067878.6494,15423974.5902,9319625.7218,6691161.4647,10095980.6113,4313567.6517,16818828.0585,17482599.3711,29568553.613,32523161.7414
"Cer(26:2)",1701200.684,2880342.2417,3560105.755,2094873.14,1951698.554,2885662.021,2597953.6719,1289901.494,7830220.696,1944125.006,6794538.043,1876503.96
"Cer(26:4)",264333.333,233828.8164,400234.0458,5011394.862,2371577.33,4179154.373,2585751.717,5077914.234,3103413.186,239213.0292,849296.657,700303.797
"Cer(26:5)",515621.579,678803.685,858063.23,7924076.451,3381982.024,9393584.224,4497917.049,9579947.707,4699416.497,603583.066,888148.059,1101715.142
"Cer(d15:0)",2466781.631,4982096.622,6237411.278,5570749.865,3044857.032,4953108.397,8380206.618,4401433.824,8288349.89,5550165.637,8812065.016,5967913.052
"Cer(d15:1)",25822.5432,49218.1569,92281.338,131220.6426,165006.307,23775.435,114519.9285,NA,5070090.513,100521.029,3697796.676,NA
"Cer(d17:1)",10700000,11700000,18800000,15400000,6240246.647,12100000,8431911.264,10900000,9204874.413,11700000,20300000,21400000
"Cer(d18:0)",89576455.295,71262766.871,106042603.821,159016779.959,95432220.001,176572456.274,112219456.455,202021587.604,127885081.951,66528640.402,101117246.115,109250484.29
"Cer(d18:1)",927542783.933,841815772.1821,1243684237.6498,1239965471.849,605314682.271,1493337871.527,763876499.981,1470977418.203,849264041.39,805274704.4822,1364747331.897,1533368758.63
"Cer(d18:2)",101568026.642,98432713.726,139253295.654,147615925.244,70262071.896,190023438.279,92518465.145,168140611.5718,105935843.6716,99236314.117,153089827.222,165099541.735
"Cer(d20:1)",5540682.853,6793064.688,12303003.665,11904935.597,4364766.832,4707843.315,6217697.618,7011000.061,6869188.001,6532126.846,11747482.437,12785669.79
"Cer(d20:2)",16200000,23300000,35800000,17500000,6436291.952,5843313.694,10400000,5947279.531,1.1e+07,19800000,34900000,40100000
"Cer(m17:0)",3850354.364,5910016.236,9474699.106,4402168.57,4536263.909,6818075.285,5723323.091,5567783.629,4141841.097,4525063.592,3706111.438,6327493.369
"Cer(m18:1)",16799130.693,17168075.997,27078632.654,26800000,13316784.897,35800000,19353626.294,37900000,20030129.703,16684939.106,28295792.187,36422328.063
