"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"Cer(28:0)",19400000,8113669.37,9296072.884,14300000,10900000,24100000
"Cer(30:0)",14700000,6837045.672,7953968.87,10100000,9094334.373,19600000
"Cer(32:0)",127100000,66400000,85100000,112500000,81100000,2.01e+08
"Cer(32:1)",14100000,11700000,19800000,43200000,20300000,5.6e+07
"Cer(34:0)",348283866,228439684.9022,340424816.781,564210520.282,287486687.419,775792268.975
"Cer(34:1)",261722689.183,204292958.587,325616502.48,575051303.517,260040338.623,744139732.785
"Cer(34:2)",13770786.883,14041209.909,20815470.184,41077381.362,22271211.894,56300000
"Cer(36:0)",116347451.293,56765325.97,67004540.096,73951203.925,51309087.202,115985840.891
"Cer(36:1)",41428785.985,33485815.086,47119293.36,104536468.027,58192559.041,154204308.531
"Cer(36:2)",8866750.771,11677942.317,11124251.431,48684124.218,31454529.43,75200000
"Cer(36:3)",NA,1272810.072,1370763.097,2641365.937,1804458.14,3952281.532
"Cer(36:8)",20166.1356,7487.0478,67873.8168,992481.189,1439159.253,1596647.857
"Cer(38:0)",100586103.887,52026143.674,62525655.638,54408374.78,34881016.53,58186007.354
"Cer(38:1)",21743007.542,12345104.5372,20295669.524,22125600.651,9641120.4543,20447020.2616
"Cer(40:0)",151010287.27,81501173.487,101421214.086,92351249.733,56403708.051,149767111.352
"Cer(40:1)",121253626.1445,66582398.7045,99337052.9919,104068480.6294,54682744.647,147138858.0597
"Cer(40:2)",22399631.86,24162841.238,38640799.89,46844170.598,21050116.327,63753449.535
"Cer(42:0)",165708052.968,175010925.8767,162707397.7644,137800370.9064,116490024.8182,450814369.8248
"Cer(42:1)",574725711.5051,614650974.3565,880714296.6102,559714448.949,287967035.907,799160701.3577
"Cer(42:2)",530600000,623900000,899900000,521700000,253642317.03,624100000
"Cer(42:3)",64783585.995,72600000,95900000,82300000,37245706.714,114700000
"Cer(42:4)",742041.807,865048.5237,2360090.459,5533319.453,2052019.666,3614585.583
"Cer(42:5)",1169836.197,982253.307,2083823.076,26735956.497,11413080.419,45300000
"Cer(42:6)",354816.703,1024816.083,1386363.248,20708758.2426,9929160.37,51310279.545
"Cer(44:0)",14818344.448,26396994.242,13898142.975,12596229.633,22969023.929,64167071.374
"Cer(44:1)",770539.012,355853.0334,1588674.1524,440011.3641,3222019.6838,725215.46
"Cer(44:2)",50568008.643,52684408.1967,77959155.727,45245203.247,21810370.518,17946814.499
"Cer(44:3)",18446994.844,26519775.954,41046445.779,19879170.583,7522384.107,10712774.779
"Cer(44:5)",264333.333,233828.8164,400234.0458,5011394.862,2371577.33,4179154.373
"Cer(44:6)",515621.579,678803.685,858063.23,7924076.451,3381982.024,9393584.224
"Cer(46:0)",2318169.143,2196870.105,1621597.789,3679425.894,2052312.78,2324526.479
"ChE(0:0)",29400000,334519.8615,919964.724,4073663.559,1916397.897,743979.423
"ChE(20:4)",26900000,26500000,36900000,29500000,12800000,20700000
"ChE(20:5)",14900000,1.3e+07,17300000,15900000,7710759.938,17700000
