"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"Cer(28:0)",19400000,8113669.37,9296072.884,17400000,13900000,11300000
"Cer(30:0)",14700000,6837045.672,7953968.87,13900000,10400000,8217585.857
"Cer(32:0)",127100000,66400000,85100000,102500000,1.05e+08,82500000
"Cer(32:1)",14100000,11700000,19800000,11400000,21600000,27800000
"Cer(34:0)",348283866,228439684.9022,340424816.781,249948521.139,385857175.583,398309018.181
"Cer(34:1)",261722689.183,204292958.587,325616502.48,193876495.98,364278385.658,420892461.316
"Cer(34:2)",13770786.883,14041209.909,20815470.184,13902953.839,22369591.029,26380200.328
"Cer(36:0)",116347451.293,56765325.97,67004540.096,71798701.463,66548821.682,60120387.951
"Cer(36:1)",41428785.985,33485815.086,47119293.36,36746239.37,58117346.703,60688294.993
"Cer(36:2)",8866750.771,11677942.317,11124251.431,13755008.215,16506733.664,15586630.105
"Cer(36:3)",NA,1272810.072,1370763.097,2952220.48,3870535.312,3012939.945
"Cer(36:8)",20166.1356,7487.0478,67873.8168,1068174.473,2905837.989,48947.6058
"Cer(38:0)",100586103.887,52026143.674,62525655.638,58375422.209,53300463.8593,44631160.105
"Cer(38:1)",21743007.542,12345104.5372,20295669.524,8334717.5846,15075240.5909,14375996.819
"Cer(40:0)",151010287.27,81501173.487,101421214.086,76259152.55,103556019.71,104689772.331
"Cer(40:1)",121253626.1445,66582398.7045,99337052.9919,62578143.674,107867228.362,112817072.3648
"Cer(40:2)",22399631.86,24162841.238,38640799.89,22272457.324,39590336.009,44647219.928
"Cer(42:0)",165708052.968,175010925.8767,162707397.7644,114121764.183,168341885.608,196506379.3635
"Cer(42:1)",574725711.5051,614650974.3565,880714296.6102,585538040.0503,950900652.503,1077823511.7022
"Cer(42:2)",530600000,623900000,899900000,600100000,9.88e+08,1102700000
"Cer(42:3)",64783585.995,72600000,95900000,6.9e+07,108200000,116700000
"Cer(42:4)",742041.807,865048.5237,2360090.459,1148901.119,2287969.857,2411671.092
"Cer(42:5)",1169836.197,982253.307,2083823.076,1027784.1138,2517070.618,2551587.885
"Cer(42:6)",354816.703,1024816.083,1386363.248,4382536.764,9248707.604,6101780.616
"Cer(44:0)",14818344.448,26396994.242,13898142.975,21010751.838,100465260.346,14121775.509
"Cer(44:1)",770539.012,355853.0334,1588674.1524,4021011.933,42925938.931,825172.0654
"Cer(44:2)",50568008.643,52684408.1967,77959155.727,47227357.01,84170497.145,87730627.851
"Cer(44:3)",18446994.844,26519775.954,41046445.779,22751242.492,40462523.218,47472213.447
"Cer(44:5)",264333.333,233828.8164,400234.0458,239213.0292,849296.657,700303.797
"Cer(44:6)",515621.579,678803.685,858063.23,603583.066,888148.059,1101715.142
