"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"Cer(28:0)",19400000,8113669.37,9296072.884,14300000,10900000,24100000,6949586.005,11100000,15300000,17400000,13900000,11300000
"Cer(30:0)",14700000,6837045.672,7953968.87,10100000,9094334.373,19600000,6053213.475,8513927.335,12900000,13900000,10400000,8217585.857
"Cer(32:0)",127100000,66400000,85100000,112500000,81100000,2.01e+08,72600000,134900000,116700000,102500000,1.05e+08,82500000
"Cer(32:1)",14100000,11700000,19800000,43200000,20300000,5.6e+07,24700000,60700000,29700000,11400000,21600000,27800000
"Cer(34:0)",348283866,228439684.9022,340424816.781,564210520.282,287486687.419,775792268.975,334371001.79,775087848.29,427287321.0356,249948521.139,385857175.583,398309018.181
"Cer(34:1)",261722689.183,204292958.587,325616502.48,575051303.517,260040338.623,744139732.785,318632258.998,792915499.871,384356273.861,193876495.98,364278385.658,420892461.316
"Cer(34:2)",13770786.883,14041209.909,20815470.184,41077381.362,22271211.894,56300000,27536338.601,58900000,30948927.976,13902953.839,22369591.029,26380200.328
"Cer(36:0)",116347451.293,56765325.97,67004540.096,73951203.925,51309087.202,115985840.891,52633523.411,105852879.037,69538498.499,71798701.463,66548821.682,60120387.951
"Cer(36:1)",41428785.985,33485815.086,47119293.36,104536468.027,58192559.041,154204308.531,74424687.142,156232532.217,83309742.201,36746239.37,58117346.703,60688294.993
"Cer(36:2)",8866750.771,11677942.317,11124251.431,48684124.218,31454529.43,75200000,36152969.595,69600000,40049484.096,13755008.215,16506733.664,15586630.105
"Cer(36:3)",NA,1272810.072,1370763.097,2641365.937,1804458.14,3952281.532,5578284.263,6725325.948,6849645.617,2952220.48,3870535.312,3012939.945
"Cer(36:8)",20166.1356,7487.0478,67873.8168,992481.189,1439159.253,1596647.857,3574213.365,1400458.205,145265.8614,1068174.473,2905837.989,48947.6058
"Cer(38:0)",100586103.887,52026143.674,62525655.638,54408374.78,34881016.53,58186007.354,40287956.509,61900484.789,51645254.147,58375422.209,53300463.8593,44631160.105
"Cer(38:1)",21743007.542,12345104.5372,20295669.524,22125600.651,9641120.4543,20447020.2616,17454271.177,21215869.0095,17759994.613,8334717.5846,15075240.5909,14375996.819
