"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"Cer(d28:0)",9296072.884,8113669.37,19400000,15300000,11100000,6949586.005
"Cer(d34:0+O)",1833377.62,1800564.257,7807035.771,2850524.219,2883051.612,1587967.546
"Cer(d36:0)",29600000,33200000,68700000,3.8e+07,30700000,24900000
"Cer(d18:0_18:0)",4961576.872,2949893.462,5978304.774,6880468.438,13900000,5965840.978
"Cer(d36:0+O)",1598278.939,1509083.416,5948667.488,2029677.625,2452879.037,1334464.533
"Cer(d18:0_18:1)",4578632.654,2768075.997,2599130.693,12700000,24600000,10200000
"Cer(d36:2)",1425783.068,1477942.317,1413144.112,8282477.087,12400000,6552969.595
"Cer(d18:2_18:1)",588913.757,285301.13,57060.226,2477196.871,5797321.224,2294993.235
"Cer(d38:0)",47100000,41900000,78500000,41500000,47300000,29500000
"Cer(d20:1_18:0)",1703003.665,1092567.472,241766.026,2048319.419,2643689.487,1665746.404
"Cer(d38:1+O)",2050247.413,395425.2516,1489957.363,2625202.296,4544070.248,2424096.18
"Cer(d18:0_22:0)",10300000,8295544.261,14200000,11200000,5861788.893,8576678.667
"Cer(d40:2)",3540799.89,2531192.209,2099496.35,3635654.367,9096072.197,2989031.997
"Cer(d18:0_24:0)",9641003.351,5986423.58,9197819.144,6438448.002,12600000,5595574.504
"Cer(d18:1_24:3)",2360090.459,865048.5237,742041.807,3669941.331,3910082.724,2682306.313
"Cer(d42:5)",132301.164,141139.074,116441.962,2478312.65,1.1e+07,2163196.05
"Cer(d18:2_24:4)",265331.925,112194.828,22438.9656,143962.1376,14100000,138720.42
"Cer(d18:1_24:5)",1121031.323,623451.222,354816.703,11800000,29300000,9902318.122
"Cer(d20:1_24:1)",10600000,5700497.216,5298916.827,4820868.582,4367310.574,4551951.214
"Cer(d18:2_26:0+O)",3099049.972,2603568.739,8967891.132,3126826.44,827554.2528,2829056.609
"Cer(d44:3)",5246445.779,3219775.954,2246994.844,1218023.817,8108332.65,2452510.105
"Cer(d18:1_26:4)",400234.0458,233828.8164,264333.333,3103413.186,5077914.234,2585751.717
"Cer(d18:1_26:5)",858063.23,678803.685,515621.579,4699416.497,9579947.707,4497917.049
"Cer(m34:0)",4391893.423,4013331.881,2916285.176,3183549.964,3966402.069,3925821.932
"Cer(m18:1_18:0+O)",4578632.654,2768075.997,2599130.693,12700000,24600000,10200000
"Cer(m38:0)",3125712.761,2224665.236,2016012.786,1853491.427,2152279.078,2308597.631
"Cer(m18:1_24:1)",22500000,14400000,14200000,7330129.703,13300000,9153626.294
"Cer(t18:0_14:0)",19800000,11700000,14100000,29700000,60700000,24700000
"Cer(t34:0)",4274003.373,4915490.1,16300000,8786888.886,6515609.045,3296035.726
"Cer(t18:0_16:0+O)",2825542.365,410298.6642,8960545.053,66357.9666,3522785.564,661176.586
"Cer(t18:0_18:0)",26200000,16300000,28100000,20700000,47900000,1.8e+07
"Cer(t36:0)",4644684.285,2806349.092,7620479.031,1928352.436,10900000,2433217.9
"Cer(t18:0_18:1)",9699619.636,10300000,7455896.155,30200000,56600000,30300000
"Cer(t18:0_20:0)",7498485.862,6079799.178,14800000,6725068.467,9310016.858,6417334.036
"Cer(t38:0)",4801457.015,1821679.26,5270091.101,1566694.253,3138188.853,2062024.842
"Cer(t18:0_20:1)",2050247.413,395425.2516,1489957.363,2625202.296,4544070.248,2424096.18
"Cer(t38:1)",7029240.668,4382188.686,3721326.79,3674480.533,185228.0985,4523218.977
"Cer(t18:0_22:0+O)",1576421.89,8087231.486,1552834.97,1215595.866,73500000,9533246.65
