Gene Name,Pos.,Count (COLD1),Count (COLD2),Count (COLD3),Count (COLD4),Count (RT1),Count (RT2),Count (RT3),Count (RT4),Count (RT5)
Zranb2,3[+]157534160-157548410,339,396,82,709,79,78,395,730,1171
Lrriq3,3[+]155093434-155194280,8,15,13,82,8,4,65,26,79
Dnase2b,3[-]146580985-146615596,0,0,0,0,0,0,0,16,99
Adgrl2,3[-]148815583-148990555,634,952,494,840,464,511,1001,162,852
Rpf1,3[-]146505956-146521429,398,519,236,560,276,167,548,620,1246
Uox,3[+]146570426-146632305,0,0,0,0,0,0,0,637,8
Ctbs,3[+]146449795-146465849,197,137,127,340,86,98,264,167,427
Spata1,3[-]146457196-146499753,30,9,11,75,4,7,43,86,130
Gm21497,Y[+]61646746-61672861,0,0,0,0,0,0,0,0,0
Gm43450,5[-]149868748-149871409,0,0,0,0,0,0,0,0,0
Ptprh,7[-]4548612-4604041,0,0,0,0,0,0,0,0,0
Mageb4,X[-]86250254-86305093,0,0,0,0,0,0,0,0,0
Fam170a,18[+]50278369-50283019,0,0,0,0,0,0,0,0,0
Mir484,16[+]14159626-14159692,0,0,0,0,0,0,0,0,0
Sap30bp,11[+]115933282-115966725,2127,4049,1876,759,2410,1541,1516,920,1342
Mir127,12[+]109592846-109592915,0,0,0,0,0,0,0,0,0
Mir491,4[+]88122040-88122125,0,0,0,0,0,0,0,0,0
Mir465,X[-]66839052-66839125,0,0,0,0,0,0,0,0,0
Recql5,11[-]115892595-115933477,1272,2473,1115,519,1838,917,658,813,1205
Mir470,X[-]66813951-66814025,0,0,0,0,0,0,0,0,0
Itgb4,11[+]115974709-116008412,761,2077,1102,270,1386,2868,1190,193,401
Ahnak,19[+]8989284-9076919,7247,7416,1309,11188,1978,3006,18003,6096,18634
Nlrp1a,11[-]71092236-71144704,15,22,2,0,19,0,7,13,0
Atp6v0d2,4[-]19876841-19922605,8,7,0,150,0,0,27,50,335
Cdk10,8[+]123224842-123232250,860,1578,1057,415,1258,1289,663,553,625
Klf9,19[+]23141226-23166911,1719,3744,1660,2213,1148,1159,2220,549,2257
