Gene ID,Gene Name,Pos.,Count (COLD1),Count (COLD2),Count (COLD3),Count (COLD4),Count (RT1),Count (RT2),Count (RT3),Count (RT4),Count (RT5)
ENSMUSG00000028180,Zranb2,3[+]157534160-157548410,339,396,82,709,79,78,395,730,1171
ENSMUSG00000028182,Lrriq3,3[+]155093434-155194280,8,15,13,82,8,4,65,26,79
ENSMUSG00000028185,Dnase2b,3[-]146580985-146615596,0,0,0,0,0,0,0,16,99
ENSMUSG00000028184,Adgrl2,3[-]148815583-148990555,634,952,494,840,464,511,1001,162,852
ENSMUSG00000028187,Rpf1,3[-]146505956-146521429,398,519,236,560,276,167,548,620,1246
ENSMUSG00000028186,Uox,3[+]146570426-146632305,0,0,0,0,0,0,0,637,8
ENSMUSG00000028189,Ctbs,3[+]146449795-146465849,197,137,127,340,86,98,264,167,427
ENSMUSG00000028188,Spata1,3[-]146457196-146499753,30,9,11,75,4,7,43,86,130
ENSMUSG00000100726,Gm21497,Y[+]61646746-61672861,0,0,0,0,0,0,0,0,0
ENSMUSG00000107279,Gm43450,5[-]149868748-149871409,0,0,0,0,0,0,0,0,0
ENSMUSG00000035429,Ptprh,7[-]4548612-4604041,0,0,0,0,0,0,0,0,0
ENSMUSG00000035427,Mageb4,X[-]86250254-86305093,0,0,0,0,0,0,0,0,0
ENSMUSG00000035420,Fam170a,18[+]50278369-50283019,0,0,0,0,0,0,0,0,0
ENSMUSG00000070074,Mir484,16[+]14159626-14159692,0,0,0,0,0,0,0,0,0
ENSMUSG00000020755,Sap30bp,11[+]115933282-115966725,2127,4049,1876,759,2410,1541,1516,920,1342
ENSMUSG00000070076,Mir127,12[+]109592846-109592915,0,0,0,0,0,0,0,0,0
ENSMUSG00000070077,Mir491,4[+]88122040-88122125,0,0,0,0,0,0,0,0,0
ENSMUSG00000070071,Mir465,X[-]66839052-66839125,0,0,0,0,0,0,0,0,0
ENSMUSG00000020752,Recql5,11[-]115892595-115933477,1272,2473,1115,519,1838,917,658,813,1205
