entrez_gene_id,reaction_id,rname,lmp_id,gene_name,species_long,gene_symbol
100017,R-MMU-171141,LDL:LDLR complex [plasma membrane] => LDL:LDLR complex [clathrin-coated vesicle] (LDLRAP1-independent),LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-174706,chylomicron remnant:apoE:LDLR complex [plasma membrane] => chylomicron remnant:apoE:LDLR complex [clathrin-coated vesicle] (LDLRAP1-dependent),LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8863471,LDLR is bound by DAB2 and ARH,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8867754,F- and N- BAR domain proteins bind the clathrin-coated pit,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8867756,CLASP proteins and cargo are recruited to the nascent clathrin-coated pit,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868071,Clathrin recruits PIK3C2A,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868072,"Clathrin-associated PIK3C2A phosphorylates PI(4)P to PI(3,4)P2",LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868230,SNX9 recruits components of the actin polymerizing machinery,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868236,BAR domain proteins recruit dynamin,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868648,"SYNJ hydrolyze PI(4,5)P2 to PI(4)P",LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868651,Endophilins recruit synaptojanins to the clathrin-coated pit,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868658,HSPA8-mediated ATP hydrolysis promotes vesicle uncoating,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868659,Clathrin recruits auxilins to the clathrin-coated vesicle,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868660,Auxilin recruits HSPA8:ATP to the clathrin-coated vesicle,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8868661,Dynamin-mediated GTP hydrolysis promotes vesicle scission,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8869438,Dissociation of clathrin-associated proteins,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8871193,Dissociation of AAK1 and dephosphorylation of AP-2 mu2,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100017,R-MMU-8871194,RAB5 and GAPVD1 bind AP-2,LMP005609,low density lipoprotein receptor adaptor protein 1,Mus musculus,Ldlrap1
100163,R-MMU-8869206,PAFAH2 hydrolyses PAF to lyso-PAF and acetate,LMP001925,platelet-activating factor acetylhydrolase 2,Mus musculus,Pafah2
100678,R-MMU-977324,PSPH:Mg2+ dimer dephosphorylates O-P-Ser,LMP006407,phosphoserine phosphatase,Mus musculus,Psph
100705,R-MMU-163743,Transcriptional activation of Acetyl-CoA carboxylase by ChREBP:MLX,LMP005741,acetyl-Coenzyme A carboxylase beta,Mus musculus,Acacb
100705,R-MMU-200423,"pAMPK inactivates ACACB, inhibiting malonyl-CoA synthesis",LMP005741,acetyl-Coenzyme A carboxylase beta,Mus musculus,Acacb
